student,classcode
perf_prod_std_02211,bM2c-iMgB
perf_prod_std_02212,dQTG-i97U
perf_prod_std_02213,PcV8-h3fW
perf_prod_std_02214,A3gG-jaXK
perf_prod_std_02215,EH2b-GiHF
perf_prod_std_02216,J2c3-4ANE
perf_prod_std_02217,PFeG-7cLb
perf_prod_std_02218,aKc6-9V2H
perf_prod_std_02219,fGg3-6H6h
perf_prod_std_02220,dM7W-T6Ja
perf_prod_std_02221,Qd28-V7gU
perf_prod_std_02222,6e3N-bHeA
perf_prod_std_02223,jX2Y-L2Pf
perf_prod_std_02224,QC7D-QV7g
perf_prod_std_02225,Teg7-K6Bg
perf_prod_std_02226,BbM3-WJbU
perf_prod_std_02227,2F3J-PdLi
perf_prod_std_02228,QYbh-ZcNd
perf_prod_std_02229,KFPa-HWLg
perf_prod_std_02230,72Da-N68g
perf_prod_std_02231,JdVR-gaBF
perf_prod_std_02232,4be3-7TR9
perf_prod_std_02233,hYP7-aBFY
perf_prod_std_02234,fU3d-eVcA
perf_prod_std_02235,d87j-9h4b
perf_prod_std_02236,6Df2-729U
perf_prod_std_02237,3R7D-4gB3
perf_prod_std_02238,hWf3-d3fH
perf_prod_std_02239,eEKd-H98c
perf_prod_std_02240,gbGH-XF3L
perf_prod_std_02241,4d8R-eHAe
perf_prod_std_02242,gW7g-MGac
perf_prod_std_02243,XRch-jH3i
perf_prod_std_02244,i6AE-HZ73
perf_prod_std_02245,hBa7-TCaj
perf_prod_std_02246,UHd4-E2Wi
perf_prod_std_02247,dFa9-K7N9
perf_prod_std_02248,fHdi-he92
perf_prod_std_02249,9cBA-fcVg
perf_prod_std_02250,2X8U-A83a
perf_prod_std_02251,iN9Q-gaPQ
perf_prod_std_02252,H7ag-bY96
perf_prod_std_02253,a8jM-236C
perf_prod_std_02254,igTN-6Nd8
perf_prod_std_02255,4EgP-ec9B
perf_prod_std_02256,2cUH-4J3D
perf_prod_std_02257,HgQU-hGDV
perf_prod_std_02258,gTc2-3Z82
perf_prod_std_02259,NZEW-f7iG
perf_prod_std_02260,K2d2-feKi
perf_prod_std_02261,jPeb-3c87
perf_prod_std_02262,7eEP-fj3f
perf_prod_std_02263,c8P2-Ugj9
perf_prod_std_02264,f2e3-2igc
perf_prod_std_02265,92Nc-H64Y
perf_prod_std_02266,eRW3-acUd
perf_prod_std_02267,c86U-bci8
perf_prod_std_02268,MA46-W2Md
perf_prod_std_02269,K79j-igjb
perf_prod_std_02270,dMH7-bG36
perf_prod_std_02271,6B7a-c6Ua
perf_prod_std_02272,ZHMf-XB4j
perf_prod_std_02273,dT93-jgTU
perf_prod_std_02274,JYWT-i29M
perf_prod_std_02275,fidc-haXa
perf_prod_std_02276,C2QW-giZ6
perf_prod_std_02277,hjJ9-BgiH
perf_prod_std_02278,67X7-3PaK
perf_prod_std_02279,H73Q-edha
perf_prod_std_02280,bP8d-aieY
perf_prod_std_02281,Qe8c-gQ6g
perf_prod_std_02282,3f9Z-2dXB
perf_prod_std_02283,2c89-Hfec
perf_prod_std_02284,4M67-2Mj4
perf_prod_std_02285,B9Bg-R3f6
perf_prod_std_02286,Hhe4-g2iU
perf_prod_std_02287,f8dP-c24i
perf_prod_std_02288,dMUT-938f
perf_prod_std_02289,Yb2W-4Ed4
perf_prod_std_02290,bdKe-9Xa8
perf_prod_std_02291,b6jd-chf2
perf_prod_std_02292,49eg-8PN3
perf_prod_std_02293,eKTh-7M8i
perf_prod_std_02294,f2Db-3Mbj
perf_prod_std_02295,Ye6h-gGRj
perf_prod_std_02296,a6dZ-3eRA
perf_prod_std_02297,9NEG-gPZa
perf_prod_std_02298,e6KE-CPad
perf_prod_std_02299,cVeF-6djA
perf_prod_std_02300,f9aM-RWZG
perf_prod_std_02301,27Ce-8had
perf_prod_std_02302,M6dc-edNG
perf_prod_std_02303,4d6c-eMg4
perf_prod_std_02304,PhLi-BZif
perf_prod_std_02305,bYZ7-HFX2
perf_prod_std_02306,6c2j-gbhU
perf_prod_std_02307,ec6a-hQh9
perf_prod_std_02308,WM9D-A7iR
perf_prod_std_02309,6GiP-F83j
perf_prod_std_02310,gW84-NgC8
perf_prod_std_02311,H769-MNeF
perf_prod_std_02312,39gQ-jFe4
perf_prod_std_02313,7c7A-62g9
