orgid,category,noOfAssignmentsInClass,Count of 20LOs Assignment,Count of 30LOs Assignment,Count of 50LOs Assignment,noOfStudentsInClass,noOfLockRulesInClass,50LOsLockRuleCount,100LOsLockRuleCount,150LOsLockRuleCount,customGradingCount
perf-test17-alpha,L1,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L1,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L1,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L1,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L1,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L1,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L1,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L1,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L1,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L1,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L1,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L1,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L1,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L1,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L1,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L1,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L1,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L1,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L1,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L1,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L1,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L1,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L1,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L1,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L1,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L1,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L1,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L1,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L1,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L1,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L1,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L1,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L1,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L1,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L1,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L1,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L1,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L1,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L1,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L1,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L1,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L1,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L1,10,7,2,1,50,25,25,0,0,5
perf-test17-alpha,L1,10,7,2,1,50,25,25,0,0,5
