studentextuserid,groupid,tchextuserid
std_1592912496109_1,9c3cfc5d-40ef-4a3a-b9dd-7c5dd4939b17,tch_20200623-165526_1
std_1592912514723_2,5689ff30-2d47-41f8-b64a-055269ce09ef,tch_20200623-165526_2
std_1592912578233_3,0cd4ea3a-9b4d-4bf1-a8b9-b7c75d660ccf,tch_20200623-165526_3
std_1592912586588_4,41d53a17-95a0-4988-a628-e390aa771b89,tch_20200623-165526_4
std_1592912625045_5,e188c888-33e9-4763-8471-62b2c4ac114c,tch_20200623-165526_5
std_1592912649734_6,daa554c2-fa82-4ed4-ae73-f9ff812f813e,tch_20200623-165526_6
std_1592912654462_7,a1181972-0f31-4e87-8b3c-184b916f9b14,tch_20200623-165526_7
std_1592912690865_8,1d05f195-f646-4c1a-80dd-aee5493a4389,tch_20200623-165526_8
std_1592912756665_9,6a976c7a-0c21-4002-a582-745aab670d1e,tch_20200623-165526_9
std_1592912765870_10,626bdb1c-4a2a-4d6d-9539-26a2f6e8a4ad,tch_20200623-165526_10
