col1,col2,col3,col4,col5,col6,col7,col8,col9,col10
tch_20200625-194535_1,af880fc1-b6ef-11ea-840b-0242ac110002,std_1593095129639_1,class_20200625-194535_1,wg9n-2dMK,aa1485da-3698-4327-855f-13782a0b5dc4,27aaf3ae-0a5a-459e-b5b9-d3f1ee835e99,7f99eee6-12f5-437f-85b5-6652e09ddb36,2271d541-8bec-4c0d-b854-c33152a429ef,0ad1b671-ab03-479a-a939-548eb82b82da
tch_20200625-194535_1,bcd7ced3-b6ef-11ea-94cc-0242ac110002,std_1593095151938_1,class_20200625-194535_1,wg9n-2dMK,aa1485da-3698-4327-855f-13782a0b5dc4,27aaf3ae-0a5a-459e-b5b9-d3f1ee835e99,7f99eee6-12f5-437f-85b5-6652e09ddb36,2271d541-8bec-4c0d-b854-c33152a429ef,0ad1b671-ab03-479a-a939-548eb82b82da
tch_20200625-194535_2,c37142a2-b6ef-11ea-840b-0242ac110002,std_1593095163061_2,class_20200625-194535_2,PVoH-PxvC,37575317-1254-457c-9acc-34049496d4c0,45232b05-2314-4119-8c48-83fa8b62fe50,21c99e63-cb5c-45c8-8614-f68b4806d017,d6034b99-603e-4575-ad9c-8946e749588c,11cd63a6-2869-441a-be74-7d3f27d71359
tch_20200625-194535_1,cd75cd85-b6ef-11ea-94cc-0242ac110002,std_1593095179854_1,class_20200625-194535_1,wg9n-2dMK,aa1485da-3698-4327-855f-13782a0b5dc4,27aaf3ae-0a5a-459e-b5b9-d3f1ee835e99,7f99eee6-12f5-437f-85b5-6652e09ddb36,2271d541-8bec-4c0d-b854-c33152a429ef,0ad1b671-ab03-479a-a939-548eb82b82da
tch_20200625-194535_2,d3a44b96-b6ef-11ea-840b-0242ac110002,std_1593095190238_2,class_20200625-194535_2,PVoH-PxvC,37575317-1254-457c-9acc-34049496d4c0,45232b05-2314-4119-8c48-83fa8b62fe50,21c99e63-cb5c-45c8-8614-f68b4806d017,d6034b99-603e-4575-ad9c-8946e749588c,11cd63a6-2869-441a-be74-7d3f27d71359
tch_20200625-194535_3,d9fbfba0-b6ef-11ea-840b-0242ac110002,std_1593095200862_3,class_20200625-194535_3,U39p-36iK,7d610ba9-8112-4a03-a56a-ac1422c3e043,6779b186-5c51-43ee-b36a-e4a9a7cf191d,8eb5e236-d662-4c6a-9bcb-c1e78e0f72b2,b883c69a-d58b-450c-9af4-f363e408bd4b,fc773934-9eec-4ee5-818e-aad4c7134405
tch_20200625-194535_1,dd68e748-b6ef-11ea-94cc-0242ac110002,std_1593095206602_1,class_20200625-194535_1,wg9n-2dMK,aa1485da-3698-4327-855f-13782a0b5dc4,27aaf3ae-0a5a-459e-b5b9-d3f1ee835e99,7f99eee6-12f5-437f-85b5-6652e09ddb36,2271d541-8bec-4c0d-b854-c33152a429ef,0ad1b671-ab03-479a-a939-548eb82b82da
tch_20200625-194535_2,e197c43d-b6ef-11ea-840b-0242ac110002,std_1593095213555_2,class_20200625-194535_2,PVoH-PxvC,37575317-1254-457c-9acc-34049496d4c0,45232b05-2314-4119-8c48-83fa8b62fe50,21c99e63-cb5c-45c8-8614-f68b4806d017,d6034b99-603e-4575-ad9c-8946e749588c,11cd63a6-2869-441a-be74-7d3f27d71359
tch_20200625-194535_3,ea3544fd-b6ef-11ea-840b-0242ac110002,std_1593095228064_3,class_20200625-194535_3,U39p-36iK,7d610ba9-8112-4a03-a56a-ac1422c3e043,6779b186-5c51-43ee-b36a-e4a9a7cf191d,8eb5e236-d662-4c6a-9bcb-c1e78e0f72b2,b883c69a-d58b-450c-9af4-f363e408bd4b,fc773934-9eec-4ee5-818e-aad4c7134405
tch_20200625-194535_2,efbc85b5-b6ef-11ea-94cc-0242ac110002,std_1593095237360_2,class_20200625-194535_2,PVoH-PxvC,37575317-1254-457c-9acc-34049496d4c0,45232b05-2314-4119-8c48-83fa8b62fe50,21c99e63-cb5c-45c8-8614-f68b4806d017,d6034b99-603e-4575-ad9c-8946e749588c,11cd63a6-2869-441a-be74-7d3f27d71359
tch_20200625-194535_4,f4816111-b6ef-11ea-94cc-0242ac110002,std_1593095245344_4,class_20200625-194535_4,2H3W-tfGq,8c42f582-e44a-4dfc-8e8b-d6b4b60bf9e7,011a4f95-405e-40f7-a844-e7cc70cc5811,2771f20e-12d7-405e-9858-2b53dbb27b60,7582fce7-8285-404d-98f5-8bc5ef47bff1,4eb73981-011e-49fa-ac31-19e2c425757a
tch_20200625-194535_3,f8c06a29-b6ef-11ea-840b-0242ac110002,std_1593095252490_3,class_20200625-194535_3,U39p-36iK,7d610ba9-8112-4a03-a56a-ac1422c3e043,6779b186-5c51-43ee-b36a-e4a9a7cf191d,8eb5e236-d662-4c6a-9bcb-c1e78e0f72b2,b883c69a-d58b-450c-9af4-f363e408bd4b,fc773934-9eec-4ee5-818e-aad4c7134405
