tch,stduuid,stdextuserid,classttile,classcode,ap1,ap2,ap3,ap4,ap5
tch_20200625-211715_1,72cad338-b6fc-11ea-840b-0242ac110002,std_1593100611018_1,class_20200625-211715_1,8AFA-3JFj,cb419c7e-a8ba-4d6d-a005-f43383aa0808,9f132e70-d882-4432-a336-6ed71e2195fc,8df5ab2d-64e5-4ca6-af9c-88f2e4205725,2db15032-daaa-43d6-b9c6-2434146fa60b,27a8128f-634f-41ae-8710-93cac9cb8dc7
tch_20200625-211715_2,7855484d-b6fc-11ea-840b-0242ac110002,std_1593100620268_2,class_20200625-211715_2,Djt2-X69s,b868d65c-d3d0-414e-95f1-c5eaaf37a488,8ec6ce3b-df21-4a43-bf1d-219eafee63d2,fe0439b3-b0c4-457b-add8-a46d3191935f,4cc65cf4-c3c5-4146-a256-5a7bf6d160e5,9b6da82c-8304-45c1-bbd3-2b04fd00a50d
tch_20200625-211715_1,903d9529-b6fc-11ea-840b-0242ac110002,std_1593100660668_1,class_20200625-211715_1,8AFA-3JFj,cb419c7e-a8ba-4d6d-a005-f43383aa0808,9f132e70-d882-4432-a336-6ed71e2195fc,8df5ab2d-64e5-4ca6-af9c-88f2e4205725,2db15032-daaa-43d6-b9c6-2434146fa60b,27a8128f-634f-41ae-8710-93cac9cb8dc7
tch_20200625-211715_3,91c4d082-b6fc-11ea-94cc-0242ac110002,std_1593100662968_3,class_20200625-211715_3,UYdu-v4hu,48b63bf4-cb9a-434d-a49c-c13b617099ed,cbcc77c1-2a1e-41ae-a8d6-6e729b1d86bb,cf54d59e-b518-418e-96bd-d5b473257f00,1dd029bd-c36c-49ef-9caa-2cae0f92bfff,f9c9ccc2-c7d7-46f9-b1f9-b1d2becd857c
tch_20200625-211715_1,addd5a2d-b6fc-11ea-840b-0242ac110002,std_1593100710358_1,class_20200625-211715_1,8AFA-3JFj,cb419c7e-a8ba-4d6d-a005-f43383aa0808,9f132e70-d882-4432-a336-6ed71e2195fc,8df5ab2d-64e5-4ca6-af9c-88f2e4205725,2db15032-daaa-43d6-b9c6-2434146fa60b,27a8128f-634f-41ae-8710-93cac9cb8dc7
tch_20200625-211715_2,9e00fce3-b6fc-11ea-840b-0242ac110002,std_1593100683770_2,class_20200625-211715_2,Djt2-X69s,b868d65c-d3d0-414e-95f1-c5eaaf37a488,8ec6ce3b-df21-4a43-bf1d-219eafee63d2,fe0439b3-b0c4-457b-add8-a46d3191935f,4cc65cf4-c3c5-4146-a256-5a7bf6d160e5,9b6da82c-8304-45c1-bbd3-2b04fd00a50d
tch_20200625-211715_4,a931ac2f-b6fc-11ea-840b-0242ac110002,std_1593100702296_4,class_20200625-211715_4,k47s-vncW,adf5d569-eea8-490f-8b6a-f053b3e853d4,aca332d1-6b21-4d15-9fc2-9329f489663f,8fa5483b-728c-4d57-a154-736ac6dbce46,26f47c1c-9edb-4583-82ca-4f49aa2a04a9,e8d2eb9d-5b72-4cfa-8392-5eb0bc829049
tch_20200625-211715_3,b07b5d31-b6fc-11ea-94cc-0242ac110002,std_1593100714772_3,class_20200625-211715_3,UYdu-v4hu,48b63bf4-cb9a-434d-a49c-c13b617099ed,cbcc77c1-2a1e-41ae-a8d6-6e729b1d86bb,cf54d59e-b518-418e-96bd-d5b473257f00,1dd029bd-c36c-49ef-9caa-2cae0f92bfff,f9c9ccc2-c7d7-46f9-b1f9-b1d2becd857c
tch_20200625-211715_5,b7036c68-b6fc-11ea-94cc-0242ac110002,std_1593100725465_5,class_20200625-211715_5,2XhU-3msD,1ba8204c-b9e5-4988-a754-dddfca999cc3,c9e63d9b-06f5-4a68-80fb-c8c4eeded67e,a798559b-051f-437e-9dc5-3c6c8683adce,e33fa23f-86b4-4267-8dab-660684436596,c3d97b10-c6ec-449a-b16a-b6b56dbdd854
tch_20200625-211715_4,c6c58af0-b6fc-11ea-94cc-0242ac110002,std_1593100752164_4,class_20200625-211715_4,k47s-vncW,adf5d569-eea8-490f-8b6a-f053b3e853d4,aca332d1-6b21-4d15-9fc2-9329f489663f,8fa5483b-728c-4d57-a154-736ac6dbce46,26f47c1c-9edb-4583-82ca-4f49aa2a04a9,e8d2eb9d-5b72-4cfa-8392-5eb0bc829049
tch_20200625-211715_1,c579f7d5-b6fc-11ea-94cc-0242ac110002,std_1593100749991_1,class_20200625-211715_1,8AFA-3JFj,cb419c7e-a8ba-4d6d-a005-f43383aa0808,9f132e70-d882-4432-a336-6ed71e2195fc,8df5ab2d-64e5-4ca6-af9c-88f2e4205725,2db15032-daaa-43d6-b9c6-2434146fa60b,27a8128f-634f-41ae-8710-93cac9cb8dc7
tch_20200625-211715_3,c9f2af13-b6fc-11ea-840b-0242ac110002,std_1593100757492_3,class_20200625-211715_3,UYdu-v4hu,48b63bf4-cb9a-434d-a49c-c13b617099ed,cbcc77c1-2a1e-41ae-a8d6-6e729b1d86bb,cf54d59e-b518-418e-96bd-d5b473257f00,1dd029bd-c36c-49ef-9caa-2cae0f92bfff,f9c9ccc2-c7d7-46f9-b1f9-b1d2becd857c
tch_20200625-211715_5,d0a32d92-b6fc-11ea-94cc-0242ac110002,std_1593100768721_5,class_20200625-211715_5,2XhU-3msD,1ba8204c-b9e5-4988-a754-dddfca999cc3,c9e63d9b-06f5-4a68-80fb-c8c4eeded67e,a798559b-051f-437e-9dc5-3c6c8683adce,e33fa23f-86b4-4267-8dab-660684436596,c3d97b10-c6ec-449a-b16a-b6b56dbdd854
