teacher,classcode
tch_20200626-122441_1,rAu4-FAy2
tch_20200626-122441_2,g8fW-boKm
tch_20200626-122441_3,xmbD-tgak
tch_20200626-122441_4,VHi2-KDgs
tch_20200626-122441_5,WUx3-Qz6v
tch_20200626-122441_6,tFmh-J4wa
tch_20200626-122441_7,6u8m-drpu
tch_20200626-122441_8,fbh9-qUf6
tch_20200626-122441_9,CeN9-VL7e
tch_20200626-122441_10,84t9-Tf2r
tch_20200626-122441_11,v6PN-yMzx
tch_20200626-122441_12,2w4r-oMm8
tch_20200626-122441_13,wzBW-skco
tch_20200626-122441_14,7tU2-N4EB
tch_20200626-122441_15,834J-7heW
tch_20200626-122441_16,879X-9x3C
tch_20200626-122441_17,VHo7-4924
tch_20200626-122441_18,4i8P-rWzd
tch_20200626-122441_19,94v3-FiyX
tch_20200626-122441_20,W839-3raB
tch_20200626-122441_21,rebG-YgVc
tch_20200626-122441_22,wDTW-yap4
tch_20200626-122441_23,a8aF-TeDv
tch_20200626-122441_24,PY2r-qnhr
tch_20200626-122441_25,6ege-Q9Lr
tch_20200626-122441_26,p783-xPu2
tch_20200626-122441_27,Nmp3-Jqw3
tch_20200626-122441_28,erA2-XTpo
tch_20200626-122441_29,EhjA-aK26
tch_20200626-122441_30,jRGE-BV2f
tch_20200626-122441_31,2mYw-gJ3z
tch_20200626-122441_32,eY2c-teLG
tch_20200626-122441_33,id89-XPjy
tch_20200626-122441_34,P82E-m8Gj
tch_20200626-122441_35,2A2T-FCnf
tch_20200626-122441_36,iWMP-23qp
tch_20200626-122441_37,4673-73Lv
tch_20200626-122441_38,98WF-LqDs
tch_20200626-122441_39,VF29-nh6x
tch_20200626-122441_40,8FcT-397n
tch_20200626-122441_41,UR64-WzkT
tch_20200626-122441_42,rq7c-R3sK
tch_20200626-122441_43,d2k3-Hs4W
tch_20200626-122441_44,bNgw-2TqV
tch_20200626-122441_45,bKk9-y76y
tch_20200626-122441_46,Tm7Y-9HF4
tch_20200626-122441_47,2gE2-3YEi
tch_20200626-122441_48,cF9k-26ih
tch_20200626-122441_49,6mRL-8h6w
tch_20200626-122441_50,kQP2-m6Co
tch_20200626-122441_51,4g9o-46G7
tch_20200626-122441_52,TysL-6AVZ
tch_20200626-122441_53,najf-3kdi
tch_20200626-122441_54,qst2-jkH6
tch_20200626-122441_55,r828-fg3J
tch_20200626-122441_56,M9r3-46xt
tch_20200626-122441_57,PFuh-32AF
tch_20200626-122441_58,YrNa-8d2b
tch_20200626-122441_59,x4sZ-2Ui4
tch_20200626-122441_60,n4p2-VvwP
tch_20200626-122441_61,C47K-D9Gn
tch_20200626-122441_62,Px8c-pZWR
tch_20200626-122441_63,PVji-pyCb
tch_20200626-122441_64,8biV-ezmi
tch_20200626-122441_65,Q24D-GsGo
tch_20200626-122441_66,enWi-ZvC6
tch_20200626-122441_67,Ui3D-jyoJ
tch_20200626-122441_68,erAg-fpuW
tch_20200626-122441_69,rDGB-uFEY
tch_20200626-122441_70,ro7G-it4q
tch_20200626-122441_71,6BMy-nNBm
tch_20200626-122441_72,9CvH-3Tns
tch_20200626-122441_73,cp46-oRs3
tch_20200626-122441_74,7G8B-ZYa7
tch_20200626-122441_75,HfcZ-D9HQ
tch_20200626-122441_76,8YPz-au9M
tch_20200626-122441_77,4bdE-uamF
tch_20200626-122441_78,WL4t-7rgi
tch_20200626-122441_79,6KoY-AbfR
tch_20200626-122441_80,W87E-u6Bg
tch_20200626-122441_81,i4ft-V9PG
tch_20200626-122441_82,9Guj-K8e6
tch_20200626-122441_83,PR2c-nhRM
tch_20200626-122441_84,at26-Bz6c
tch_20200626-122441_85,h8sM-F4dE
tch_20200626-122441_86,Xa2v-fK4j
tch_20200626-122441_87,MymW-ukAD
tch_20200626-122441_88,hNE7-T8xg
tch_20200626-122441_89,6E79-o9zf
tch_20200626-122441_90,3LYx-6d9i
tch_20200626-122441_91,Gnvu-EmX6
tch_20200626-122441_92,ua7U-tsQ3
tch_20200626-122441_93,6sk3-xWg4
tch_20200626-122441_94,6Zqh-C9Gi
tch_20200626-122441_95,u8Y7-en3q
tch_20200626-122441_96,89iD-6s9i
tch_20200626-122441_97,8rT8-U3aJ
tch_20200626-122441_98,e9im-i79g
tch_20200626-122441_99,oQg2-geCr
tch_20200626-122441_100,Fts4-xXZF
