teacher,stduuid,stdextuserid,classtitle,classcode,ap1,ap2,ap3,ap4,ap5
tch_20200628-214431_1,c1ac52de-b95b-11ea-840b-0242ac110002,std_1593361448194_1,class_20200628-214431_1,FcFd-jvRo,3f05fb84-24d9-44db-bbe5-4a06c69adb4e,132860c2-bb85-466e-b80a-031debdbd78c,b75d759b-46b6-4a8f-93b1-f617ac93a886,dd41abc1-ade8-4755-ac56-29550facbfab,20b2dfd5-ce6e-47a0-a336-e7761ec24a56
tch_20200628-214431_1,d28f237d-b95b-11ea-840b-0242ac110002,std_1593361476819_1,class_20200628-214431_1,FcFd-jvRo,3f05fb84-24d9-44db-bbe5-4a06c69adb4e,132860c2-bb85-466e-b80a-031debdbd78c,b75d759b-46b6-4a8f-93b1-f617ac93a886,dd41abc1-ade8-4755-ac56-29550facbfab,20b2dfd5-ce6e-47a0-a336-e7761ec24a56
tch_20200628-214431_2,d371e31a-b95b-11ea-840b-0242ac110002,std_1593361478015_2,class_20200628-214431_2,FVWG-4Q76,4ef2f538-6cd0-49df-97d9-00890e459eab,818948ce-9d54-4fdd-b0e4-692b8f18dcfe,e4c7fad8-2d14-4375-9c2b-c5bb275f4376,24dc6f23-d1d1-49b0-bc35-aa4af3ea615c,94f5643c-7ac6-4546-9dfb-557b05f7e676
tch_20200628-214431_2,e4f9a581-b95b-11ea-94cc-0242ac110002,std_1593361507739_2,class_20200628-214431_2,FVWG-4Q76,4ef2f538-6cd0-49df-97d9-00890e459eab,818948ce-9d54-4fdd-b0e4-692b8f18dcfe,e4c7fad8-2d14-4375-9c2b-c5bb275f4376,24dc6f23-d1d1-49b0-bc35-aa4af3ea615c,94f5643c-7ac6-4546-9dfb-557b05f7e676
tch_20200628-214431_1,e4088ec6-b95b-11ea-840b-0242ac110002,std_1593361506159_1,class_20200628-214431_1,FcFd-jvRo,3f05fb84-24d9-44db-bbe5-4a06c69adb4e,132860c2-bb85-466e-b80a-031debdbd78c,b75d759b-46b6-4a8f-93b1-f617ac93a886,dd41abc1-ade8-4755-ac56-29550facbfab,20b2dfd5-ce6e-47a0-a336-e7761ec24a56
tch_20200628-214431_3,eddfa19a-b95b-11ea-94cc-0242ac110002,std_1593361522372_3,class_20200628-214431_3,iuWB-ovYn,b36e5244-0df7-414d-a451-788bf94acfac,0c7c7560-215c-461f-8218-0b088f771342,262c3e0d-cfb2-41d0-877b-20786f68327e,91a15803-8f30-4423-8341-9f1f7a36a24d,b1a4c292-f0b8-41fc-a38d-208b6bdfb90c
tch_20200628-214431_1,f489df0a-b95b-11ea-94cc-0242ac110002,std_1593361533834_1,class_20200628-214431_1,FcFd-jvRo,3f05fb84-24d9-44db-bbe5-4a06c69adb4e,132860c2-bb85-466e-b80a-031debdbd78c,b75d759b-46b6-4a8f-93b1-f617ac93a886,dd41abc1-ade8-4755-ac56-29550facbfab,20b2dfd5-ce6e-47a0-a336-e7761ec24a56
tch_20200628-214431_2,f458bd36-b95b-11ea-94cc-0242ac110002,std_1593361533517_2,class_20200628-214431_2,FVWG-4Q76,4ef2f538-6cd0-49df-97d9-00890e459eab,818948ce-9d54-4fdd-b0e4-692b8f18dcfe,e4c7fad8-2d14-4375-9c2b-c5bb275f4376,24dc6f23-d1d1-49b0-bc35-aa4af3ea615c,94f5643c-7ac6-4546-9dfb-557b05f7e676
tch_20200628-214431_4,fc520eba-b95b-11ea-94cc-0242ac110002,std_1593361546611_4,class_20200628-214431_4,nAg2-3RCv,b02172f3-ddc3-4762-bae9-66f6d866c89d,c50f67e1-573d-47ba-bf1e-47ce6e053438,5113b1da-a7fb-40ca-bb79-9d68abbcdb8c,622d1292-f359-4bcd-b5c4-ecab63ad3a80,8fcca78d-4286-4e9b-ab17-49d903cf639a
tch_20200628-214431_3,ff8992ef-b95b-11ea-94cc-0242ac110002,std_1593361552288_3,class_20200628-214431_3,iuWB-ovYn,b36e5244-0df7-414d-a451-788bf94acfac,0c7c7560-215c-461f-8218-0b088f771342,262c3e0d-cfb2-41d0-877b-20786f68327e,91a15803-8f30-4423-8341-9f1f7a36a24d,b1a4c292-f0b8-41fc-a38d-208b6bdfb90c
tch_20200628-214431_1,0497371b-b95c-11ea-94cc-0242ac110002,std_1593361560777_1,class_20200628-214431_1,FcFd-jvRo,3f05fb84-24d9-44db-bbe5-4a06c69adb4e,132860c2-bb85-466e-b80a-031debdbd78c,b75d759b-46b6-4a8f-93b1-f617ac93a886,dd41abc1-ade8-4755-ac56-29550facbfab,20b2dfd5-ce6e-47a0-a336-e7761ec24a56
tch_20200628-214431_2,04ebe6e0-b95c-11ea-840b-0242ac110002,std_1593361561335_2,class_20200628-214431_2,FVWG-4Q76,4ef2f538-6cd0-49df-97d9-00890e459eab,818948ce-9d54-4fdd-b0e4-692b8f18dcfe,e4c7fad8-2d14-4375-9c2b-c5bb275f4376,24dc6f23-d1d1-49b0-bc35-aa4af3ea615c,94f5643c-7ac6-4546-9dfb-557b05f7e676
tch_20200628-214431_5,075dd0ed-b95c-11ea-94cc-0242ac110002,std_1593361565138_5,class_20200628-214431_5,d2f9-vAC3,81a1121d-6530-41e4-9cb5-a70065c100af,519d38a3-6bc2-4a92-a8cc-dcc542d0044d,672c023d-5d43-4844-be11-226a7b3ca802,9b7a7086-f5e9-4521-b8b8-45b70515b4ab,7dbab91d-137d-4554-aad9-73ec0e17293f
tch_20200628-214431_4,0cfbce9d-b95c-11ea-840b-0242ac110002,std_1593361574854_4,class_20200628-214431_4,nAg2-3RCv,b02172f3-ddc3-4762-bae9-66f6d866c89d,c50f67e1-573d-47ba-bf1e-47ce6e053438,5113b1da-a7fb-40ca-bb79-9d68abbcdb8c,622d1292-f359-4bcd-b5c4-ecab63ad3a80,8fcca78d-4286-4e9b-ab17-49d903cf639a
tch_20200628-214431_3,0e556a7e-b95c-11ea-94cc-0242ac110002,std_1593361577126_3,class_20200628-214431_3,iuWB-ovYn,b36e5244-0df7-414d-a451-788bf94acfac,0c7c7560-215c-461f-8218-0b088f771342,262c3e0d-cfb2-41d0-877b-20786f68327e,91a15803-8f30-4423-8341-9f1f7a36a24d,b1a4c292-f0b8-41fc-a38d-208b6bdfb90c
tch_20200628-214431_6,12007105-b95c-11ea-94cc-0242ac110002,std_1593361582989_6,class_20200628-214431_6,EW6C-zfon,0e5aafbe-be07-42b1-9beb-de8854d3dd91,f2e0e346-faa1-4d7f-abf7-aeaf6ea8e7fc,3c7b3db8-e733-43f2-8e8e-59ad5212075b,ada06703-2150-4d9e-8d20-59be3bb40a6b,73cfb70c-9e21-438c-9a20-2410b1bdc777
tch_20200628-214431_1,14171bdf-b95c-11ea-840b-0242ac110002,std_1593361586795_1,class_20200628-214431_1,FcFd-jvRo,3f05fb84-24d9-44db-bbe5-4a06c69adb4e,132860c2-bb85-466e-b80a-031debdbd78c,b75d759b-46b6-4a8f-93b1-f617ac93a886,dd41abc1-ade8-4755-ac56-29550facbfab,20b2dfd5-ce6e-47a0-a336-e7761ec24a56
tch_20200628-214431_2,159f1b90-b95c-11ea-840b-0242ac110002,std_1593361589367_2,class_20200628-214431_2,FVWG-4Q76,4ef2f538-6cd0-49df-97d9-00890e459eab,818948ce-9d54-4fdd-b0e4-692b8f18dcfe,e4c7fad8-2d14-4375-9c2b-c5bb275f4376,24dc6f23-d1d1-49b0-bc35-aa4af3ea615c,94f5643c-7ac6-4546-9dfb-557b05f7e676
tch_20200628-214431_5,168c898b-b95c-11ea-840b-0242ac110002,std_1593361590909_5,class_20200628-214431_5,d2f9-vAC3,81a1121d-6530-41e4-9cb5-a70065c100af,519d38a3-6bc2-4a92-a8cc-dcc542d0044d,672c023d-5d43-4844-be11-226a7b3ca802,9b7a7086-f5e9-4521-b8b8-45b70515b4ab,7dbab91d-137d-4554-aad9-73ec0e17293f
