teacherextuserid,classtitle,classcode,ap1,ap2,ap3,ap4,ap5
tch_20200514-094916_2,class_20200514-094916_2,f3qn-Mq29,2ce6ecb1-2208-43cf-904e-00a0ebdcca99,198dd155-2b00-449b-aa0e-c1a0e13fed3d,61293112-57f2-4baa-8510-be4e778d2851,ca125ab3-8f8f-4a13-a23f-60bcd9e18b5d,696c6cc4-f0ec-4bab-acb1-3e71ec63d7a3
tch_20200514-094916_1,class_20200514-094916_1,zKzp-F43U,283974b5-f2a6-4968-bbf0-e7ffaafd9bd6,834e96d2-4838-4013-b363-2cfd34e2ae5d,9f2844ac-6fc4-4cf6-ab47-1a198cddff2a,ef8be8ec-1403-4978-a338-1a090d31eb73,55d7a79d-5d1b-4743-9185-0ad642297c95
tch_20200514-094916_4,class_20200514-094916_4,32n3-u9jt,dab80160-0b48-44f4-ac3f-e02a599ac3a5,21b9f537-24e5-429d-9724-58769a3fb977,d84289e7-8e93-4bea-9a32-7eddd47d65a7,0c9fc05b-92c7-4077-a85c-90178129d705,804a17a8-7ff5-44c4-b5d8-2c794d3e67f1
tch_20200514-094916_3,class_20200514-094916_3,keKn-9AdJ,75c9a429-39f5-458a-946a-ab565f5180e1,a0b62e2c-6547-482d-88f7-83f5bd4dc92c,20452db5-ae9b-4d91-a15a-8efdf1f851d5,4d531361-ecdf-4fe3-8583-ae9db4f12b27,771ed599-7f09-428a-9043-062a85267112
tch_20200514-094916_5,class_20200514-094916_5,64jD-8PW7,ca36e856-2654-4d50-a17b-39ab03d96072,5a522533-d943-4689-acf4-1c625c2adb08,e90531f0-b141-4a1b-80a3-52ebb1e9616d,96cdbad5-ea5b-4c5b-8604-25e74f9d74f3,2c85f961-ea54-475f-bbd3-e91e8e8d23ec
tch_20200514-094916_6,class_20200514-094916_6,gU9D-Zr7e,b37c2fd0-f68d-4f38-8741-c216b49d2a21,5c5ea3d2-9bca-41df-b56e-3355c7e78bb8,5689a819-4d8b-4ca2-be8f-efaa519091f1,c1a7fd36-cb28-4106-842d-f4bc4d2708f7,8ab2e1f3-7951-4fdc-afe2-459c99d7499e
tch_20200514-094916_7,class_20200514-094916_7,U9s4-7V23,55a9d94a-6833-438a-baa2-24e2b799e0ad,fe7a8857-21da-46e2-a77f-679d2e342f31,8216fc68-a934-42a6-85be-8c10aeb64e60,ce8c8f75-c14c-424f-ba97-9a37cdd398bc,2a418297-7e70-47fe-a494-a29a37ce67cb
tch_20200514-094916_8,class_20200514-094916_8,737C-e426,c69ea8ff-9220-4ea9-adfe-52d3ba31625d,1706d16d-e420-4f98-ab67-3e3bf544c579,13db01c6-4bda-4328-9635-6a96513e83a2,09f75a45-8aac-4bdf-a91f-741102fdc2de,498c4411-f4cd-46b2-ba94-abcd7c349f0b
tch_20200514-094916_9,class_20200514-094916_9,eZgb-x2J8,4a769730-e15f-47fb-b36c-7fde1b2aaa18,fdb7766e-81d0-400e-b66a-21b6c918a98f,fab9312d-e452-46e1-a213-1a4d7ea6cc4c,f6720c5a-6424-48b7-8fb2-e885af1c6dd0,b37a8f5b-e05d-48f7-a11e-e7a7ec916f74
tch_20200514-094916_11,class_20200514-094916_11,6x74-Li2G,34154a85-46ce-4b61-aca9-0fd4440878e8,c146a955-5114-4b36-8107-6cd4682b6c83,c496a711-7556-4336-8fea-818607ff3557,b2d221dc-a905-4d02-9aba-67f49a0b0049,4c10710b-8970-4845-a579-df9719104e21
tch_20200514-094916_10,class_20200514-094916_10,cRKQ-qe2W,6d339beb-e2f0-403c-a708-61f734e4c573,9cb64e36-8f56-4271-8353-cc3972ce25f8,ee4105f0-43d0-441c-9a16-c908bed01b2e,c54b77ab-dc71-43d6-a9d4-a0eba43b136e,00cbdfbd-d779-49f0-be68-609324b31aed
tch_20200514-094916_13,class_20200514-094916_13,pwea-s3Zr,b3770082-6124-4768-a9bf-21dda1024178,9b0e0c46-a99b-4a7d-9033-3474efcb8542,fa3f2f87-9975-4cf8-a42e-c497706b9020,15f2d86a-72fa-4645-9223-1ce620778bf5,dffbbd00-30f6-41c5-8ebf-5c11d8a0c2a3
tch_20200514-094916_12,class_20200514-094916_12,tk2Y-u7da,22c46b4f-8a7b-4bc5-b7f2-d573ffad04e7,817945b7-864a-4416-a1f5-c77343496738,0ec55340-e66e-47ca-acb7-ca920c3509df,a017c1dd-9e45-42e0-a48a-0cf0bde33f78,e629430e-4301-4901-83aa-a822f29aa068
tch_20200514-094916_14,class_20200514-094916_14,7RKh-n6Nf,e2c1878a-d3ee-4974-a820-47f98e16654b,e8eac1a0-b68e-4cd2-9044-044e885906ed,a4c00877-91b5-44f0-86f1-ff994ea64b72,79117ce7-0eac-47e5-a0b4-9efeb4639fa1,e14cf99f-3b7a-40fe-b225-4a0a788d2f93
tch_20200514-094916_15,class_20200514-094916_15,RpE9-8KzR,f73e96a9-209e-49ac-b028-364be092ca19,281b323e-5904-4e9a-96d3-34815de2ed1d,b59a2c5a-9cd7-4ed3-bfb8-e082ea681f76,22991399-a73b-4524-aa61-8472732896e8,10a3d6b0-90d4-44b2-a2a1-82ec9c47e222
