tchextuserid,classcode
tch_20220930-132046_1,UX6w-J8q4
tch_20220930-132046_2,Z78z-Wkp3
tch_20220930-132046_3,YRuk-D2u4
tch_20220930-132046_4,nMf3-4u89
tch_20220930-132046_5,vye7-N92p
tch_20220930-132046_6,qpkL-Y4V3
tch_20220930-132046_7,EQ8m-EP9R
tch_20220930-132046_8,24j7-PU2p
tch_20220930-132046_9,TLiu-g2ZL
tch_20220930-132046_10,MmaK-D3EJ
tch_20220930-132046_11,MEp2-ZNsf
tch_20220930-132046_12,4Duv-46Ey
tch_20220930-132046_13,sUVW-73nM
tch_20220930-132046_14,Hn24-HWZh
tch_20220930-132046_15,Uxfp-W4Mp
tch_20220930-132046_16,MvLJ-KnLv
tch_20220930-132046_17,JVkD-6PUN
tch_20220930-132046_18,3qV4-7y49
tch_20220930-132046_19,8m8W-89VM
tch_20220930-132046_20,ntA8-T72T
tch_20220930-132046_21,fA4L-2H42
tch_20220930-132046_22,79s4-X47n
tch_20220930-132046_23,zYte-ut4n
tch_20220930-132046_24,NLR7-yu2i
tch_20220930-132046_25,g9rd-AHQJ
tch_20220930-132046_26,kTEG-67K8
tch_20220930-132046_27,Vw6s-43Q9
tch_20220930-132046_28,bcb6-X6oU
tch_20220930-132046_29,R3VP-cnDC
tch_20220930-132046_30,Y9wY-o8kx
tch_20220930-132046_31,zGAV-v6Mx
tch_20220930-132046_32,gX23-G96T
tch_20220930-132046_33,GcKo-Nbc3
tch_20220930-132046_34,8x2N-EsUA
tch_20220930-132046_35,sEAd-3vh6
tch_20220930-132046_36,BK4i-Zxn3
tch_20220930-132046_37,Lgz7-L2pe
tch_20220930-132046_38,VZPy-ekox
tch_20220930-132046_39,M8of-cQYk
tch_20220930-132046_40,pJhq-49E6
tch_20220930-132046_41,KX6i-Qn6V
tch_20220930-132046_42,3qz7-Ze97
tch_20220930-132046_43,BdBd-mH3y
tch_20220930-132046_44,p3zL-r48i
tch_20220930-132046_45,zZjR-4p24
tch_20220930-132046_46,s347-iX3x
tch_20220930-132046_47,sPT3-sDZV
tch_20220930-132046_48,A4uW-m8YX
tch_20220930-132046_49,TCdx-6jBd
tch_20220930-132046_50,4t9A-RJAJ
tch_20220930-132046_51,7WR3-xeuD
tch_20220930-132046_52,z4pq-636W
tch_20220930-132046_53,9G7X-6rD4
tch_20220930-132046_54,G28C-dU7B
tch_20220930-132046_55,6eH2-4za8
tch_20220930-132046_56,fo8A-ar9v
tch_20220930-132046_57,4u37-6T7c
tch_20220930-132046_58,hkR3-2W6b
tch_20220930-132046_59,kReD-XmtR
tch_20220930-132046_60,nB7j-iQjg
tch_20220930-132046_61,tBXh-owM2
tch_20220930-132046_62,HBAY-38Zk
tch_20220930-132046_63,KBEs-nsiY
tch_20220930-132046_64,Wjqx-w4dN
tch_20220930-132046_65,3GFi-c284
