tchextuserid,classname,classcode,assignment1,assignment2,assignment3,assignment4,assignment5
tch_20200623-215505_1,class_20200623-215505_1,ZjZp-xdZC,628c41ff-c9be-4c09-adf3-423795e3b449,2f344f72-1092-4a9b-857b-c501f097ced5,9de48084-590b-4d09-ad73-931c1fd808cf,9cceeae1-d458-45bf-9222-d777317a8cfa,eec79808-296c-4bb9-923c-23750cd68951,
tch_20200623-215505_4,class_20200623-215505_4,iWP9-VQjx,db9d1f8b-4433-405a-9816-9a6b51bb9fd0,904d972c-d3f2-4439-9566-c3906ce30bb3,7ae3a34a-41cc-444d-ba55-764c74aca64e,9a3df0a9-3221-4a24-8aae-6ebe1bf965b4,08ea9851-36bd-4586-8dc8-973b297b3630,
tch_20200623-215505_2,class_20200623-215505_2,x3Gm-KCp7,eaf6dabd-870b-4a96-a071-8ece91510089,dc21b229-27b9-454b-a671-68768fc4df4d,0f853ee6-d9d2-466f-b0a8-d32e544fc4ba,c78d0ad2-61ac-4271-be23-913ce3363671,90b6645c-55a9-4842-ad67-43ad3ff8abfe,
tch_20200623-215505_3,class_20200623-215505_3,LGsY-zis3,15e77b9b-dbfe-4e66-a8d9-36a607d5b67a,9590708f-cd1a-45c6-ae72-f9805ac62cc0,9ca7f665-5890-471c-a15b-e484ddb82224,6126ecdd-74d4-4988-8171-903f6233b6e0,2f19d1ec-be7d-4ff2-8f0e-85752d4cd563,
tch_20200623-215505_10,class_20200623-215505_10,Cu4L-BQEn,8c449357-291d-44ff-8658-e85bf327a136,8ad1a147-d7eb-4ab0-bb7e-8611a1a0d1e6,97743309-48b8-49b1-b86b-1124ca60a961,30a6bdb3-b31e-4469-80ee-15e578c5a73e,9bd04660-5d4a-413d-b955-7203a9d482a0,
tch_20200623-215505_8,class_20200623-215505_8,Apfd-V6wf,04145293-b608-4cb5-9aa9-d8cef6ba38e9,248f06e6-99e7-47bc-9fba-57b3e0524620,95df4945-c24d-40f1-9f5f-0e0445cbb26b,8bf3d379-0ba8-40aa-b3b5-2970d2020c33,610c52c6-d6e7-43e3-877c-bf58b5208166,
tch_20200623-215505_6,class_20200623-215505_6,xB3f-Yv9L,ecb53bbe-b44f-44a1-aacf-c78104b11192,10bd9feb-3562-47aa-af9f-d52019da24d4,ab8ffe93-9630-4de0-b184-16bdfbf1a3b7,254c2f19-df9b-46b2-a8d1-6ec0fdee2d8c,e7e90912-bda4-4cdc-83b4-c87766512662,
tch_20200623-215505_5,class_20200623-215505_5,HN26-vE67,625c5ebc-b503-4512-be69-bf3df4f21e14,832ee19e-dd0f-4abc-9662-690649754681,cf36a297-75fd-422e-aa1e-9c79f859257b,af4b36f0-652e-449e-9d5f-a45a71d1ce8b,e7c84971-5b37-4173-b9fd-42bc01e451d3,
tch_20200623-215505_7,class_20200623-215505_7,7rsP-wZnx,83be3063-30bc-477e-a46f-eda50a235fbf,90b84000-f345-4a5d-aca2-63fe7657bcee,fc889ddd-7f7c-438d-9813-04a20aecc98a,80124775-a3a2-409a-856b-98460e7e3070,8a2fd963-b46a-42ff-8674-4988c788a1fc,
tch_20200623-215505_9,class_20200623-215505_9,kfM7-6P6H,f253c4eb-c0b2-4fa1-ae28-d76252b978d4,a94a203d-ea51-4e4d-8d25-7b0bb3988a74,a8e8875a-78f2-4a60-a5ff-0c52413ba6f4,665eaebe-d3f4-4bc6-b772-29fd71df33fc,19e41b76-2c24-4a6f-b10e-86d2f0072625,
tch_20200623-215505_12,class_20200623-215505_12,T8vt-p8P2,836fd191-a745-4ab7-99a8-d55602eb5d83,a72f5851-1ceb-4eaa-a554-91ef267349e8,d9c11e97-bb3e-4a62-877c-6f80c47b7370,ad7804e7-4172-4c70-b718-9a2ea5de15ef,1393e4ef-b822-4300-aa0c-6217e9ba2f2a,
tch_20200623-215505_14,class_20200623-215505_14,79tZ-yH79,ae8b077c-ee10-4327-9794-999869fae77e,4e061020-bb09-4bf3-9ee0-1f3e58065727,846ec216-9fbc-48a9-9848-e3b1e08d6a80,1aea3429-5dee-4fd7-98ce-ae265f3af336,7c0f1a14-dfba-4822-8616-499e7e21df0a,
tch_20200623-215505_11,class_20200623-215505_11,s29T-k3fX,f6540a56-dcf4-480f-9014-43d82e7d86e6,bfd2612b-000e-4694-81b4-0b0125833b1e,6722d485-8cf3-4c16-b30e-72da31330f4f,2aaf71ee-4783-41ee-b010-1e1c870bc79d,4fb81873-d2dc-45b0-b713-179fb665fc8a,
tch_20200623-215505_16,class_20200623-215505_16,6s8q-VKT7,465a06ab-8885-49ab-aab8-fd084ee710b1,89bb83e2-798b-424b-9df2-dd10cc97f1ea,6d48b506-d765-4e2f-b0b1-f6ca686c6821,fc1600f6-eea5-43b8-8149-38c22c5b9166,47f236ad-c3da-4014-8618-528496f59ee3,
tch_20200623-215505_13,class_20200623-215505_13,BP4i-ak4U,9c089c26-8226-4c7f-9526-5d13c577366d,3c29f16f-7dd8-4549-a63d-ae645e07f788,e3c4eb79-ade2-4473-b7e1-83e281092798,f39077cd-fbbe-42b5-8c49-6b355cce3cfc,6be33895-2247-4b70-ba60-bb53debd320b,
tch_20200623-215505_15,class_20200623-215505_15,boyK-c23g,2b70a0d7-8a8f-404c-b9ca-9491252a217a,d508cc94-03e6-4c5a-af0c-8896a0518a91,10d266df-cc4f-4402-8510-54a986c1b5d4,1d66476b-9406-4720-af97-3a68cf08cd07,26f5ed10-ee47-4b13-82f6-1e4fd70ed3d3,
