studentextuserid,groupids,tchextuserids
std_1592975798552_1,458e5d55-c849-4f15-861d-fc83959917c6,tch_20200624-103022_1
std_1592975829148_2,11f77125-d92b-485e-a5e8-ab8bedb01d0e,tch_20200624-103022_2
std_1592975840613_3,f2e2240e-bcb4-49e2-9992-18b2b03db618,tch_20200624-103022_3
std_1592975881431_4,d7805229-a413-4274-abda-f9272782dea7,tch_20200624-103022_4
std_1592975890934_5,9d473f24-f0e7-4ba0-9a2f-a26901491c2b,tch_20200624-103022_5
std_1592975953898_6,3888a184-707a-4d9f-9471-7c8b5513f1c7,tch_20200624-103022_6
std_1592975983877_7,bf9b5628-7567-4347-be01-5f50a4178566,tch_20200624-103022_7
std_1592976007834_8,5e5b4633-66d4-4a8a-9f2c-1ba2d9aae50b,tch_20200624-103022_8
std_1592976035366_9,f4c4019a-378d-4cba-9849-9383d378da83,tch_20200624-103022_9
std_1592976049213_10,58255835-d261-4136-b10d-c12376785832,tch_20200624-103022_10
std_1592976094673_11,f51c2faf-b128-4bfe-a315-d279f00f0927,tch_20200624-103022_11
std_1592976136052_12,84e0530f-2e92-4471-bd4c-90b0154ea95d,tch_20200624-103022_12
std_1592976143846_13,ad462a59-7874-45c2-b1b8-896b4b739762,tch_20200624-103022_13
std_1592976165936_14,309854c3-6ee9-41df-8234-3a71adc52a55,tch_20200624-103022_14
std_1592976204420_15,1662002a-eca7-46fa-8e18-f1428631a6dc,tch_20200624-103022_15
std_1592976216577_16,b137a709-21d1-4362-916d-3e12ec8304ee,tch_20200624-103022_16
std_1592976250863_17,e67465a7-ea7d-47f2-9f88-6187e7f814e4,tch_20200624-103022_17
std_1592976283216_18,0c46c733-88c2-4fa6-b314-08c1fb495a92,tch_20200624-103022_18
std_1592976332252_19,f0b2b814-696a-48e0-a8b4-27fdae808b7c,tch_20200624-103022_19
std_1592976354212_20,fc101059-89dc-4f90-8bde-ab411ea7fe53,tch_20200624-103022_20
std_1592976373675_21,21d5f3a8-6b4c-40e8-82b8-6b73c881ce46,tch_20200624-103022_21
std_1592976436911_22,07096647-3a39-4977-8bfb-46ee8c05b0d0,tch_20200624-103022_22
std_1592976452463_23,710ac6f7-2965-4ddf-b933-b0a8d63ec64b,tch_20200624-103022_23
std_1592976497543_24,03c4681e-6fed-4dd3-9051-46f2bcdbeed4,tch_20200624-103022_24
std_1592976496282_25,1cf1e36e-1f4f-4aa8-a6a4-0e26b60f8c44,tch_20200624-103022_25
std_1592976564296_27,414b66d9-9f5b-4ad2-8c3e-7ba0c3b32484,tch_20200624-103022_27
std_1592976567136_26,9815f3a2-5c43-469a-8c45-a6e684173edd,tch_20200624-103022_26
std_1592976599132_28,7ed54022-4864-4e52-abf5-d9fc8c3b68ee,tch_20200624-103022_28
std_1592976656976_30,f77c5412-6098-444e-b736-da7c6103ab8c,tch_20200624-103022_30
std_1592976646139_29,04071940-08b5-4d1c-8b15-f77e2453e391,tch_20200624-103022_29
std_1592976682854_31,d0abfa15-af86-43ba-9d72-28585b9f0c14,tch_20200624-103022_31
std_1592976696199_32,909d24e2-8dea-4497-87be-0614f1111c6a,tch_20200624-103022_32
std_1592976732778_33,8b78a97b-b6f0-427f-bb82-84036c03bbc1,tch_20200624-103022_33
std_1592976775743_34,505f34b5-20a2-4e9e-aca4-5f776f1ac85c,tch_20200624-103022_34
std_1592976796508_35,a8cf7461-2c15-4303-aab7-37bca90d4454,tch_20200624-103022_35
std_1592976853290_36,b3de0ced-892a-469a-a247-5dd0d75558a9,tch_20200624-103022_36
std_1592976859182_37,89868cf5-7e06-4fd1-bf2d-a6c28581cbb2,tch_20200624-103022_37
std_1592976912842_38,72931247-794f-4bb1-b573-c24822940fca,tch_20200624-103022_38
std_1592976945802_40,52f7de12-0ec5-4559-9df1-e979f4b39124,tch_20200624-103022_40
std_1592976948067_39,7e7198ee-e115-48da-93ea-fe15d41b3b30,tch_20200624-103022_39
std_1592976975440_41,ace6eb96-f5f5-4276-8e37-6e1bc1201a27,tch_20200624-103022_41
std_1592977041176_42,748655e1-b2ca-47e5-a61a-72b872ed94eb,tch_20200624-103022_42
std_1592977053795_43,d2c6b0ab-607a-4086-961c-921cc4524666,tch_20200624-103022_43
std_1592977066996_44,feff76dd-4990-45b0-a746-ac879c2962a8,tch_20200624-103022_44
std_1592977091099_45,527254e8-609a-4faf-bdf2-1d8c0c463e1b,tch_20200624-103022_45
std_1592977146726_46,077ca9e8-b792-4341-aa89-0719aa0ce4ff,tch_20200624-103022_46
