stdext,grpid,tchextid
std_1592989725859_1,26951dcc-fc0c-4d67-bb1a-adbf5229dbf0,tch_20200624-142237_1
std_1592989766864_2,3164ee23-d369-443e-9109-227b14ea5364,tch_20200624-142237_2
std_1592989806393_4,7ace4643-34ec-4880-9e42-42417b21f681,tch_20200624-142237_4
std_1592989807076_3,7055beb9-4860-4441-b6d2-b340e001248a,tch_20200624-142237_3
std_1592989862341_5,2943e00d-76d3-4b88-9442-51a0ac99d289,tch_20200624-142237_5
std_1592989896533_6,fa5f6feb-5e2c-4980-9398-c6d4ae82a766,tch_20200624-142237_6
std_1592989907062_7,6d202204-bb6f-4e4a-9126-48b469d107cc,tch_20200624-142237_7
std_1592989921628_8,81b7b919-8974-467f-a7a7-9689548616e4,tch_20200624-142237_8
std_1592989982722_10,8c230e28-77b2-4fda-b66c-09bc2405b089,tch_20200624-142237_10
std_1592989965396_9,da1cb5c0-d3a7-4c07-aeee-33a94470fa12,tch_20200624-142237_9
std_1592990042055_11,b1428738-0555-41a4-89c5-38b8c44eb08d,tch_20200624-142237_11
std_1592990068108_12,3ebcd00b-ba24-4ebc-859e-9ab2f98aa5b5,tch_20200624-142237_12
std_1592990084629_13,b6bd0501-44c9-4a8b-ad88-3199f829d17f,tch_20200624-142237_13
std_1592990108275_14,99cef6b6-1cc9-4890-a32f-78b2c1aefbaf,tch_20200624-142237_14
std_1592990168518_15,7ea0b52d-f76b-4653-b986-4f4cb7143a53,tch_20200624-142237_15
std_1592990174520_16,8934c8f2-86e0-4e64-b79c-1f8a4946b174,tch_20200624-142237_16
std_1592990204175_17,6d2ffaf3-1e2c-4f37-872b-8c7ab6046de2,tch_20200624-142237_17
std_1592990221554_18,ee3c614c-0ea4-440c-8ff0-387ac90687b6,tch_20200624-142237_18
std_1592990268916_19,aea9eab2-bd30-4777-a6f6-feab366aeec0,tch_20200624-142237_19
std_1592990296813_20,527b7df3-8396-4b93-8b29-4853216469d7,tch_20200624-142237_20
std_1592990341612_21,d2dbe12d-9927-4f32-87b1-59089653ac2f,tch_20200624-142237_21
std_1592990376483_22,0c6255fa-5188-43f7-a5fd-c7f9ce1aca88,tch_20200624-142237_22
std_1592990395728_23,eab594a8-9030-46c9-99d1-e867da49eea3,tch_20200624-142237_23
std_1592990412495_24,3c921a56-cdda-4f40-a38a-111b55bb001f,tch_20200624-142237_24
std_1592990442592_25,b4f07f02-c38a-4f12-aa24-03850203ae6a,tch_20200624-142237_25
std_1592990463582_26,07c5cb51-72a2-46ae-8b48-4cd0e68906b6,tch_20200624-142237_26
std_1592990519962_28,d098da89-33bf-419d-9526-8cd4a2b3596e,tch_20200624-142237_28
std_1592990521239_27,bd3bacef-ddd0-4ed1-a0df-9f17dfb3ffdc,tch_20200624-142237_27
std_1592990560796_29,c15b3cd0-38d1-4433-a47f-f0c2d6859bd0,tch_20200624-142237_29
std_1592990593482_30,8914a101-3397-4691-a698-ea5de690c45d,tch_20200624-142237_30
std_1592990632762_31,4cd519a7-7e6e-4da6-8f2a-2cf9473669cd,tch_20200624-142237_31
std_1592990643536_32,7defa6c9-fde5-407f-9faa-89f65f0d455d,tch_20200624-142237_32
std_1592990679416_33,94254594-b513-489d-af95-e68a5d8d0377,tch_20200624-142237_33
std_1592990704005_34,9f11a835-92a9-45fa-869c-802ec45df830,tch_20200624-142237_34
std_1592990728085_35,e2514c61-e41f-4ed7-844d-8b563af2c892,tch_20200624-142237_35
std_1592990783249_36,fcc28ab0-e83b-47a8-81a7-b0a6187c35d5,tch_20200624-142237_36
std_1592990806612_37,fb7b5408-bf74-441b-a5ce-c7caa584d19b,tch_20200624-142237_37
std_1592990815289_38,3de558a1-9224-41da-85ff-d658fcdbeeb2,tch_20200624-142237_38
std_1592990857655_39,fa988228-0005-440f-a806-43f7e5448285,tch_20200624-142237_39
std_1592990882965_40,bf59796c-5743-4f70-a747-edaf5416ccef,tch_20200624-142237_40
std_1592990935559_41,dd44071d-4ca0-4328-9f7f-1b66dd927b26,tch_20200624-142237_41
std_1592990978446_42,b1284536-6bd1-4c83-a0b9-11f5da71d8cf,tch_20200624-142237_42
std_1592991004475_43,1853314d-9a2c-4701-a584-e026040570fc,tch_20200624-142237_43
std_1592991014214_44,12b040c0-5311-47ad-b21e-ce03e01b77dd,tch_20200624-142237_44
std_1592991046345_45,bd8099b5-8d99-419b-bac5-a6667e027e93,tch_20200624-142237_45
std_1592991086316_46,2858f63d-c5c7-4535-9fbd-dcdfa66a363e,tch_20200624-142237_46
std_1592991126262_47,571dcdbe-b7bc-4321-8361-d932e45ecb97,tch_20200624-142237_47
std_1592991153115_49,1ea77ecd-b2ec-4e62-9642-623e19c86354,tch_20200624-142237_49
std_1592991160216_48,d5138f23-128f-4565-85bc-cfeb3423235a,tch_20200624-142237_48
std_1592991188920_50,a77015da-77e4-4b39-82f1-3d85324152ad,tch_20200624-142237_50
std_1592991237599_51,d09f3d64-4c51-48c0-a837-0923ea81bb18,tch_20200624-142237_51
std_1592991258981_52,60e63e8a-6d20-41e9-a2b7-294f53e223ae,tch_20200624-142237_52
std_1592991288871_53,8636a320-f38b-4364-b17c-f66dbcaf7daf,tch_20200624-142237_53
std_1592991330739_54,de497004-3e08-4edf-a1a1-afe56a4c071c,tch_20200624-142237_54
std_1592991347105_55,5110fd9e-a968-460e-9e85-d372cc80a162,tch_20200624-142237_55
std_1592991405951_56,1d00a7b3-7985-4217-8419-d2cee95ce94e,tch_20200624-142237_56
std_1592991411244_57,fbe10200-fdb7-4b2e-addc-03a444d40d58,tch_20200624-142237_57
std_1592991446795_59,8e0f6706-cd1f-42b6-a644-7ca5ff0e72f4,tch_20200624-142237_59
std_1592991448775_58,08c5f85e-c320-4234-8b7f-2b36996fa24f,tch_20200624-142237_58
std_1592991497131_60,7f264431-e0eb-4a13-9efa-021d4f22aa2c,tch_20200624-142237_60
std_1592991519063_61,e25a212e-da2c-450e-9aa0-34aae6ba398b,tch_20200624-142237_61
std_1592991557121_62,3fc742e2-8fab-44a5-a7d2-ee29c767c4f3,tch_20200624-142237_62
std_1592991579809_63,3ce74df8-3549-4dc6-80bf-289d02472ff8,tch_20200624-142237_63
std_1592991614201_64,962c33a9-dce8-48fc-99ad-d41c938b40e2,tch_20200624-142237_64
std_1592991653765_65,01af7294-9252-4eb1-8715-a69723399763,tch_20200624-142237_65
std_1592991675917_66,40e90a9c-1f15-4f57-8f64-cb8a60a5a232,tch_20200624-142237_66
std_1592991720193_67,2b9ed365-8ab2-48ce-967e-63015bb7bbe1,tch_20200624-142237_67
std_1592991741676_68,baf68083-27b2-47c1-ae1d-e5879eaca9f2,tch_20200624-142237_68
std_1592991789116_69,df49c227-b0e5-45cd-82df-f5efd01996de,tch_20200624-142237_69
std_1592991802616_70,7cb671dc-d867-4d7b-8377-970dfcf2534c,tch_20200624-142237_70
std_1592991842534_71,313ff44b-cc05-47ae-95d3-dfc40e209a45,tch_20200624-142237_71
std_1592991879485_72,71480686-93ad-4f73-b0ae-56ba91dd42cd,tch_20200624-142237_72
std_1592991892273_73,01c14ffe-a1e6-4455-a0df-40bb3161418c,tch_20200624-142237_73
std_1592991930891_74,405e76ca-c14e-4a4b-9e8f-dc31d37b8980,tch_20200624-142237_74
std_1592991958009_75,74eb057d-c12b-4914-aecb-15e1f1634a24,tch_20200624-142237_75
std_1592992012450_76,b7b312ad-2778-4ec3-aee9-ea704e79ff71,tch_20200624-142237_76
std_1592992013581_77,1752b6cf-2328-4fb5-ad07-855d8ffb8a0d,tch_20200624-142237_77
std_1592992047057_78,e2324e42-f199-49a3-8722-716466a7a2a2,tch_20200624-142237_78
std_1592992078711_79,3eed6d63-f24e-4321-bc6f-24b78a812bc7,tch_20200624-142237_79
std_1592992120054_80,5e61bcda-8ae4-4aff-a408-8d0ce8c6fc5e,tch_20200624-142237_80
std_1592992131929_81,878f0e04-3286-4573-8341-f0812c0a3313,tch_20200624-142237_81
std_1592992168874_82,2940ad06-fc0b-43c2-ba33-10e368109efb,tch_20200624-142237_82
std_1592992185227_83,d24ce716-52c4-42a6-aab0-472182b53e76,tch_20200624-142237_83
std_1592992258123_85,4994d8c8-36d9-4a3c-912a-9910b7db907f,tch_20200624-142237_85
std_1592992262148_84,65cb92bb-b1d1-48a9-ab8b-7e0875e3f2b6,tch_20200624-142237_84
std_1592992292671_86,9397a493-298e-4716-af31-7a9445dc07de,tch_20200624-142237_86
std_1592992347760_87,a42c3484-4941-4f33-821b-ae1d56daa9ff,tch_20200624-142237_87
std_1592992355470_88,ba60ae84-09b0-4120-98fc-4476494516b3,tch_20200624-142237_88
std_1592992392950_89,12e2f98a-b167-4646-9395-30750cbd9c49,tch_20200624-142237_89
std_1592992417440_90,0ea97bce-417f-4ba8-915d-8ccb99e66228,tch_20200624-142237_90
std_1592992451822_91,a3ad9897-3989-4104-ade8-ba46a11864de,tch_20200624-142237_91
std_1592992496549_92,e8af5db9-de3e-47ae-8172-d3978aac1496,tch_20200624-142237_92
std_1592992515159_93,123cac12-8c52-43a3-99f0-ce5ec79de934,tch_20200624-142237_93
std_1592992538039_94,7b4bf992-5231-4f0f-94fe-f1f5a3e10ca7,tch_20200624-142237_94
std_1592992575969_95,13098138-cf94-41fa-a8ee-8fa1567724ae,tch_20200624-142237_95
std_1592992590735_96,05355655-29cf-493f-acc5-b599e14ac9c8,tch_20200624-142237_96
std_1592992621173_97,eca7c41c-fbf5-4003-98b2-35403c2f7cfa,tch_20200624-142237_97
std_1592992678310_98,a17f08be-9046-4a96-9cdd-07ebd3bdc85c,tch_20200624-142237_98
std_1592992697002_99,ae14ee50-bcd5-4174-8603-9c45f69f3f8f,tch_20200624-142237_99
std_1592992714399_100,35067e44-9ad1-4858-836c-50ee5f47777c,tch_20200624-142237_100
