tchextid,stduserid,stdextid,grpid
tch_20200825-163721_1,ba55aedf-e6c3-11ea-acee-0242ac110002,std_1598353891340_1,6e4450f5-4cfe-480d-b554-355985788060
tch_20200825-163721_1,b5ecaf58-e6c3-11ea-af23-0242ac110002,std_1598353883890_1,6e4450f5-4cfe-480d-b554-355985788060
tch_20200825-163721_1,af3971af-e6c3-11ea-af23-0242ac110002,std_1598353872635_1,6e4450f5-4cfe-480d-b554-355985788060
tch_20200825-163721_1,aac8a9dd-e6c3-11ea-acee-0242ac110002,std_1598353865224_1,6e4450f5-4cfe-480d-b554-355985788060
tch_20200825-163721_1,9eb9cf97-e6c3-11ea-af23-0242ac110002,std_1598353844971_1,087c17f9-0972-46aa-87b8-b99d7fb22184
tch_20200825-163721_1,974dc9c6-e6c3-11ea-acee-0242ac110002,std_1598353832546_1,087c17f9-0972-46aa-87b8-b99d7fb22184
tch_20200825-163721_1,90319137-e6c3-11ea-af23-0242ac110002,std_1598353820618_1,087c17f9-0972-46aa-87b8-b99d7fb22184
tch_20200825-163721_1,88d2a9a6-e6c3-11ea-acee-0242ac110002,std_1598353808230_1,087c17f9-0972-46aa-87b8-b99d7fb22184
tch_20200825-163721_2,da283229-e6c3-11ea-af23-0242ac110002,std_1598353944721_2,a90b1b3f-204d-4e11-b9e4-5b1a09c24e40
tch_20200825-163721_1,7b35dcc8-e6c3-11ea-acee-0242ac110002,std_1598353785413_1,b831196b-8118-42c3-836f-1ca8d68aac3b
tch_20200825-163721_2,d5674f9e-e6c3-11ea-af23-0242ac110002,std_1598353936731_2,a90b1b3f-204d-4e11-b9e4-5b1a09c24e40
tch_20200825-163721_1,75f234f5-e6c3-11ea-af23-0242ac110002,std_1598353776573_1,b831196b-8118-42c3-836f-1ca8d68aac3b
tch_20200825-163721_2,cf5226bb-e6c3-11ea-acee-0242ac110002,std_1598353926514_2,a90b1b3f-204d-4e11-b9e4-5b1a09c24e40
tch_20200825-163721_1,714ca178-e6c3-11ea-af23-0242ac110002,std_1598353768780_1,b831196b-8118-42c3-836f-1ca8d68aac3b
tch_20200825-163721_2,c8f7b73d-e6c3-11ea-acee-0242ac110002,std_1598353915837_2,a90b1b3f-204d-4e11-b9e4-5b1a09c24e40
tch_20200825-163721_1,6a67302a-e6c3-11ea-acee-0242ac110002,std_1598353757206_1,b831196b-8118-42c3-836f-1ca8d68aac3b
tch_20200825-163721_2,bd1d59f7-e6c3-11ea-af23-0242ac110002,std_1598353895968_2,a0f3eebd-9244-4dac-9161-83e3e239f744
tch_20200825-163721_2,b6ebcfbc-e6c3-11ea-acee-0242ac110002,std_1598353885584_2,a0f3eebd-9244-4dac-9161-83e3e239f744
tch_20200825-163721_1,601f335f-e6c3-11ea-acee-0242ac110002,std_1598353739947_1,86f0163c-5acd-4a9f-b9f2-204b172fb873
tch_20200825-163721_2,b220d9df-e6c3-11ea-acee-0242ac110002,std_1598353877556_2,a0f3eebd-9244-4dac-9161-83e3e239f744
tch_20200825-163721_1,59fdd59a-e6c3-11ea-acee-0242ac110002,std_1598353729674_1,86f0163c-5acd-4a9f-b9f2-204b172fb873
tch_20200825-163721_2,ad0e7b71-e6c3-11ea-acee-0242ac110002,std_1598353869022_2,a0f3eebd-9244-4dac-9161-83e3e239f744
tch_20200825-163721_1,5462972c-e6c3-11ea-acee-0242ac110002,std_1598353720262_1,86f0163c-5acd-4a9f-b9f2-204b172fb873
tch_20200825-163721_1,4f7c03fa-e6c3-11ea-acee-0242ac110002,std_1598353712043_1,86f0163c-5acd-4a9f-b9f2-204b172fb873
tch_20200825-163721_2,a1586f55-e6c3-11ea-acee-0242ac110002,std_1598353849391_2,2b6fb646-bfeb-4841-9971-e7ce28fa77e7
tch_20200825-163721_2,9c42b52c-e6c3-11ea-af23-0242ac110002,std_1598353840856_2,2b6fb646-bfeb-4841-9971-e7ce28fa77e7
tch_20200825-163721_2,96dcb8b9-e6c3-11ea-acee-0242ac110002,std_1598353831788_2,2b6fb646-bfeb-4841-9971-e7ce28fa77e7
tch_20200825-163721_2,914faae8-e6c3-11ea-acee-0242ac110002,std_1598353822477_2,2b6fb646-bfeb-4841-9971-e7ce28fa77e7
tch_20200825-163721_3,fdcca65b-e6c3-11ea-acee-0242ac110002,std_1598354004494_3,925d9563-7bad-47e1-a871-2d9f4bf0f194
tch_20200825-163721_3,f6f146fa-e6c3-11ea-af23-0242ac110002,std_1598353992919_3,925d9563-7bad-47e1-a871-2d9f4bf0f194
tch_20200825-163721_3,f24f83e8-e6c3-11ea-acee-0242ac110002,std_1598353985202_3,925d9563-7bad-47e1-a871-2d9f4bf0f194
tch_20200825-163721_3,ec4d1fe4-e6c3-11ea-af23-0242ac110002,std_1598353975153_3,925d9563-7bad-47e1-a871-2d9f4bf0f194
tch_20200825-163721_2,866ad194-e6c3-11ea-acee-0242ac110002,std_1598353804207_2,49702351-cd69-4a9c-a4cd-9b9b58f94ed0
tch_20200825-163721_2,7f7497d3-e6c3-11ea-acee-0242ac110002,std_1598353792535_2,49702351-cd69-4a9c-a4cd-9b9b58f94ed0
tch_20200825-163721_3,de4fbbc2-e6c3-11ea-af23-0242ac110002,std_1598353951680_3,d25d6cd3-5cd7-4e08-b7f5-599c986432e6
tch_20200825-163721_2,78f429d4-e6c3-11ea-af23-0242ac110002,std_1598353781618_2,49702351-cd69-4a9c-a4cd-9b9b58f94ed0
tch_20200825-163721_3,d8a144e9-e6c3-11ea-af23-0242ac110002,std_1598353942149_3,d25d6cd3-5cd7-4e08-b7f5-599c986432e6
tch_20200825-163721_2,73565445-e6c3-11ea-af23-0242ac110002,std_1598353772162_2,49702351-cd69-4a9c-a4cd-9b9b58f94ed0
tch_20200825-163721_3,d430a411-e6c3-11ea-acee-0242ac110002,std_1598353934677_3,d25d6cd3-5cd7-4e08-b7f5-599c986432e6
tch_20200825-163721_3,cdc1267e-e6c3-11ea-acee-0242ac110002,std_1598353923861_3,d25d6cd3-5cd7-4e08-b7f5-599c986432e6
tch_20200825-163721_3,c26ac612-e6c3-11ea-af23-0242ac110002,std_1598353904860_3,64031245-8124-4c59-ba09-e499b6d4c62c
tch_20200825-163721_3,bdcef691-e6c3-11ea-af23-0242ac110002,std_1598353897117_3,64031245-8124-4c59-ba09-e499b6d4c62c
tch_20200825-163721_3,b87e2f99-e6c3-11ea-acee-0242ac110002,std_1598353888200_3,64031245-8124-4c59-ba09-e499b6d4c62c
tch_20200825-163721_3,b0f663c2-e6c3-11ea-af23-0242ac110002,std_1598353875577_3,64031245-8124-4c59-ba09-e499b6d4c62c
tch_20200825-163721_4,25e05ad6-e6c4-11ea-acee-0242ac110002,std_1598354071721_4,1ce400e5-8a0d-4ca6-a0ac-2e93526e9920
tch_20200825-163721_4,1f6cbdac-e6c4-11ea-acee-0242ac110002,std_1598354060914_4,1ce400e5-8a0d-4ca6-a0ac-2e93526e9920
tch_20200825-163721_4,180f852d-e6c4-11ea-acee-0242ac110002,std_1598354048557_4,1ce400e5-8a0d-4ca6-a0ac-2e93526e9920
tch_20200825-163721_4,127f432f-e6c4-11ea-acee-0242ac110002,std_1598354039241_4,1ce400e5-8a0d-4ca6-a0ac-2e93526e9920
tch_20200825-163721_3,a5bdec21-e6c3-11ea-acee-0242ac110002,std_1598353856753_3,6add4cf8-3ca5-40da-9782-6bce55dba6f6
tch_20200825-163721_3,a02a4f8d-e6c3-11ea-acee-0242ac110002,std_1598353847422_3,6add4cf8-3ca5-40da-9782-6bce55dba6f6
tch_20200825-163721_3,992f8193-e6c3-11ea-af23-0242ac110002,std_1598353835710_3,6add4cf8-3ca5-40da-9782-6bce55dba6f6
tch_20200825-163721_3,92019601-e6c3-11ea-af23-0242ac110002,std_1598353823654_3,6add4cf8-3ca5-40da-9782-6bce55dba6f6
tch_20200825-163721_4,06dbae58-e6c4-11ea-acee-0242ac110002,std_1598354019683_4,a26582aa-3358-490c-9fc4-06c577b9fa6c
tch_20200825-163721_4,01b0be09-e6c4-11ea-acee-0242ac110002,std_1598354011023_4,a26582aa-3358-490c-9fc4-06c577b9fa6c
tch_20200825-163721_4,fb7f0cdb-e6c3-11ea-acee-0242ac110002,std_1598354000652_4,a26582aa-3358-490c-9fc4-06c577b9fa6c
tch_20200825-163721_4,f5360236-e6c3-11ea-acee-0242ac110002,std_1598353990024_4,a26582aa-3358-490c-9fc4-06c577b9fa6c
tch_20200825-163721_5,4089274e-e6c4-11ea-acee-0242ac110002,std_1598354116464_5,e7f28da9-ae7f-48fa-aa46-ea054465e40d
tch_20200825-163721_5,3be31e34-e6c4-11ea-acee-0242ac110002,std_1598354108648_5,e7f28da9-ae7f-48fa-aa46-ea054465e40d
tch_20200825-163721_4,e98f5f90-e6c3-11ea-af23-0242ac110002,std_1598353970560_4,74b161ad-33d8-43c7-93d2-8e0754b55977
tch_20200825-163721_5,3695d900-e6c4-11ea-af23-0242ac110002,std_1598354099775_5,e7f28da9-ae7f-48fa-aa46-ea054465e40d
tch_20200825-163721_4,e3a8248d-e6c3-11ea-af23-0242ac110002,std_1598353960643_4,74b161ad-33d8-43c7-93d2-8e0754b55977
tch_20200825-163721_5,316f2f33-e6c4-11ea-af23-0242ac110002,std_1598354091149_5,e7f28da9-ae7f-48fa-aa46-ea054465e40d
tch_20200825-163721_4,dedc92a6-e6c3-11ea-acee-0242ac110002,std_1598353952602_4,74b161ad-33d8-43c7-93d2-8e0754b55977
tch_20200825-163721_4,d9ef4889-e6c3-11ea-acee-0242ac110002,std_1598353944334_4,74b161ad-33d8-43c7-93d2-8e0754b55977
tch_20200825-163721_5,264732b8-e6c4-11ea-acee-0242ac110002,std_1598354072421_5,1b7360d5-6c62-4303-a4c5-2d108eabdbeb
tch_20200825-163721_5,214d8bbe-e6c4-11ea-acee-0242ac110002,std_1598354064056_5,1b7360d5-6c62-4303-a4c5-2d108eabdbeb
tch_20200825-163721_5,1cab059a-e6c4-11ea-af23-0242ac110002,std_1598354056264_5,1b7360d5-6c62-4303-a4c5-2d108eabdbeb
tch_20200825-163721_4,cd85f225-e6c3-11ea-af23-0242ac110002,std_1598353923501_4,716c6e0f-a42f-4e4f-8fbb-10000d062129
tch_20200825-163721_5,177da4b2-e6c4-11ea-acee-0242ac110002,std_1598354047617_5,1b7360d5-6c62-4303-a4c5-2d108eabdbeb
tch_20200825-163721_4,c80d093b-e6c3-11ea-acee-0242ac110002,std_1598353914290_4,716c6e0f-a42f-4e4f-8fbb-10000d062129
tch_20200825-163721_4,c0ad37c9-e6c3-11ea-acee-0242ac110002,std_1598353901966_4,716c6e0f-a42f-4e4f-8fbb-10000d062129
tch_20200825-163721_4,ba5400ee-e6c3-11ea-af23-0242ac110002,std_1598353891311_4,716c6e0f-a42f-4e4f-8fbb-10000d062129
tch_20200825-163721_5,0baa4d2f-e6c4-11ea-af23-0242ac110002,std_1598354027746_5,baed616c-1508-4c7b-89b5-36fccd46d263
tch_20200825-163721_5,04bd88e5-e6c4-11ea-af23-0242ac110002,std_1598354016148_5,baed616c-1508-4c7b-89b5-36fccd46d263
tch_20200825-163721_5,ff35848f-e6c3-11ea-af23-0242ac110002,std_1598354006875_5,baed616c-1508-4c7b-89b5-36fccd46d263
tch_20200825-163721_5,fa388247-e6c3-11ea-af23-0242ac110002,std_1598353998494_5,baed616c-1508-4c7b-89b5-36fccd46d263
tch_20200825-163721_6,66e7feef-e6c4-11ea-af23-0242ac110002,std_1598354180867_6,b147fa06-7599-4796-842e-a73b2d1f1bb5
tch_20200825-163721_6,6158a870-e6c4-11ea-af23-0242ac110002,std_1598354171536_6,b147fa06-7599-4796-842e-a73b2d1f1bb5
tch_20200825-163721_6,5b0b580a-e6c4-11ea-af23-0242ac110002,std_1598354160952_6,b147fa06-7599-4796-842e-a73b2d1f1bb5
