tchextid,stduuid,stdextid,groupid
tch_20200716-113153_1,659022e6-c72a-11ea-89f8-0242ac110002,std_1594879547984_1,a35ee9d3-438f-4cfc-b801-c057b9220b47
tch_20200716-113153_1,5fcee606-c72a-11ea-af23-0242ac110002,std_1594879538295_1,a35ee9d3-438f-4cfc-b801-c057b9220b47
tch_20200716-113153_1,5a503096-c72a-11ea-acee-0242ac110002,std_1594879529091_1,a35ee9d3-438f-4cfc-b801-c057b9220b47
tch_20200716-113153_1,551eb1c8-c72a-11ea-acee-0242ac110002,std_1594879520359_1,a35ee9d3-438f-4cfc-b801-c057b9220b47
tch_20200716-113153_1,4fbde474-c72a-11ea-acee-0242ac110002,std_1594879511363_1,a35ee9d3-438f-4cfc-b801-c057b9220b47
tch_20200716-113153_1,4b27ba52-c72a-11ea-96b3-0242ac110002,std_1594879503662_1,f2391d78-819a-419a-99fd-9f9e8c951a12
tch_20200716-113153_2,77364363-c72a-11ea-acee-0242ac110002,std_1594879577585_2,60522040-adb3-41a1-82fe-a1791a6559e2
tch_20200716-113153_1,46ae8ec3-c72a-11ea-acee-0242ac110002,std_1594879496131_1,f2391d78-819a-419a-99fd-9f9e8c951a12
tch_20200716-113153_2,707faa18-c72a-11ea-af23-0242ac110002,std_1594879566333_2,60522040-adb3-41a1-82fe-a1791a6559e2
tch_20200716-113153_2,6bfc4486-c72a-11ea-96b3-0242ac110002,std_1594879558729_2,60522040-adb3-41a1-82fe-a1791a6559e2
tch_20200716-113153_1,41d23347-c72a-11ea-96b3-0242ac110002,std_1594879488001_1,f2391d78-819a-419a-99fd-9f9e8c951a12
tch_20200716-113153_2,661cd243-c72a-11ea-89f8-0242ac110002,std_1594879548888_2,60522040-adb3-41a1-82fe-a1791a6559e2
tch_20200716-113153_1,3cf786ee-c72a-11ea-96b3-0242ac110002,std_1594879479884_1,f2391d78-819a-419a-99fd-9f9e8c951a12
tch_20200716-113153_2,5f83fa84-c72a-11ea-96b3-0242ac110002,std_1594879537762_2,60522040-adb3-41a1-82fe-a1791a6559e2
tch_20200716-113153_1,37b0f814-c72a-11ea-af23-0242ac110002,std_1594879470925_1,f2391d78-819a-419a-99fd-9f9e8c951a12
tch_20200716-113153_3,8517e152-c72a-11ea-af23-0242ac110002,std_1594879600821_3,c682d8a0-bd78-48d8-979f-a83f47099b4e
tch_20200716-113153_2,58a4a379-c72a-11ea-89f8-0242ac110002,std_1594879526299_2,f8927c46-6312-4b75-a382-cda7c34dcf8d
tch_20200716-113153_3,7e27c1cc-c72a-11ea-acee-0242ac110002,std_1594879589237_3,c682d8a0-bd78-48d8-979f-a83f47099b4e
tch_20200716-113153_1,3304601a-c72a-11ea-af23-0242ac110002,std_1594879463138_1,cc3d6e96-82cc-4df0-bcf3-55090eb50988
tch_20200716-113153_2,52e451ee-c72a-11ea-acee-0242ac110002,std_1594879516633_2,f8927c46-6312-4b75-a382-cda7c34dcf8d
tch_20200716-113153_3,781ea749-c72a-11ea-89f8-0242ac110002,std_1594879579100_3,c682d8a0-bd78-48d8-979f-a83f47099b4e
tch_20200716-113153_1,2e15b657-c72a-11ea-acee-0242ac110002,std_1594879454866_1,cc3d6e96-82cc-4df0-bcf3-55090eb50988
tch_20200716-113153_2,4cd6ca52-c72a-11ea-96b3-0242ac110002,std_1594879506495_2,f8927c46-6312-4b75-a382-cda7c34dcf8d
tch_20200716-113153_3,71ce710b-c72a-11ea-89f8-0242ac110002,std_1594879568496_3,c682d8a0-bd78-48d8-979f-a83f47099b4e
tch_20200716-113153_1,27840a48-c72a-11ea-af23-0242ac110002,std_1594879443884_1,cc3d6e96-82cc-4df0-bcf3-55090eb50988
tch_20200716-113153_2,4796a486-c72a-11ea-89f8-0242ac110002,std_1594879497672_2,f8927c46-6312-4b75-a382-cda7c34dcf8d
tch_20200716-113153_1,20b94d0f-c72a-11ea-89f8-0242ac110002,std_1594879432458_1,cc3d6e96-82cc-4df0-bcf3-55090eb50988
tch_20200716-113153_3,6b2915fc-c72a-11ea-96b3-0242ac110002,std_1594879557348_3,c682d8a0-bd78-48d8-979f-a83f47099b4e
tch_20200716-113153_4,8df9bf39-c72a-11ea-89f8-0242ac110002,std_1594879615773_4,87d4d631-e13e-4c50-99ba-cc6e163e0263
tch_20200716-113153_2,432abe6d-c72a-11ea-89f8-0242ac110002,std_1594879490238_2,f8927c46-6312-4b75-a382-cda7c34dcf8d
tch_20200716-113153_1,1a80e4ed-c72a-11ea-af23-0242ac110002,std_1594879422027_1,cc3d6e96-82cc-4df0-bcf3-55090eb50988
tch_20200716-113153_4,879cdea3-c72a-11ea-acee-0242ac110002,std_1594879605102_4,87d4d631-e13e-4c50-99ba-cc6e163e0263
tch_20200716-113153_4,8237cc14-c72a-11ea-89f8-0242ac110002,std_1594879596054_4,87d4d631-e13e-4c50-99ba-cc6e163e0263
tch_20200716-113153_4,7dbe0424-c72a-11ea-af23-0242ac110002,std_1594879588513_4,87d4d631-e13e-4c50-99ba-cc6e163e0263
tch_20200716-113153_3,6438340a-c72a-11ea-acee-0242ac110002,std_1594879545685_3,9caac570-1c1f-4af7-aff8-b041819839b0
tch_20200716-113153_1,14a2d175-c72a-11ea-96b3-0242ac110002,std_1594879412190_1,456fecd7-50c6-4532-b44d-2fb09044f2c5
tch_20200716-113153_4,78183e6b-c72a-11ea-96b3-0242ac110002,std_1594879579028_4,87d4d631-e13e-4c50-99ba-cc6e163e0263
tch_20200716-113153_2,3bfc3735-c72a-11ea-96b3-0242ac110002,std_1594879478214_2,5b4f403a-c174-4db6-8b16-78255c0bb008
tch_20200716-113153_3,5f07c557-c72a-11ea-af23-0242ac110002,std_1594879537014_3,9caac570-1c1f-4af7-aff8-b041819839b0
tch_20200716-113153_1,0e2f5bd1-c72a-11ea-acee-0242ac110002,std_1594879401363_1,456fecd7-50c6-4532-b44d-2fb09044f2c5
tch_20200716-113153_2,358edb57-c72a-11ea-89f8-0242ac110002,std_1594879467432_2,5b4f403a-c174-4db6-8b16-78255c0bb008
