stdid,grpid,tchid
std_1593664214834_1,00ca4528-294c-402f-a23e-33f2fe1e967c,tch_20200702-094355_1
std_1593664230151_2,7b6b1db8-7525-43f7-9f64-ab1be4f94ac0,tch_20200702-094355_2
std_1593664086205_1,647749df-681f-492a-9ec6-254cf045f1cd,tch_20200702-094355_1
std_1593664101803_2,fbd35a43-e296-4588-9085-ee961d3c0388,tch_20200702-094355_2
std_1593664286529_4,54fbf3d5-8b54-4d04-9a9e-a80e158b3f11,tch_20200702-094355_4
std_1593664288298_3,64977bf3-6523-4cdb-9018-8e031af4bc59,tch_20200702-094355_3
std_1593663950014_1,d360909d-9bf3-4faa-a40c-f590cb30b4fd,tch_20200702-094355_1
std_1593663974410_2,7b782d4b-0434-4ae4-99d2-3a501fbddfcd,tch_20200702-094355_2
std_1593664315874_5,259ab4ab-8e2c-4b14-ab85-16a586f7d47f,tch_20200702-094355_5
std_1593664149574_4,c846dfc2-8faa-4712-aabb-000c58833d8a,tch_20200702-094355_4
std_1593663819305_1,79b95556-6e9a-4a2e-8f71-6885b1e75411,tch_20200702-094355_1
std_1593664161166_3,af9b354c-1e16-4f0e-b134-521d4367d634,tch_20200702-094355_3
std_1593663837117_2,65ba84e9-e95e-43be-a14e-9bb83fd24632,tch_20200702-094355_2
std_1593664186852_5,40d52347-a0e7-4c21-9838-2298ccfa4147,tch_20200702-094355_5
std_1593664349390_6,1002ad78-3c14-4e47-bc01-98b1fc3e291c,tch_20200702-094355_6
std_1593664016764_4,088dba95-9872-4576-90bb-7ad2d3cb9c32,tch_20200702-094355_4
std_1593664029695_3,2410e9b3-4061-456c-bf3e-5d13c557572e,tch_20200702-094355_3
std_1593664215838_6,61f463ae-3bff-439d-9253-4d6513622ce7,tch_20200702-094355_6
std_1593664055199_5,6fa63b86-b884-424c-aef6-88ef106db660,tch_20200702-094355_5
std_1593663893674_3,8f7f6072-c02a-4075-9a35-b33358459bb1,tch_20200702-094355_3
std_1593663885119_4,06248a4f-0985-490d-9e49-e222d4aa08bc,tch_20200702-094355_4
std_1593664407477_7,8e9a3e30-51ac-4336-858a-efd013664ebf,tch_20200702-094355_7
std_1593664420175_8,ef07cd9d-a3aa-4206-aaad-14d13ff0ae02,tch_20200702-094355_8
std_1593664089938_6,417fe881-ce83-4074-8b6c-d288b2703890,tch_20200702-094355_6
std_1593663931405_5,9d13a5f3-eb10-4619-ba6a-01b1b504d662,tch_20200702-094355_5
std_1593664278515_7,55d622c0-d8a4-461c-9cce-f0f99d8ef33d,tch_20200702-094355_7
std_1593664452569_9,5e154e28-7c8d-4a3f-b792-9e0eef4e683b,tch_20200702-094355_9
std_1593664284882_8,e5f854ee-26fd-47e4-8ade-3b3ec528ac47,tch_20200702-094355_8
std_1593663955214_6,a70deac9-a4b2-45b3-8a01-77d587658265,tch_20200702-094355_6
std_1593664470786_10,157d32dc-b53b-4d99-9f19-76c8923b48ee,tch_20200702-094355_10
std_1593664146449_7,1d6657dc-b5c3-44f0-bc95-87d8d83a7aa1,tch_20200702-094355_7
std_1593664318561_9,6ad848ab-75e3-40ce-ac24-1c840bc7015e,tch_20200702-094355_9
std_1593664145849_8,e792396d-7c9f-4817-bcdc-a31fcb885a16,tch_20200702-094355_8
std_1593664504569_11,6a77f339-0701-4f7c-b973-b20da905184a,tch_20200702-094355_11
std_1593664339093_10,a7f143e5-7462-4254-a5e7-f0a78f324d8b,tch_20200702-094355_10
std_1593664007562_7,43cc79ca-4a1b-4904-9da8-4219b68c7d00,tch_20200702-094355_7
std_1593664190931_9,03a3d7cd-673e-40a7-af96-284287d1dcbc,tch_20200702-094355_9
std_1593664532054_12,cdbd2a16-d95e-4ccd-875e-dcd2b6b0c897,tch_20200702-094355_12
std_1593664006408_8,57c35e23-247a-400c-8984-fe9702612e49,tch_20200702-094355_8
std_1593664378057_11,34d1c4ba-c9ad-45b0-aec8-d1480116610e,tch_20200702-094355_11
std_1593664203981_10,012d6a40-71c5-48ee-9837-c428e385e858,tch_20200702-094355_10
std_1593664558288_13,0cd6daac-6495-4e80-b52b-da8b935ec1f7,tch_20200702-094355_13
std_1593664062812_9,d6a3bcf7-d19b-457a-8f72-e7f7fb803b53,tch_20200702-094355_9
std_1593664395748_12,e9b3b19d-a4b7-49fa-b8c7-cd980dd1a8e0,tch_20200702-094355_12
std_1593664243148_11,047912ec-ea13-4ffa-998f-e982bdf702a6,tch_20200702-094355_11
std_1593664069266_10,30980fb0-421b-40c3-ad67-234a02e85291,tch_20200702-094355_10
std_1593664425671_13,ab551795-572b-4c0a-af87-de2cea64017e,tch_20200702-094355_13
std_1593664265594_12,5c1d1a2d-b76c-4ef5-a383-c3a72a84afca,tch_20200702-094355_12
std_1593664104332_11,5c46adaa-f54c-407c-bfc5-86a142f17ccc,tch_20200702-094355_11
std_1593664607207_14,b902180b-5fa9-4828-811c-51e1556cedc6,tch_20200702-094355_14
std_1593664621239_15,e5c48048-e028-49cf-9af8-820945a85211,tch_20200702-094355_15
std_1593664295482_13,705e3f93-5b48-41ba-9a72-39fe32b80e7f,tch_20200702-094355_13
std_1593664645174_16,c41f80c7-1e83-4f4d-8b97-f1f6e72087d5,tch_20200702-094355_16
std_1593664133157_12,0c0e6dca-6820-4f81-afff-9202d4808fa4,tch_20200702-094355_12
std_1593664478955_14,986bed7e-3571-484e-b021-f967f931cb2f,tch_20200702-094355_14
std_1593664490549_15,f8fa9be6-1159-4588-8d82-d52ff5055bbe,tch_20200702-094355_15
std_1593664163744_13,cd37809d-ac2b-4636-9d3a-759ab55803ca,tch_20200702-094355_13
std_1593664514363_16,eefabe1d-38fc-415b-8798-22f9d4c0147b,tch_20200702-094355_16
std_1593664680850_17,299cba48-f148-4d7a-a080-b22d005cceba,tch_20200702-094355_17
std_1593664357380_14,a0ee684f-8e24-4e61-a9aa-f7db1ce13c06,tch_20200702-094355_14
std_1593664355333_15,7434730d-1232-4afa-bbff-1f1fd91832dc,tch_20200702-094355_15
std_1593664381552_16,5f0eecc2-9762-40e2-98e1-8a6206b3d5a3,tch_20200702-094355_16
std_1593664715652_18,526350ee-9c30-4627-bd33-6f88ead04aee,tch_20200702-094355_18
std_1593664548958_17,5452d9bb-3549-406c-9161-d4a352ca3850,tch_20200702-094355_17
std_1593664219098_14,486cc4e7-f723-499b-8e08-c8ee218e2a12,tch_20200702-094355_14
std_1593664222552_15,a3b0f104-6a86-4ee4-8e8c-0f9ea7049ebb,tch_20200702-094355_15
std_1593664751874_19,a305ea34-dbaf-4167-bb04-1a9a8099e724,tch_20200702-094355_19
std_1593664246721_16,f2e55935-5e73-420b-bf55-d06a2215b9ac,tch_20200702-094355_16
std_1593664578270_18,0ae18654-a4c9-455a-8b35-b7884e95e4f9,tch_20200702-094355_18
std_1593664411238_17,b47e1ea6-b354-43fd-9074-d33f663ba422,tch_20200702-094355_17
std_1593664783405_20,5d07c80f-5d85-4d5e-807f-fb93f0130d80,tch_20200702-094355_20
std_1593664620250_19,cf5b51e6-8e78-4426-bb3b-0b718e434ab1,tch_20200702-094355_19
std_1593664283137_17,9804ee8f-39aa-4bac-9b2f-70b5784d9e26,tch_20200702-094355_17
std_1593664447971_18,3bad392a-11e3-4d1a-9ece-29f1426a4531,tch_20200702-094355_18
std_1593664818586_21,79da351d-f3d3-41de-a0da-8d0936dc487d,tch_20200702-094355_21
std_1593664652926_20,907cd964-d9ec-41eb-bb98-c091d5bd6f0e,tch_20200702-094355_20
std_1593664489400_19,08a7a370-5c51-4e3f-bb9c-a462c28a4fe7,tch_20200702-094355_19
std_1593664311559_18,01e5ba02-8bf7-4459-bc81-ed7230a30367,tch_20200702-094355_18
std_1593664842189_22,b5e889c5-5505-4e9f-9bd1-660724f2195c,tch_20200702-094355_22
