tchextid,classcode
tch_20200713-103946_1,9G9P-KY4s
tch_20200713-103946_2,UjYu-3o7L
tch_20200713-103946_3,hwq6-doQN
tch_20200713-103946_4,Nv7K-X7X6
tch_20200713-103946_5,3Rb2-mNMC
tch_20200713-103946_6,B72r-yTiN
tch_20200713-103946_7,K84W-oGLy
tch_20200713-103946_8,BFav-2HX8
tch_20200713-103946_9,HsPT-U3e9
tch_20200713-103946_10,PpmF-XQW7
tch_20200713-103946_11,H374-yriK
tch_20200713-103946_12,t9gV-fzW3
tch_20200713-103946_13,zeMk-6MTk
tch_20200713-103946_14,w4VG-6qMt
tch_20200713-103946_15,sDud-t7R9
tch_20200713-103946_16,y9x7-jg6w
tch_20200713-103946_17,bgaA-RyEY
tch_20200713-103946_18,v6aY-X6Pq
tch_20200713-103946_19,8V9c-9mpy
tch_20200713-103946_20,8bPJ-6NyQ
tch_20200713-103946_21,8v9m-8i8a
tch_20200713-103946_22,f7A2-i2G3
tch_20200713-103946_23,8sco-gX6E
tch_20200713-103946_24,U4pK-wJs7
tch_20200713-103946_25,gi4L-98Wi
tch_20200713-103946_26,4TH9-L7N3
tch_20200713-103946_27,A2du-ECqZ
tch_20200713-103946_28,pY7i-9mWX
tch_20200713-103946_29,Mivj-f9Ff
tch_20200713-103946_30,h3hG-ejd8
tch_20200713-103946_31,y8cm-nstL
tch_20200713-103946_32,EVN4-9L84
tch_20200713-103946_33,ECHx-J8gF
tch_20200713-103946_34,GktZ-84ho
tch_20200713-103946_35,jVv7-kCF4
tch_20200713-103946_36,uCrq-B9mR
tch_20200713-103946_37,3oq6-Gupj
tch_20200713-103946_38,8NYm-a4y9
tch_20200713-103946_39,mdco-mdeD
tch_20200713-103946_40,xfjU-yqpz
tch_20200713-103946_41,43i8-9BxE
tch_20200713-103946_42,3svK-Vj4L
tch_20200713-103946_43,U3WJ-Zum2
tch_20200713-103946_44,Gdg3-68Lg
tch_20200713-103946_45,dF7o-xeqd
tch_20200713-103946_46,o92N-F3j6
tch_20200713-103946_47,uyGb-hsA7
tch_20200713-103946_48,T42m-2W2r
tch_20200713-103946_49,2X8z-8jMH
tch_20200713-103946_50,z2bf-6y2a
tch_20200713-103946_51,Kwe2-7rwH
tch_20200713-103946_52,uKUM-8Z68
tch_20200713-103946_53,27Vi-TyUC
tch_20200713-103946_54,KcaQ-k73z
tch_20200713-103946_55,7BU8-tM7G
tch_20200713-103946_56,x2Ap-yr9o
tch_20200713-103946_57,td7q-8Q6q
tch_20200713-103946_58,9orf-Gn34
tch_20200713-103946_59,usfw-Kz3f
tch_20200713-103946_60,Qz7n-yh7X
tch_20200713-103946_61,f8uo-aPC8
tch_20200713-103946_62,iwzg-4fUA
tch_20200713-103946_63,sYAR-BG4x
tch_20200713-103946_64,KvVX-VWfJ
tch_20200713-103946_65,E479-qUiz
tch_20200713-103946_66,auD7-irn3
tch_20200713-103946_67,rF8u-RmtJ
tch_20200713-103946_68,qYQo-29hK
tch_20200713-103946_69,h8bB-4uez
tch_20200713-103946_70,36Ew-a2wh
tch_20200713-103946_71,26FC-Eg72
tch_20200713-103946_72,4hJz-k7Wx
tch_20200713-103946_73,mL2b-tXT3
tch_20200713-103946_74,2W4P-72E6
tch_20200713-103946_75,A297-yUE6
tch_20200713-103946_76,Z7Ey-C43e
tch_20200713-103946_77,7gRx-9ZnH
tch_20200713-103946_78,XgZz-DAfz
tch_20200713-103946_79,J9gv-MT76
tch_20200713-103946_80,MTmL-Xj92
tch_20200713-103946_81,rVCF-BJXu
tch_20200713-103946_82,dxyZ-2c8e
tch_20200713-103946_83,TEr7-wzj4
tch_20200713-103946_84,Nzsf-NfFa
tch_20200713-103946_85,LD9K-q4Ke
tch_20200713-103946_86,Vef8-v7ry
tch_20200713-103946_87,hNXi-Gum6
tch_20200713-103946_88,hkcP-w6VL
tch_20200713-103946_89,2Kig-pB94
tch_20200713-103946_90,ZoNG-D46m
tch_20200713-103946_91,yBMJ-8rgE
tch_20200713-103946_92,PyE6-tc3j
tch_20200713-103946_93,2emd-wi84
tch_20200713-103946_94,VcoT-nFsH
tch_20200713-103946_95,3s8B-r7se
tch_20200713-103946_96,s2MZ-3dbW
tch_20200713-103946_97,gzvX-rBJ2
tch_20200713-103946_98,2hav-78Ua
tch_20200713-103946_99,q7Wj-fj8n
tch_20200713-103946_100,x8ve-4wev
tch_20200713-112355_1,Ge6p-4hj2
tch_20200713-112355_2,PHca-w42j
tch_20200713-112355_3,mQ6k-HryB
tch_20200713-112355_4,28J4-fNc6
tch_20200713-112355_5,xJ3H-AeY9
tch_20200713-112355_6,NBp6-H6kX
tch_20200713-112355_7,gpe2-ixrs
tch_20200713-112355_8,3w4u-9nqV
tch_20200713-112355_9,u6aJ-76UN
tch_20200713-112355_10,8U8W-B8nL
tch_20200713-112355_11,6ued-u9ZV
tch_20200713-112355_12,ETxm-paJZ
tch_20200713-112355_13,Cv4F-9roP
tch_20200713-112355_14,8xa4-qxi4
tch_20200713-112355_15,9gDA-bJpw
tch_20200713-112355_16,UYFt-RC9t
tch_20200713-112355_17,h9J4-K9pr
tch_20200713-112355_18,X7yT-d9K2
tch_20200713-112355_19,Zx23-Xdhd
tch_20200713-112355_20,nU89-Ds42
tch_20200713-112355_21,XF9A-uMKd
tch_20200713-112355_22,Mq8R-qzN8
tch_20200713-112355_23,gLZU-pNmc
tch_20200713-112355_24,cY9X-CB8j
tch_20200713-112355_25,9uVR-3meR
tch_20200713-112355_26,bArx-bk93
tch_20200713-112355_27,MDdA-f2yL
tch_20200713-112355_28,Fq8U-rE3P
tch_20200713-112355_29,g2JU-V8n8
tch_20200713-112355_30,bs2L-Agx9
tch_20200713-112355_31,vB8A-2snJ
tch_20200713-112355_32,fmZR-3dY3
tch_20200713-112355_33,26Kr-P3jU
tch_20200713-112355_34,ykFc-VHPq
tch_20200713-112355_35,gvsu-92Js
tch_20200713-112355_36,vVw6-wCTB
tch_20200713-112355_37,7yhM-268Y
tch_20200713-112355_38,i3q3-tRoW
tch_20200713-112355_39,v2h2-Y8cG
tch_20200713-112355_40,NdYR-9237
tch_20200713-112355_41,ve6m-waAB
tch_20200713-112355_42,dxhC-6WmZ
tch_20200713-112355_43,4if6-eV8A
tch_20200713-112355_44,bP6c-4mKU
tch_20200713-112355_45,jYyU-iT3b
tch_20200713-112355_46,8RDx-Jj63
tch_20200713-112355_47,DEZb-3s6z
tch_20200713-112355_48,2T2Y-8DGc
tch_20200713-112355_49,MjWH-2YH9
tch_20200713-112355_50,UQsX-3WAa
tch_20200713-112355_51,zb7V-DLNR
tch_20200713-112355_52,DW26-9c7L
tch_20200713-112355_53,g2Rv-Vjfi
tch_20200713-112355_54,Fk9u-3xw7
tch_20200713-112355_55,27GZ-kqkx
tch_20200713-112355_56,K2ne-coP8
tch_20200713-112355_57,TF6c-2bcL
tch_20200713-112355_58,k6WD-WGhr
tch_20200713-112355_59,h7dr-WFqU
tch_20200713-112355_60,8q8p-Mo4f
tch_20200713-112355_61,i76m-cQbN
tch_20200713-112355_62,8f7G-Ps73
tch_20200713-112355_63,mLfe-26Lz
tch_20200713-112355_64,tA9Q-L9Fn
tch_20200713-112355_65,uEZe-f29j
tch_20200713-112355_66,832A-6D4k
tch_20200713-112355_67,4Krc-v29z
tch_20200713-112355_68,46Tq-9yv3
tch_20200713-112355_69,4H27-Tk49
tch_20200713-112355_70,3zm8-iqDp
tch_20200713-112355_71,6TFs-98Z4
tch_20200713-112355_72,sc64-6d24
tch_20200713-112355_73,b6AF-hU7D
tch_20200713-112355_74,6Q8o-2n93
tch_20200713-112355_75,76Mk-b4ef
tch_20200713-112355_76,63rD-UdLp
tch_20200713-112355_77,hsaM-ZK8d
tch_20200713-112355_78,vr62-Vipo
tch_20200713-112355_79,Vqsf-Fx36
tch_20200713-112355_80,GFjk-B293
tch_20200713-112355_81,947m-Xe4M
tch_20200713-112355_82,2zBp-go3z
tch_20200713-112355_83,t2JR-ELGi
tch_20200713-112355_84,n2g2-ab9K
tch_20200713-112355_85,caZR-FNMA
tch_20200713-112355_86,CxFp-cd3y
tch_20200713-112355_87,EuN2-TVGN
tch_20200713-112355_88,Vn2v-tixV
tch_20200713-112355_89,FRsX-62A3
tch_20200713-112355_90,ydzG-F2aQ
tch_20200713-112355_91,7298-rmuJ
tch_20200713-112355_92,FrBC-42NT
tch_20200713-112355_93,t6KY-28Ms
tch_20200713-112355_94,LGfu-ykPX
tch_20200713-112355_95,scgy-7g4z
tch_20200713-112355_96,hy6D-4Y8B
tch_20200713-112355_97,RpRh-n68Z
tch_20200713-112355_98,6H8w-jZbi
tch_20200713-112355_99,d6ZG-bQFm
tch_20200713-112355_100,3xjQ-jNXz
tch_20200713-160744_1,Q8d9-n4K6
tch_20200713-160744_2,Ldy9-FmbH
tch_20200713-160744_3,YLMp-2h6c
tch_20200713-160744_4,EY7t-BT9P
tch_20200713-160744_5,x76E-Y2HT
tch_20200713-160744_6,v63h-e2fC
tch_20200713-160744_7,68Y2-URkW
tch_20200713-160744_8,AdEi-U84K
tch_20200713-160744_9,486K-3mr6
tch_20200713-160744_10,d3F8-e37W
tch_20200713-160744_11,fcBq-saYQ
tch_20200713-160744_12,M3yE-27Rr
tch_20200713-160744_13,NFj2-G9E3
tch_20200713-160744_14,Z3nc-BzgD
tch_20200713-160744_15,vf9a-uW2B
tch_20200713-160744_16,KWRe-Dv32
tch_20200713-160744_17,w9m6-wxmq
tch_20200713-160744_18,DRGu-J7Js
tch_20200713-160744_19,9gWi-rVEm
tch_20200713-160744_20,BDWs-kt7h
tch_20200713-160744_21,8kjg-2axJ
tch_20200713-160744_22,DJTx-8euH
tch_20200713-160744_23,kBpy-CZxX
tch_20200713-160744_24,uaoJ-mK34
tch_20200713-160744_25,Fhxs-Q89Z
tch_20200713-160744_26,6xdf-C8ER
tch_20200713-160744_27,Z98X-p7PZ
tch_20200713-160744_28,r6sj-E2Jm
tch_20200713-160744_29,DnU6-GyNj
tch_20200713-160744_30,438j-wD2C
tch_20200713-160744_31,oavJ-74Rt
tch_20200713-160744_32,rQta-gomh
tch_20200713-160744_33,2zRA-yFcR
tch_20200713-160744_34,kmf9-gVdZ
tch_20200713-160744_35,EBCd-mEF9
tch_20200713-160744_36,w7p2-bHGi
tch_20200713-160744_37,XR2r-4KAT
tch_20200713-160744_38,v84X-FN4C
tch_20200713-160744_39,LQmj-Eu4U
tch_20200713-160744_40,P4VC-YTN8
tch_20200713-160744_41,D23X-GYUV
tch_20200713-160744_42,qhB6-93ez
tch_20200713-160744_43,h6YC-Tijm
