extuserid,groupid,tchextuserid
std_1619506737334_1_1,76d01aa3-23b3-42fb-8633-121e425a1463,tch_20210427-063822_1_1
std_1619506773137_2_1,48d0d7dd-371f-4bf7-aa92-315c3cd63cba,tch_20210427-063822_2_1
std_1619506785525_3_1,2eb97beb-b885-4aa7-92b6-c2da68274744,tch_20210427-063822_3_1
std_1619506375910_1_1,3a08a5f8-386b-4f20-8350-13e8a6c24747,tch_20210427-063822_1_1
std_1619506836475_4_1,217c5cea-50f3-4a2c-bd6e-c46a954b0eb5,tch_20210427-063822_4_1
std_1619506872071_5_1,58fe7b75-3a32-4751-8306-673075e9f7d3,tch_20210427-063822_5_1
std_1619506441309_3_1,2da7b86d-139c-4594-9f82-26aafadec13f,tch_20210427-063822_3_1
std_1619506416541_2_1,69daf0c4-49f9-4b18-bfdc-7a81f02b8ea8,tch_20210427-063822_2_1
std_1619506885750_6_1,36c25ec3-e730-416c-af16-aaba4a37f239,tch_20210427-063822_6_1
std_1619506884247_7_1,906df560-3db6-4db2-b0cb-fb7436c0f919,tch_20210427-063822_7_1
std_1619506015831_1_1,8ccf3c3a-6bf1-4bd9-b8da-37947c926134,tch_20210427-063822_1_1
std_1619506942169_8_1,f16b0cbb-38c7-400c-8aa3-8c137d306afb,tch_20210427-063822_8_1
std_1619506486254_4_1,49fb8835-d235-403d-870e-e23372d3dbd2,tch_20210427-063822_4_1
std_1619506518383_5_1,81099b02-e6bb-438e-ab50-51112c0d5a69,tch_20210427-063822_5_1
std_1619506055699_2_1,48315194-6708-4297-b115-4589aa253e3e,tch_20210427-063822_2_1
std_1619506076990_3_1,bb2798f5-915c-4df5-97eb-87dcb2fd6c9f,tch_20210427-063822_3_1
std_1619506534790_6_1,922f66b0-d5b8-442c-b0d5-85ba5f60ada9,tch_20210427-063822_6_1
std_1619506995970_10_1,edb0c5ce-20c2-4a56-8b09-386b590986bb,tch_20210427-063822_10_1
std_1619506535571_7_1,a3df0a26-77aa-408d-8530-b6f57b4f4f9d,tch_20210427-063822_7_1
std_1619507000600_9_1,43d519d1-3acf-4106-b258-83e7d11a75f0,tch_20210427-063822_9_1
std_1619507013959_11_1,65cc6f41-061b-4637-8862-9efc6731ecbc,tch_20210427-063822_11_1
std_1619505660055_1_1,3efc4b9b-ad44-4cee-aa6c-7002375b6205,tch_20210427-063822_1_1
std_1619506593003_8_1,24c74743-cdc9-474b-8d7f-ea159d832f48,tch_20210427-063822_8_1
std_1619507034876_12_1,b64c1124-bf86-47c6-b046-7656728d5945,tch_20210427-063822_12_1
std_1619506162322_5_1,58d883fd-974a-4a8e-86fa-45b98d0d5efe,tch_20210427-063822_5_1
std_1619506117730_4_1,c27044e2-9075-4050-b749-c544db163bc8,tch_20210427-063822_4_1
std_1619506180444_6_1,b5d0b954-4547-4be1-b07b-d791ba9fe9a4,tch_20210427-063822_6_1
std_1619505696221_2_1,885e9241-fe70-454a-b080-5e2a7c071543,tch_20210427-063822_2_1
std_1619505724740_3_1,09c70547-2113-4303-8038-ecdee99a77c8,tch_20210427-063822_3_1
std_1619506633541_10_1,4b7e57ad-83e3-4665-abc6-6181e8cfca22,tch_20210427-063822_10_1
std_1619506190084_7_1,b479dcdc-0e56-4f1c-a0bb-84f4aceb86c8,tch_20210427-063822_7_1
std_1619506630868_9_1,30ab2fcb-b541-4ced-aeca-5c441f8a7ae5,tch_20210427-063822_9_1
std_1619507087793_13_1,0e345fad-8f2e-4d9b-9fab-ce429845f1f3,tch_20210427-063822_13_1
std_1619507111117_14_1,f0808b47-e20d-4acf-bec7-cd0b41d22f97,tch_20210427-063822_14_1
std_1619506235163_8_1,f3f47636-5e44-4e3f-83c8-2b1dbc94876d,tch_20210427-063822_8_1
std_1619506663380_11_1,c2bd26d9-1902-47e2-9f1d-b2a1c8cb1d23,tch_20210427-063822_11_1
std_1619507135050_15_1,d1137472-7582-4d9e-9208-1482160a01ab,tch_20210427-063822_15_1
std_1619506695389_12_1,47bea2b0-8d95-4b6a-829c-9aa6cfbd1240,tch_20210427-063822_12_1
std_1619505793166_5_1,d46bc7bb-6597-41f6-b8e2-e786dd557985,tch_20210427-063822_5_1
std_1619505755809_4_1,89602b50-d377-4461-8903-7f0aafd340f0,tch_20210427-063822_4_1
std_1619505818347_6_1,247d97e2-5799-42b4-be06-0aa5b4533d62,tch_20210427-063822_6_1
std_1619506301779_10_1,1c5847da-3640-4553-99bc-3a4e1cf58f75,tch_20210427-063822_10_1
std_1619506270237_9_1,f5b24e14-f56a-47ec-ae72-c307de868ec1,tch_20210427-063822_9_1
std_1619505842143_7_1,21071a06-d51f-4aeb-8404-2200ed86e2fa,tch_20210427-063822_7_1
std_1619506744578_13_1,b44d9a78-1588-49cf-9394-d7236c59ce19,tch_20210427-063822_13_1
std_1619506762595_14_1,52c63b4f-71bf-4241-9831-28b93c5030f9,tch_20210427-063822_14_1
std_1619507201344_17_1,24ae6fe8-524e-41d9-94f1-9955f3cd38a2,tch_20210427-063822_17_1
std_1619505873846_8_1,993810af-fe34-4909-8494-76bc75da3769,tch_20210427-063822_8_1
std_1619507199854_16_1,77cd4d99-5df7-41b5-a098-b07382fca482,tch_20210427-063822_16_1
std_1619507226587_18_1,94491492-0d06-4d7c-ae05-976b1be87da1,tch_20210427-063822_18_1
std_1619506334071_11_1,cde4bb1f-cc48-43d3-94be-9274bb07f8e6,tch_20210427-063822_11_1
std_1619506775420_15_1,2e4d6735-491c-4818-a949-d803a8e23809,tch_20210427-063822_15_1
std_1619506354680_12_1,30f99370-f1f8-4dc2-9f61-e3de911bb32d,tch_20210427-063822_12_1
std_1619505948034_10_1,1aa839e3-f86e-4c02-a70d-28f12ea794b3,tch_20210427-063822_10_1
std_1619505917903_9_1,4fde4174-0657-4d65-8bd7-76546543db39,tch_20210427-063822_9_1
std_1619507250744_19_1,b3df2d6f-0f28-40da-863b-3732b7f3ab8a,tch_20210427-063822_19_1
std_1619506387154_13_1,ec8b1969-e7ad-4105-a49f-74356fa3e9d2,tch_20210427-063822_13_1
std_1619506836077_17_1,2274af5f-69c5-48a9-9f32-f88b21523f8b,tch_20210427-063822_17_1
std_1619506412320_14_1,326ba495-a4d1-4c00-831d-43812a4a1569,tch_20210427-063822_14_1
std_1619506846260_16_1,831e5d85-5e8f-41bd-bf96-67e0709cfac4,tch_20210427-063822_16_1
std_1619506876839_18_1,ff32537c-f64c-41b8-8813-322080a6b9b4,tch_20210427-063822_18_1
std_1619507308326_20_1,2bcd9166-899a-4cf3-ac1d-3eb664c175bf,tch_20210427-063822_20_1
std_1619505965725_11_1,02d9307d-ea8f-4bd6-ab57-c4ce4cef811a,tch_20210427-063822_11_1
std_1619506430004_15_1,879cd539-73d3-4191-951e-7ca99fb6c905,tch_20210427-063822_15_1
std_1619505994092_12_1,97962ddd-5b12-4837-bf55-175ee7e87eec,tch_20210427-063822_12_1
std_1619507338855_21_1,b1a9ce4f-a688-4603-8cfd-cd16d726bf7b,tch_20210427-063822_21_1
std_1619507341368_22_1,5729b807-e4da-4996-b658-49c01d164428,tch_20210427-063822_22_1
std_1619507357584_23_1,20d10950-3a2b-48ee-a340-35a3d2112497,tch_20210427-063822_23_1
std_1619506900355_19_1,129eac8c-e60a-4b60-af5e-1ff874b0ffa7,tch_20210427-063822_19_1
std_1619506029725_13_1,83754741-d32e-4522-92d5-c9d7438ac641,tch_20210427-063822_13_1
std_1619506480129_17_1,89fff6d9-4fee-4240-a911-f0c2a028acab,tch_20210427-063822_17_1
std_1619506058501_14_1,498cf3c4-5045-496f-9a73-bd096e9e06b1,tch_20210427-063822_14_1
std_1619507405394_24_1,0f12cbb0-0bf2-40cc-9940-4d5186dd2501,tch_20210427-063822_24_1
std_1619506527805_18_1,4e66409e-8154-4772-96cd-092206f36eb3,tch_20210427-063822_18_1
