stdextid,classcode
std_1616497697178_1,4DF4-W6a6
std_1616497699178_2,aY73-Y62V
std_1616497701179_3,4CE2-Hf79
std_1616497703183_4,9CM6-jZVQ
std_1616497705189_5,MHpu-38na
std_1616497707195_6,H97V-bZV2
std_1616497709202_7,ntx3-M4GF
std_1616497711208_8,7Vmp-4782
std_1616497713215_9,r2b3-8Pn3
std_1616497715221_10,7rQ9-7GQB
std_1616497717227_11,N629-ZF49
std_1616497719234_12,i693-Qc9m
std_1616497721240_13,a6Zw-bqrs
std_1616497723246_14,LPQo-w28U
std_1616497725254_15,r2FQ-oprj
std_1616497727262_16,Cfz3-zMum
std_1616497729267_17,Afu4-Uf4j
std_1616497731273_18,sE2B-6TK9
std_1616497733280_19,jX8r-P4Fp
std_1616497735286_20,6bWV-u6zE
std_1616497737293_21,VFg6-B8iA
std_1616497739299_22,DiHP-YXY2
std_1616497741306_23,Jm3D-b9pR
std_1616497743312_24,9h6D-rTeK
std_1616497745318_25,PAb6-NZ8v
std_1616497747324_26,BZsb-B74i
std_1616497749331_27,a4F8-qZ2s
std_1616497751338_28,XHg3-Zdoh
std_1616497753343_29,aVnc-Uvqi
std_1616497755351_30,2Aw7-Eb9X
std_1616497757357_31,TNK6-ro7i
std_1616497759363_32,7t2U-RUW2
std_1616497761371_33,yT6t-QvRU
std_1616497763376_34,Be48-kj3L
std_1616497765383_35,8sZF-s3r9
std_1616497767390_36,xz8f-8UbN
std_1616497769396_37,s9ba-R62m
std_1616497771403_38,cnce-dywB
std_1616497773409_39,HKB7-ch39
std_1616497775416_40,7X9w-u9wW
std_1616497777424_41,4DF4-W6a6
std_1616497779429_42,aY73-Y62V
std_1616497781434_43,4CE2-Hf79
std_1616497783442_44,9CM6-jZVQ
std_1616497785448_45,MHpu-38na
std_1616497787455_46,H97V-bZV2
std_1616497789460_47,ntx3-M4GF
std_1616497791469_48,7Vmp-4782
std_1616497793474_49,r2b3-8Pn3
std_1616497795481_50,7rQ9-7GQB
std_1616497797487_51,N629-ZF49
std_1616497799493_52,i693-Qc9m
std_1616497801500_53,a6Zw-bqrs
std_1616497803507_54,LPQo-w28U
std_1616497805513_55,r2FQ-oprj
std_1616497807520_56,Cfz3-zMum
std_1616497809525_57,Afu4-Uf4j
std_1616497811533_58,sE2B-6TK9
std_1616497813539_59,jX8r-P4Fp
std_1616497815546_60,6bWV-u6zE
std_1616497817553_61,VFg6-B8iA
std_1616497819559_62,DiHP-YXY2
std_1616497821565_63,Jm3D-b9pR
std_1616497823572_64,9h6D-rTeK
std_1616497825578_65,PAb6-NZ8v
std_1616497827584_66,BZsb-B74i
std_1616497829591_67,a4F8-qZ2s
