tchextid,userid,stdextid,classcode
tch_20210318-111245_1,169aa6f5-87bb-11eb-9a2d-0242ac110003,std_1616052315481_1,AucA-ik42
tch_20210318-111245_2,1c3dfa94-87bb-11eb-945b-0242ac110003,std_1616052325485_2,BqJ4-9mUF
tch_20210318-111245_3,22311c8d-87bb-11eb-9a2d-0242ac110003,std_1616052335506_3,98ZR-fP7m
tch_20210318-111245_1,261079af-87bb-11eb-9a2d-0242ac110003,std_1616052342332_1,AucA-ik42
tch_20210318-111245_4,282b1c03-87bb-11eb-9a2d-0242ac110003,std_1616052345514_4,ych2-T2y2
tch_20210318-111245_2,2a6813bc-87bb-11eb-9a2d-0242ac110003,std_1616052349649_2,BqJ4-9mUF
tch_20210318-111245_5,2e1d7b08-87bb-11eb-945b-0242ac110003,std_1616052355522_5,z83u-vYfJ
tch_20210318-111245_3,32767466-87bb-11eb-9a2d-0242ac110003,std_1616052363137_3,98ZR-fP7m
tch_20210318-111245_6,341a122d-87bb-11eb-9a2d-0242ac110003,std_1616052365529_6,78z6-A7Xi
tch_20210318-111245_1,34cb6101-87bb-11eb-945b-0242ac110003,std_1616052367069_1,AucA-ik42
tch_20210318-111245_4,38b5ba7a-87bb-11eb-945b-0242ac110003,std_1616052373609_4,ych2-T2y2
tch_20210318-111245_7,3a0d5be5-87bb-11eb-945b-0242ac110003,std_1616052375538_7,Qkb3-zC72
tch_20210318-111245_2,3b484cdd-87bb-11eb-945b-0242ac110003,std_1616052377945_2,BqJ4-9mUF
tch_20210318-111245_5,3e8d8ce5-87bb-11eb-945b-0242ac110003,std_1616052383464_5,z83u-vYfJ
tch_20210318-111245_8,3ffcd382-87bb-11eb-9a2d-0242ac110003,std_1616052385547_8,G9Zq-gcu2
tch_20210318-111245_3,42297820-87bb-11eb-945b-0242ac110003,std_1616052389501_3,98ZR-fP7m
tch_20210318-111245_6,440256c4-87bb-11eb-945b-0242ac110003,std_1616052392631_6,78z6-A7Xi
tch_20210318-111245_1,441060bf-87bb-11eb-945b-0242ac110003,std_1616052392716_1,AucA-ik42
tch_20210318-111245_4,4853d62b-87bb-11eb-9a2d-0242ac110003,std_1616052399835_4,ych2-T2y2
tch_20210318-111245_9,45f2db8e-87bb-11eb-945b-0242ac110003,std_1616052395555_9,mt8B-a7tQ
tch_20210318-111245_7,49abc5b8-87bb-11eb-9a2d-0242ac110003,std_1616052402110_7,Qkb3-zC72
tch_20210318-111245_10,4be90b83-87bb-11eb-945b-0242ac110003,std_1616052405563_10,6gMV-vB9g
tch_20210318-111245_2,4a7b2394-87bb-11eb-945b-0242ac110003,std_1616052403461_2,BqJ4-9mUF
tch_20210318-111245_5,4fdefdb4-87bb-11eb-9a2d-0242ac110003,std_1616052412502_5,z83u-vYfJ
tch_20210318-111245_8,5041b6f5-87bb-11eb-945b-0242ac110003,std_1616052413170_8,G9Zq-gcu2
tch_20210318-111245_3,50a9040f-87bb-11eb-9a2d-0242ac110003,std_1616052413843_3,98ZR-fP7m
tch_20210318-111245_11,51e1ab12-87bb-11eb-945b-0242ac110003,std_1616052415577_11,PJ4g-Hjdo
tch_20210318-111245_6,53450bc2-87bb-11eb-945b-0242ac110003,std_1616052418222_6,78z6-A7Xi
tch_20210318-111245_4,56ae00bb-87bb-11eb-9a2d-0242ac110003,std_1616052423947_4,ych2-T2y2
tch_20210318-111245_9,571c04df-87bb-11eb-945b-0242ac110003,std_1616052424667_9,mt8B-a7tQ
tch_20210318-111245_10,5a9f10f4-87bb-11eb-945b-0242ac110003,std_1616052430539_10,6gMV-vB9g
tch_20210318-111245_7,5962244d-87bb-11eb-945b-0242ac110003,std_1616052428461_7,Qkb3-zC72
tch_20210318-111245_12,57d51b9f-87bb-11eb-945b-0242ac110003,std_1616052425587_12,mtQN-D4r2
tch_20210318-111245_13,5dd0533a-87bb-11eb-945b-0242ac110003,std_1616052435594_13,Pw6V-n7Dm
tch_20210318-111245_5,6024ca99-87bb-11eb-9a2d-0242ac110003,std_1616052439803_5,z83u-vYfJ
tch_20210318-111245_8,60d27040-87bb-11eb-945b-0242ac110003,std_1616052440972_8,G9Zq-gcu2
tch_20210318-111245_11,61d3d9dc-87bb-11eb-945b-0242ac110003,std_1616052442654_11,PJ4g-Hjdo
tch_20210318-111245_6,63af788d-87bb-11eb-945b-0242ac110003,std_1616052445760_6,78z6-A7Xi
tch_20210318-111245_9,66768737-87bb-11eb-9a2d-0242ac110003,std_1616052450421_9,mt8B-a7tQ
tch_20210318-111245_10,68ed53d1-87bb-11eb-9a2d-0242ac110003,std_1616052454534_10,6gMV-vB9g
tch_20210318-111245_14,63c8cc09-87bb-11eb-9a2d-0242ac110003,std_1616052445618_14,nVZe-a3Z3
tch_20210318-111245_7,69527df6-87bb-11eb-945b-0242ac110003,std_1616052455224_7,Qkb3-zC72
tch_20210318-111245_15,69bc157a-87bb-11eb-945b-0242ac110003,std_1616052455617_15,LjMu-8wvk
tch_20210318-111245_12,6953b695-87bb-11eb-9a2d-0242ac110003,std_1616052455224_12,mtQN-D4r2
tch_20210318-111245_13,6f5445d7-87bb-11eb-9a2d-0242ac110003,std_1616052465268_13,Pw6V-n7Dm
tch_20210318-111245_16,6fb5786d-87bb-11eb-945b-0242ac110003,std_1616052465617_16,3CHU-xT2t
tch_20210318-111245_8,700f31e6-87bb-11eb-945b-0242ac110003,std_1616052466533_8,G9Zq-gcu2
tch_20210318-111245_11,72ac4a71-87bb-11eb-945b-0242ac110003,std_1616052470915_11,PJ4g-Hjdo
tch_20210318-111245_17,75a9d2c8-87bb-11eb-945b-0242ac110003,std_1616052475626_17,Q3cu-VzNY
tch_20210318-111245_9,76142d98-87bb-11eb-9a2d-0242ac110003,std_1616052476630_9,mt8B-a7tQ
tch_20210318-111245_10,76265611-87bb-11eb-945b-0242ac110003,std_1616052476714_10,6gMV-vB9g
tch_20210318-111245_14,761cdff9-87bb-11eb-945b-0242ac110003,std_1616052476715_14,nVZe-a3Z3
tch_20210318-111245_15,7a3f3a42-87bb-11eb-945b-0242ac110003,std_1616052483543_15,LjMu-8wvk
tch_20210318-111245_12,7ad1dcff-87bb-11eb-945b-0242ac110003,std_1616052484588_12,mtQN-D4r2
tch_20210318-111245_18,7ba05091-87bb-11eb-9a2d-0242ac110003,std_1616052485634_18,3qy4-3HpD
tch_20210318-111245_13,7f29778d-87bb-11eb-945b-0242ac110003,std_1616052491855_13,Pw6V-n7Dm
tch_20210318-111245_16,7fb7fbb5-87bb-11eb-945b-0242ac110003,std_1616052492817_16,3CHU-xT2t
tch_20210318-111245_19,819bd6bf-87bb-11eb-9a2d-0242ac110003,std_1616052495643_19,T8GZ-vubC
tch_20210318-111245_17,8447bc6a-87bb-11eb-945b-0242ac110003,std_1616052500427_17,Q3cu-VzNY
tch_20210318-111245_11,82d4567e-87bb-11eb-9a2d-0242ac110003,std_1616052498005_11,PJ4g-Hjdo
tch_20210318-111245_20,87949e55-87bb-11eb-945b-0242ac110003,std_1616052505666_20,WBd7-6r2A
tch_20210318-111245_14,8716e22d-87bb-11eb-9a2d-0242ac110003,std_1616052505164_14,nVZe-a3Z3
tch_20210318-111245_15,8a015888-87bb-11eb-9a2d-0242ac110003,std_1616052510049_15,LjMu-8wvk
tch_20210318-111245_18,8d38406f-87bb-11eb-945b-0242ac110003,std_1616052515455_18,3qy4-3HpD
tch_20210318-111245_12,8be86751-87bb-11eb-9a2d-0242ac110003,std_1616052513225_12,mtQN-D4r2
tch_20210318-111245_21,8d9a5d86-87bb-11eb-9a2d-0242ac110003,std_1616052515674_21,mLNz-qE7E
tch_20210318-111245_16,90dbf3e9-87bb-11eb-945b-0242ac110003,std_1616052521572_16,3CHU-xT2t
tch_20210318-111245_13,8e7f8cf1-87bb-11eb-945b-0242ac110003,std_1616052517605_13,Pw6V-n7Dm
