extuserid,groupid,tchextuserid
std_1616046639976_1,22c00b2e-81e1-453d-8ebf-f064f381aa81,tch_20210318-111245_1
std_1616046643266_2,8b9dca79-4f70-47e2-85f8-a9bc1b5972eb,tch_20210318-111245_2
std_1616046506265_1,ad9a9425-4d68-4b35-a9a7-69cf3cd631df,tch_20210318-111245_1
std_1616046663747_3,403d6b59-8831-4f29-956e-24892dee9287,tch_20210318-111245_3
std_1616046511585_2,cadd2bf1-5e46-445c-8cfe-7598a447a343,tch_20210318-111245_2
std_1616046372086_1,fdb755cc-c004-4be9-8225-3f594d7478eb,tch_20210318-111245_1
std_1616046529348_3,b3661bcb-432e-4bd8-9079-d86f228ba07d,tch_20210318-111245_3
std_1616046692731_4,e7e1ec54-da0b-4362-8631-f136842237aa,tch_20210318-111245_4
std_1616046379449_2,0e87b508-5544-4846-a2b6-a0cedb5bd375,tch_20210318-111245_2
std_1616046230215_1,9daa9a61-8cba-4c99-be51-801e88dd622e,tch_20210318-111245_1
std_1616046393633_3,06fab8e4-bc98-4aa1-bd22-ee410883117c,tch_20210318-111245_3
std_1616046723905_5,cf00e4f8-5c13-4094-8c4f-fa839d2350ae,tch_20210318-111245_5
std_1616046555793_4,26f9cea2-2c0d-4473-9169-a4e905807b75,tch_20210318-111245_4
std_1616046247220_2,6e15fd4a-af63-416a-abca-aa5e47d2057d,tch_20210318-111245_2
std_1616046741217_7,1b29c87d-f89c-4d37-ba7b-d43206a50c35,tch_20210318-111245_7
std_1616046739809_6,0d4d0708-a371-4819-8977-ad74ffa10eff,tch_20210318-111245_6
std_1616046259052_3,5c11e3fb-85e6-4b45-941f-8375c0fa7ee1,tch_20210318-111245_3
std_1616046414820_4,239140a5-d581-4f8b-9d4b-815a7438dd69,tch_20210318-111245_4
std_1616046583730_5,2a131669-d1b8-423a-b911-9f321859e9c4,tch_20210318-111245_5
std_1616046590858_6,46095a40-8ff1-4eaf-9889-e59fa35956bf,tch_20210318-111245_6
std_1616046610498_7,6c0610a0-26ac-404e-b45a-fc1786dcd827,tch_20210318-111245_7
std_1616046281259_4,706b59bb-9c7c-4f38-90e3-292395f183f3,tch_20210318-111245_4
std_1616046444536_5,d5f13500-4625-4b64-82fc-f4ca95a608d7,tch_20210318-111245_5
std_1616046778822_8,ed1cf9f7-d0b0-41ac-b6d1-cfae7ba159c6,tch_20210318-111245_8
std_1616046778348_9,54def8f5-9e65-49e3-b5ec-9540bb946e8f,tch_20210318-111245_9
std_1616046457909_6,e5c01b59-8b40-403e-99a2-286d3cc5525b,tch_20210318-111245_6
std_1616046485734_7,567dd65e-42e7-4e6b-bfa9-35a5a65d1ea4,tch_20210318-111245_7
std_1616046638734_8,1fc77cae-bbf3-46cd-a9c8-6fcf02f5a7af,tch_20210318-111245_8
std_1616046307303_5,214613a2-e090-48a7-838d-20cc1306112e,tch_20210318-111245_5
std_1616046642244_9,045e8cbd-f499-4fa1-9725-514582fb10c2,tch_20210318-111245_9
std_1616046325623_6,73bf24bb-767d-42e5-aec5-4f092ab65e13,tch_20210318-111245_6
std_1616046813671_11,62393703-0d21-4213-9180-0fcea9b3c0ae,tch_20210318-111245_11
std_1616046820940_10,2ad73945-3b25-494a-973c-5ca1f766247b,tch_20210318-111245_10
std_1616046344489_7,2a2e895f-90de-4767-9eb8-cdba21fb993d,tch_20210318-111245_7
std_1616046513390_9,bdad4292-0d7d-4d3d-af2c-a304be94469f,tch_20210318-111245_9
std_1616046497658_8,81f6ddd5-40dc-454e-9308-b9f8629e50e6,tch_20210318-111245_8
std_1616046688982_11,ed84434b-f8ce-4837-9ff9-01a9393cc73e,tch_20210318-111245_11
std_1616046688280_10,16a797a3-ea50-401d-b383-b308c9b6f4ce,tch_20210318-111245_10
std_1616046855907_12,d50dda41-955b-47db-bc39-f217dffcc0c5,tch_20210318-111245_12
std_1616046383566_9,7bcbd7fb-da62-49fe-a12c-07ef9116fa09,tch_20210318-111245_9
std_1616046364729_8,8636a128-5242-4096-be5e-e1b66b7c389f,tch_20210318-111245_8
std_1616046877733_14,eefc1907-aa10-45ba-abc4-faf229833e4c,tch_20210318-111245_14
std_1616046556475_11,f37c0b6a-8ac4-4a17-8dc8-e07c5acd5060,tch_20210318-111245_11
std_1616046869803_13,5a59e413-3b0c-40e8-9958-9b9deb81274b,tch_20210318-111245_13
std_1616046549212_10,6fff3822-ce23-4335-8e13-d99e6f13e23a,tch_20210318-111245_10
std_1616046722869_12,b221446e-38a9-4298-a948-07b1f85f0fd0,tch_20210318-111245_12
std_1616046747481_14,23076b03-2f52-47ef-bab9-a44dc75ed901,tch_20210318-111245_14
std_1616046421042_11,28b82e6a-b022-40a3-9c7d-7925703ad7fb,tch_20210318-111245_11
std_1616046406687_10,6396efa4-71fa-4caa-ac64-633c3f09cdd9,tch_20210318-111245_10
std_1616046735016_13,0a782762-fbf1-4258-ba7a-3fefd06e19f4,tch_20210318-111245_13
std_1616046592828_12,dd809fdb-7d48-4563-acdb-3621f1474c49,tch_20210318-111245_12
std_1616046915144_15,c0b7828a-0260-4a0d-a7b1-b74d300b4d39,tch_20210318-111245_15
std_1616046615694_14,0992e5b3-3635-4c5b-adba-282dc1de2139,tch_20210318-111245_14
std_1616046596799_13,816efa95-59cf-4cfe-ade5-b078b41b9c2c,tch_20210318-111245_13
std_1616046923232_16,6f07e5e6-d882-4699-b88f-7b5478f73f49,tch_20210318-111245_16
std_1616046944557_17,e2f6e7a2-d69c-4a43-b8d6-774c25ff99f3,tch_20210318-111245_17
std_1616046452379_12,6141e187-ea96-43f5-9fc4-f33d9981b3b5,tch_20210318-111245_12
std_1616046772881_15,47e1426b-ba60-415b-9596-c26e1b5f02a5,tch_20210318-111245_15
std_1616046482642_14,fcacc92a-dffd-459c-aaaa-655424746779,tch_20210318-111245_14
std_1616046465348_13,57c49267-1bdd-47f9-8943-c427e3a5d063,tch_20210318-111245_13
std_1616046785585_16,0b0d3a6e-bda6-4356-8983-836c3e12639f,tch_20210318-111245_16
std_1616046811439_17,16ef7ef3-7958-4c5b-8016-a15283b5d0fd,tch_20210318-111245_17
std_1616046641256_15,d4d3f6db-b3a6-47a4-ae71-b55680f0b4ba,tch_20210318-111245_15
std_1616046977477_18,25a9cb5c-0ee6-4d85-9276-27c0d8d819cd,tch_20210318-111245_18
std_1616046653682_16,dd2c8fe5-5d26-4e10-8d08-bbd4d5b363ee,tch_20210318-111245_16
std_1616046679053_17,3cbe36af-d4a1-49e0-9685-5217309f811d,tch_20210318-111245_17
std_1616046504469_15,887905ab-8470-4e13-85a2-f63ca165784b,tch_20210318-111245_15
std_1616046840470_18,4cc19556-7233-49f9-bb14-2b760e42a06a,tch_20210318-111245_18
std_1616046992120_19,2b8bf34f-b69a-4c55-b9ac-bc1600dcc02e,tch_20210318-111245_19
std_1616047003022_20,244c550a-f20e-4c43-a4a8-33a357464f2f,tch_20210318-111245_20
std_1616046525688_16,192e2893-c50a-40ea-8eb3-987d3a60f5d1,tch_20210318-111245_16
std_1616046541611_17,e454ff2b-402c-4b06-b297-2782ff340324,tch_20210318-111245_17
std_1616046712542_18,bee618d2-a33a-4dfb-8b84-5f134280cdf4,tch_20210318-111245_18
std_1616046851702_19,046a2534-cb03-4341-822a-ba8367460a75,tch_20210318-111245_19
std_1616046877607_20,8ab49965-d6a6-417e-b55f-cdb894c7bed9,tch_20210318-111245_20
std_1616047041810_21,b428b126-bd91-4a49-ab9e-975d3338cd41,tch_20210318-111245_21
std_1616046569076_18,184d299c-29d7-4eeb-91dd-18ceb1202841,tch_20210318-111245_18
std_1616046718611_19,2a025f6c-3ae0-4eb8-93df-fcb6d47f943c,tch_20210318-111245_19
std_1616046744671_20,d80a0e84-b460-46d4-8918-6b702f9bf99d,tch_20210318-111245_20
std_1616046911287_21,a0b5ddd4-3f2f-4e0c-8682-e9a4a4108b0a,tch_20210318-111245_21
std_1616047068103_22,c49c3df5-03a3-433e-93b0-5112e0597fa8,tch_20210318-111245_22
std_1616046591498_19,a9bdcf1f-87c5-41ac-8437-ad5b0d3baa6e,tch_20210318-111245_19
std_1616046608962_20,6b5b9957-9079-4e8e-8494-d4ec17986ec1,tch_20210318-111245_20
std_1616047084944_24,30fef1c7-94cb-41c5-b2de-83c70aaeea17,tch_20210318-111245_24
std_1616047090683_23,ea60b693-942d-4cee-9837-754d59ef0be7,tch_20210318-111245_23
std_1616046930582_22,a404f273-a985-4899-8ff7-f4ffe14d99f4,tch_20210318-111245_22
std_1616046764024_21,94aae743-8547-45a8-98b7-f8330e1ccdb5,tch_20210318-111245_21
std_1616046954559_24,320c5bbb-5357-4e78-8499-204747d2ae95,tch_20210318-111245_24
std_1616047119234_26,06fa638d-1ef3-41e8-b145-25e390dc2c63,tch_20210318-111245_26
