tchextid,stduuid,stdextid,groupid
tch_20210318-111245_1,1b2c9da1-87ae-11eb-945b-0242ac110003,std_1616046741737_1,22c00b2e-81e1-453d-8ebf-f064f381aa81
tch_20210318-111245_1,0d187d21-87ae-11eb-9a2d-0242ac110003,std_1616046718284_1,22c00b2e-81e1-453d-8ebf-f064f381aa81
tch_20210318-111245_2,22162db1-87ae-11eb-945b-0242ac110003,std_1616046753469_2,8b9dca79-4f70-47e2-85f8-a9bc1b5972eb
tch_20210318-111245_1,fdc7bee8-87ad-11eb-9a2d-0242ac110003,std_1616046692625_1,22c00b2e-81e1-453d-8ebf-f064f381aa81
tch_20210318-111245_2,125b1415-87ae-11eb-945b-0242ac110003,std_1616046727080_2,8b9dca79-4f70-47e2-85f8-a9bc1b5972eb
tch_20210318-111245_1,ecefea68-87ad-11eb-945b-0242ac110003,std_1616046664380_1,22c00b2e-81e1-453d-8ebf-f064f381aa81
tch_20210318-111245_2,02483d75-87ae-11eb-945b-0242ac110003,std_1616046700161_2,8b9dca79-4f70-47e2-85f8-a9bc1b5972eb
tch_20210318-111245_2,f0cc39c2-87ad-11eb-945b-0242ac110003,std_1616046670825_2,8b9dca79-4f70-47e2-85f8-a9bc1b5972eb
tch_20210318-111245_1,cde809e7-87ad-11eb-945b-0242ac110003,std_1616046612338_1,ad9a9425-4d68-4b35-a9a7-69cf3cd631df
tch_20210318-111245_3,2de08540-87ae-11eb-9a2d-0242ac110003,std_1616046773312_3,403d6b59-8831-4f29-956e-24892dee9287
tch_20210318-111245_1,be9acd17-87ad-11eb-945b-0242ac110003,std_1616046586551_1,ad9a9425-4d68-4b35-a9a7-69cf3cd631df
tch_20210318-111245_3,1ded6b98-87ae-11eb-9a2d-0242ac110003,std_1616046746545_3,403d6b59-8831-4f29-956e-24892dee9287
tch_20210318-111245_2,cf345f5c-87ad-11eb-945b-0242ac110003,std_1616046614505_2,cadd2bf1-5e46-445c-8cfe-7598a447a343
tch_20210318-111245_1,aea51be0-87ad-11eb-945b-0242ac110003,std_1616046559846_1,ad9a9425-4d68-4b35-a9a7-69cf3cd631df
tch_20210318-111245_3,0f095076-87ae-11eb-945b-0242ac110003,std_1616046721545_3,403d6b59-8831-4f29-956e-24892dee9287
tch_20210318-111245_2,bfb7d5b3-87ad-11eb-945b-0242ac110003,std_1616046588461_2,cadd2bf1-5e46-445c-8cfe-7598a447a343
tch_20210318-111245_1,9fbfc8d9-87ad-11eb-945b-0242ac110003,std_1616046534835_1,ad9a9425-4d68-4b35-a9a7-69cf3cd631df
tch_20210318-111245_3,fdb06568-87ad-11eb-945b-0242ac110003,std_1616046692424_3,403d6b59-8831-4f29-956e-24892dee9287
tch_20210318-111245_2,b1456925-87ad-11eb-945b-0242ac110003,std_1616046564243_2,cadd2bf1-5e46-445c-8cfe-7598a447a343
tch_20210318-111245_2,a1352a63-87ad-11eb-945b-0242ac110003,std_1616046537326_2,cadd2bf1-5e46-445c-8cfe-7598a447a343
tch_20210318-111245_1,7f4719cc-87ad-11eb-9a2d-0242ac110003,std_1616046480360_1,fdb755cc-c004-4be9-8225-3f594d7478eb
tch_20210318-111245_3,de2fab22-87ad-11eb-9a2d-0242ac110003,std_1616046639626_3,b3661bcb-432e-4bd8-9079-d86f228ba07d
tch_20210318-111245_1,6fe7b538-87ad-11eb-945b-0242ac110003,std_1616046454595_1,fdb755cc-c004-4be9-8225-3f594d7478eb
tch_20210318-111245_4,3f8a0055-87ae-11eb-945b-0242ac110003,std_1616046802915_4,e7e1ec54-da0b-4362-8631-f136842237aa
tch_20210318-111245_2,82783503-87ad-11eb-9a2d-0242ac110003,std_1616046485734_2,0e87b508-5544-4846-a2b6-a0cedb5bd375
tch_20210318-111245_1,6009346f-87ad-11eb-945b-0242ac110003,std_1616046427942_1,fdb755cc-c004-4be9-8225-3f594d7478eb
tch_20210318-111245_3,cee3a746-87ad-11eb-9a2d-0242ac110003,std_1616046613970_3,b3661bcb-432e-4bd8-9079-d86f228ba07d
tch_20210318-111245_4,2eaed1b9-87ae-11eb-945b-0242ac110003,std_1616046774676_4,e7e1ec54-da0b-4362-8631-f136842237aa
tch_20210318-111245_2,72bf3f37-87ad-11eb-945b-0242ac110003,std_1616046459326_2,0e87b508-5544-4846-a2b6-a0cedb5bd375
tch_20210318-111245_1,4f8aa423-87ad-11eb-9a2d-0242ac110003,std_1616046400214_1,fdb755cc-c004-4be9-8225-3f594d7478eb
tch_20210318-111245_3,be22b6b1-87ad-11eb-945b-0242ac110003,std_1616046585797_3,b3661bcb-432e-4bd8-9079-d86f228ba07d
tch_20210318-111245_4,1de88918-87ae-11eb-945b-0242ac110003,std_1616046746457_4,e7e1ec54-da0b-4362-8631-f136842237aa
tch_20210318-111245_2,64e0fc0c-87ad-11eb-945b-0242ac110003,std_1616046436076_2,0e87b508-5544-4846-a2b6-a0cedb5bd375
tch_20210318-111245_3,ac254e45-87ad-11eb-945b-0242ac110003,std_1616046555659_3,b3661bcb-432e-4bd8-9079-d86f228ba07d
tch_20210318-111245_4,0f792950-87ae-11eb-945b-0242ac110003,std_1616046722023_4,e7e1ec54-da0b-4362-8631-f136842237aa
tch_20210318-111245_2,549d9eea-87ad-11eb-945b-0242ac110003,std_1616046408820_2,0e87b508-5544-4846-a2b6-a0cedb5bd375
tch_20210318-111245_1,2c65e893-87ad-11eb-945b-0242ac110003,std_1616046341324_1,9daa9a61-8cba-4c99-be51-801e88dd622e
tch_20210318-111245_1,1a141e09-87ad-11eb-9a2d-0242ac110003,std_1616046310589_1,9daa9a61-8cba-4c99-be51-801e88dd622e
tch_20210318-111245_3,8d244bc9-87ad-11eb-945b-0242ac110003,std_1616046503661_3,06fab8e4-bc98-4aa1-bd22-ee410883117c
tch_20210318-111245_1,08a587db-87ad-11eb-9a2d-0242ac110003,std_1616046281358_1,9daa9a61-8cba-4c99-be51-801e88dd622e
tch_20210318-111245_5,5164c5a6-87ae-11eb-9a2d-0242ac110003,std_1616046832901_5,cf00e4f8-5c13-4094-8c4f-fa839d2350ae
tch_20210318-111245_4,edf9b8dc-87ad-11eb-9a2d-0242ac110003,std_1616046666092_4,26f9cea2-2c0d-4473-9169-a4e905807b75
tch_20210318-111245_3,7bfa3853-87ad-11eb-945b-0242ac110003,std_1616046474851_3,06fab8e4-bc98-4aa1-bd22-ee410883117c
tch_20210318-111245_2,34081966-87ad-11eb-945b-0242ac110003,std_1616046354163_2,6e15fd4a-af63-416a-abca-aa5e47d2057d
tch_20210318-111245_1,f9891f52-87ac-11eb-945b-0242ac110003,std_1616046256002_1,9daa9a61-8cba-4c99-be51-801e88dd622e
tch_20210318-111245_4,dd06bbaf-87ad-11eb-945b-0242ac110003,std_1616046637643_4,26f9cea2-2c0d-4473-9169-a4e905807b75
tch_20210318-111245_5,40879af4-87ae-11eb-945b-0242ac110003,std_1616046804602_5,cf00e4f8-5c13-4094-8c4f-fa839d2350ae
tch_20210318-111245_3,6df1628a-87ad-11eb-9a2d-0242ac110003,std_1616046451270_3,06fab8e4-bc98-4aa1-bd22-ee410883117c
tch_20210318-111245_2,241f12bf-87ad-11eb-9a2d-0242ac110003,std_1616046327436_2,6e15fd4a-af63-416a-abca-aa5e47d2057d
tch_20210318-111245_4,cdd6083a-87ad-11eb-9a2d-0242ac110003,std_1616046612196_4,26f9cea2-2c0d-4473-9169-a4e905807b75
tch_20210318-111245_5,2ee60dcf-87ae-11eb-945b-0242ac110003,std_1616046775052_5,cf00e4f8-5c13-4094-8c4f-fa839d2350ae
tch_20210318-111245_3,5de5df6e-87ad-11eb-9a2d-0242ac110003,std_1616046424363_3,06fab8e4-bc98-4aa1-bd22-ee410883117c
tch_20210318-111245_7,57db701d-87ae-11eb-945b-0242ac110003,std_1616046843769_7,1b29c87d-f89c-4d37-ba7b-d43206a50c35
tch_20210318-111245_2,1235f579-87ad-11eb-9a2d-0242ac110003,std_1616046297405_2,6e15fd4a-af63-416a-abca-aa5e47d2057d
tch_20210318-111245_6,5817193d-87ae-11eb-9a2d-0242ac110003,std_1616046844107_6,0d4d0708-a371-4819-8977-ad74ffa10eff
tch_20210318-111245_5,1e7deb12-87ae-11eb-945b-0242ac110003,std_1616046747466_5,cf00e4f8-5c13-4094-8c4f-fa839d2350ae
tch_20210318-111245_4,be341c28-87ad-11eb-945b-0242ac110003,std_1616046585937_4,26f9cea2-2c0d-4473-9169-a4e905807b75
tch_20210318-111245_2,0392b3f2-87ad-11eb-945b-0242ac110003,std_1616046272841_2,6e15fd4a-af63-416a-abca-aa5e47d2057d
tch_20210318-111245_7,48dd3d18-87ae-11eb-9a2d-0242ac110003,std_1616046818587_7,1b29c87d-f89c-4d37-ba7b-d43206a50c35
tch_20210318-111245_6,47fa7efd-87ae-11eb-9a2d-0242ac110003,std_1616046817110_6,0d4d0708-a371-4819-8977-ad74ffa10eff
tch_20210318-111245_7,39582875-87ae-11eb-945b-0242ac110003,std_1616046792554_7,1b29c87d-f89c-4d37-ba7b-d43206a50c35
tch_20210318-111245_6,38603410-87ae-11eb-945b-0242ac110003,std_1616046790924_6,0d4d0708-a371-4819-8977-ad74ffa10eff
tch_20210318-111245_7,2a0aebed-87ae-11eb-945b-0242ac110003,std_1616046766843_7,1b29c87d-f89c-4d37-ba7b-d43206a50c35
tch_20210318-111245_6,2962ebd5-87ae-11eb-9a2d-0242ac110003,std_1616046765776_6,0d4d0708-a371-4819-8977-ad74ffa10eff
tch_20210318-111245_3,3a981793-87ad-11eb-9a2d-0242ac110003,std_1616046365155_3,5c11e3fb-85e6-4b45-941f-8375c0fa7ee1
tch_20210318-111245_4,9b096ced-87ad-11eb-9a2d-0242ac110003,std_1616046526974_4,239140a5-d581-4f8b-9d4b-815a7438dd69
tch_20210318-111245_5,00981cbf-87ae-11eb-945b-0242ac110003,std_1616046697335_5,2a131669-d1b8-423a-b911-9f321859e9c4
tch_20210318-111245_3,28cbaacc-87ad-11eb-9a2d-0242ac110003,std_1616046335314_3,5c11e3fb-85e6-4b45-941f-8375c0fa7ee1
tch_20210318-111245_4,8bf679df-87ad-11eb-945b-0242ac110003,std_1616046501664_4,239140a5-d581-4f8b-9d4b-815a7438dd69
tch_20210318-111245_5,ef742494-87ad-11eb-9a2d-0242ac110003,std_1616046668587_5,2a131669-d1b8-423a-b911-9f321859e9c4
tch_20210318-111245_3,1949a29c-87ad-11eb-945b-0242ac110003,std_1616046309271_3,5c11e3fb-85e6-4b45-941f-8375c0fa7ee1
tch_20210318-111245_4,79f65229-87ad-11eb-9a2d-0242ac110003,std_1616046471426_4,239140a5-d581-4f8b-9d4b-815a7438dd69
