tchextid,classcode
tch_20200928-180823_1,RDkm-RVzF
tch_20200928-180823_2,3WJ2-383V
tch_20200928-180823_3,ndm2-sW34
tch_20200928-180823_4,E9zy-h9zc
tch_20200928-180823_5,kavc-rLZq
tch_20200928-180823_6,h8BU-TAEU
tch_20200928-180823_7,RNTZ-9ecE
tch_20200928-180823_8,2zEP-MjkP
tch_20200928-180823_9,J24y-MoEW
tch_20200928-180823_10,vJ3m-4TVp
tch_20200928-180823_11,URwp-MuC2
tch_20200928-180823_12,CnGp-EeJ8
tch_20200928-180823_13,DgG6-8XBe
tch_20200928-180823_14,J9qD-BQi4
tch_20200928-180823_15,w3gU-cX67
tch_20200928-180823_16,8LmJ-w4DX
tch_20200928-180823_17,PwqX-arNf
tch_20200928-180823_18,ipxG-838w
tch_20200928-180823_19,fe6N-484n
tch_20200928-180823_20,b6su-nemw
tch_20200928-180823_21,o49W-jz8s
tch_20200928-180823_22,PBMN-dHUv
tch_20200928-180823_23,zZb7-63Q6
tch_20200928-180823_24,47DB-3Cg3
tch_20200928-180823_25,C374-vAZq
tch_20200928-180823_26,2v4q-p79b
tch_20200928-180823_27,w7JP-K94b
tch_20200928-180823_28,829L-N7Hr
tch_20200928-180823_29,i6LE-yvxH
tch_20200928-180823_30,2prZ-PMf9
tch_20200928-180823_31,4nYt-3C6f
tch_20200928-180823_32,mpGi-kWmd
tch_20200928-180823_33,6At4-xYRh
tch_20200928-180823_34,W2Nv-VWDb
tch_20200928-180823_35,NZDr-qfH9
tch_20200928-180823_36,4Y4m-szoT
tch_20200928-180823_37,VQ9u-6EVt
tch_20200928-180823_38,yZFt-zADK
tch_20200928-180823_39,6wa7-wmAy
tch_20200928-180823_40,N69W-YbsC
tch_20200928-180823_41,G2kr-Gao3
tch_20200928-180823_42,w7ng-L2n8
tch_20200928-180823_43,DaQ4-LCrx
tch_20200928-180823_44,Qywr-u4qW
tch_20200928-180823_45,UV29-Nwg7
tch_20200928-180823_46,oZwW-c8ri
tch_20200928-180823_47,jNCa-7oXb
tch_20200928-180823_48,6NAm-9AcV
tch_20200928-180823_49,pHAt-3uzZ
tch_20200928-180823_50,s6w4-a2E3
tch_20200928-180823_51,Q4Mc-ZAHd
tch_20200928-180823_52,4NLe-74q7
tch_20200928-180823_53,mEN8-gs9j
tch_20200928-180823_54,t749-2xGe
tch_20200928-180823_55,jqsQ-eFtU
tch_20200928-180823_56,J2gJ-b76o
tch_20200928-180823_57,o7KG-at8V
tch_20200928-180823_58,8Qh6-hD6x
tch_20200928-180823_59,2CfC-eA8t
tch_20200928-180823_60,jN7C-pRCe
tch_20200928-180823_61,nJAB-PwYP
tch_20200928-180823_62,Y4tY-qT6z
tch_20200928-180823_63,PWZQ-CYD6
tch_20200928-180823_64,fFJ2-Dj42
tch_20200928-180823_65,8yh6-39cu
tch_20200928-180823_66,2Vt6-8uRQ
tch_20200928-180823_67,4P79-Z4Lp
tch_20200928-180823_68,6cZG-wP8N
tch_20200928-180823_69,76oU-nkFK
tch_20200928-180823_70,UF49-cx7d
tch_20200928-180823_71,M7o8-E47j
tch_20200928-180823_72,2bos-6bVi
tch_20200928-180823_73,EgY2-dKo4
tch_20200928-180823_74,N843-HfQL
tch_20200928-180823_75,NuqT-HcDu
tch_20200928-180823_76,U7fs-6bdZ
tch_20200928-180823_77,bXih-6Pcw
tch_20200928-180823_78,HqYD-93aC
tch_20200928-180823_79,g4Kk-UadG
tch_20200928-180823_80,bcKH-arw9
tch_20200928-180823_81,3ojX-x7BF
tch_20200928-180823_82,3qW7-FYJo
tch_20200928-180823_83,gqAr-z7Ak
tch_20200928-180823_84,bQ3U-KHEm
tch_20200928-180823_85,tBj3-mde9
tch_20200928-180823_86,cMdB-d96B
tch_20200928-180823_87,HQCv-JnW2
tch_20200928-180823_88,rd2y-WhT7
tch_20200928-180823_89,gcNu-YQsn
tch_20200928-180823_90,E4P6-fnMh
tch_20200928-180823_91,E8ph-Y2GZ
tch_20200928-180823_92,63tp-GWhA
tch_20200928-180823_93,j6dY-7Dnw
tch_20200928-180823_94,AHDt-hNA4
tch_20200928-180823_95,iEtH-A9qf
tch_20200928-180823_96,6YU4-63K6
tch_20200928-180823_97,9fAU-XhGo
tch_20200928-180823_98,3eB3-suHD
tch_20200928-180823_99,G4Np-W2ZW
tch_20200928-180823_100,Xxy7-GXgr
tch_20200928-180823_101,iriJ-8a6V
tch_20200928-180823_102,AcyT-YM4q
tch_20200928-180823_103,T3xc-68oG
tch_20200928-180823_104,X87o-ZpG8
tch_20200928-180823_105,kZYK-Wf9X
tch_20200928-180823_106,3jaD-494M
tch_20200928-180823_107,Q9sZ-VQeV
tch_20200928-180823_108,mJZC-vBMz
tch_20200928-180823_109,v3m9-snr8
tch_20200928-180823_110,qho8-6xuf
tch_20200928-180823_111,7GFu-JG2c
tch_20200928-180823_112,PoYM-q4oL
tch_20200928-180823_113,v36Y-2bHY
tch_20200928-180823_114,ntCi-936q
tch_20200928-180823_115,e6c8-yXz6
tch_20200928-180823_116,gdtU-Gn92
tch_20200928-180823_117,XTyq-A9R9
tch_20200928-180823_118,Kqvs-Kwrp
tch_20200928-180823_119,Aq7t-wWBN
tch_20200928-180823_120,43ez-3X89
tch_20200928-180823_121,3ekv-fKtY
tch_20200928-180823_122,3437-A67C
tch_20200928-180823_123,wG6T-VW83
tch_20200928-180823_124,s2Ee-Hp6d
tch_20200928-180823_125,qwqp-K4iq
tch_20200928-180823_126,hocy-CsX4
tch_20200928-180823_127,Ckx3-K4o6
tch_20200928-180823_128,G9Wo-e8B2
tch_20200928-180823_129,93hf-yLi8
tch_20200928-180823_130,YaxM-KX7n
tch_20200928-180823_131,t6DQ-K79t
tch_20200928-180823_132,hYkA-r483
tch_20200928-180823_133,k2NG-jc6D
tch_20200928-180823_134,2BdQ-AksF
tch_20200928-180823_135,KYsy-68EM
tch_20200928-180823_136,jZN6-NwQy
tch_20200928-180823_137,PsbK-63jM
tch_20200928-180823_138,LCPC-ayu9
tch_20200928-180823_139,6Ctv-s6eV
tch_20200928-180823_140,bEKG-QbXW
tch_20200928-180823_141,v82k-sCxB
tch_20200928-180823_142,94Ed-87p6
tch_20200928-180823_143,KVG8-2Ngr
tch_20200928-180823_144,W2NR-UY64
tch_20200928-180823_145,9bH4-uwj4
tch_20200928-180823_146,vDuB-92e6
tch_20200928-180823_147,3sq8-yBy3
tch_20200928-180823_148,3oX2-osw8
tch_20200928-180823_149,ghzi-2Toy
tch_20200928-180823_150,VUho-av8j
