stdextid,groupid,tchextid
std_1594879511363_1,a35ee9d3-438f-4cfc-b801-c057b9220b47,tch_20200716-113153_1
std_1594879537762_2,60522040-adb3-41a1-82fe-a1791a6559e2,tch_20200716-113153_2
std_1594879470925_1,f2391d78-819a-419a-99fd-9f9e8c951a12,tch_20200716-113153_1
std_1594879557348_3,c682d8a0-bd78-48d8-979f-a83f47099b4e,tch_20200716-113153_3
std_1594879490238_2,f8927c46-6312-4b75-a382-cda7c34dcf8d,tch_20200716-113153_2
std_1594879422027_1,cc3d6e96-82cc-4df0-bcf3-55090eb50988,tch_20200716-113153_1
std_1594879579028_4,87d4d631-e13e-4c50-99ba-cc6e163e0263,tch_20200716-113153_4
std_1594879369796_1,456fecd7-50c6-4532-b44d-2fb09044f2c5,tch_20200716-113153_1
std_1594879508609_3,9caac570-1c1f-4af7-aff8-b041819839b0,tch_20200716-113153_3
std_1594879442760_2,5b4f403a-c174-4db6-8b16-78255c0bb008,tch_20200716-113153_2
std_1594879595507_5,b1e002af-4559-4807-a84c-2fedd65fa0a9,tch_20200716-113153_5
std_1594879533677_4,01a0ad55-9c2b-4288-8b87-09791ce346a4,tch_20200716-113153_4
std_1594879457729_3,d0fd79de-516a-475b-aef7-eef789e2af66,tch_20200716-113153_3
std_1594879389221_2,9f638bad-b954-4ba4-bdb7-61582563a572,tch_20200716-113153_2
std_1594879623164_6,4f91bf6d-4e1e-42d7-b4c3-646eefd14232,tch_20200716-113153_6
std_1594879545598_5,1471e4d1-ad85-4d9d-953b-51e6c7b1c993,tch_20200716-113153_5
std_1594879481629_4,8cab3d80-0201-4ed0-afa1-4660a96090d8,tch_20200716-113153_4
std_1594879639399_7,07cdb008-b4f6-4c00-922b-737c27ef7ac7,tch_20200716-113153_7
std_1594879412075_3,8b28097e-ad73-41e7-994f-e1d130dcb7fb,tch_20200716-113153_3
std_1594879573491_6,8792cd63-97ff-44fb-9ad3-f6e06587757b,tch_20200716-113153_6
std_1594879498863_5,e85ed56d-0b5e-46f2-9d94-5f4320516eea,tch_20200716-113153_5
std_1594879650690_8,3a258755-e7c1-45cd-95cd-7d599926a8f5,tch_20200716-113153_8
std_1594879433805_4,6d1cfb67-9738-4435-90ea-ab112122ed8d,tch_20200716-113153_4
std_1594879593732_7,aa5970ad-f40f-4502-9b69-b4911116e50a,tch_20200716-113153_7
std_1594879670118_9,ea4948b9-0a35-4224-8206-05995964131a,tch_20200716-113153_9
std_1594879521016_6,d9ad33a4-9961-4b2b-8a26-e0fa2e8fec32,tch_20200716-113153_6
std_1594879451499_5,15e36c0b-376e-4b20-baaf-5b7ff95fa408,tch_20200716-113153_5
std_1594879608206_8,d94d5fbc-65b0-48f7-99c8-2626d2efb1f5,tch_20200716-113153_8
std_1594879544139_7,94625ee0-ee5a-4a29-999b-3864222dcef6,tch_20200716-113153_7
std_1594879623179_9,4842d4c0-36d0-4ff9-aa0b-51facbd361bd,tch_20200716-113153_9
std_1594879474631_6,48d11bed-5633-4e24-a156-e9b5e6af25b0,tch_20200716-113153_6
std_1594879701054_10,bb8804f6-6015-4f09-924d-2a37bd5202d4,tch_20200716-113153_10
std_1594879561805_8,95646f93-ec32-4da6-91d6-8a3b8cfd0634,tch_20200716-113153_8
std_1594879494129_7,3016c0d8-f727-4157-bce2-00a5211be822,tch_20200716-113153_7
std_1594879577837_9,cb52ceb9-a1f4-4d87-89c0-5d55bccc6b8f,tch_20200716-113153_9
std_1594879650164_10,0d8144ed-15a8-48e8-8e34-e11dc36472e1,tch_20200716-113153_10
std_1594879729942_11,0177bd5e-2237-4866-857e-48ccc5e8ab75,tch_20200716-113153_11
std_1594879515210_8,5a1d575e-b985-4f4f-90ff-2c0df9694151,tch_20200716-113153_8
std_1594879742137_12,27cbee26-8b63-4bc1-80d8-b5dabf66edeb,tch_20200716-113153_12
std_1594879596938_10,251e4dd5-d05d-47d9-839c-041d754cfab6,tch_20200716-113153_10
std_1594879529492_9,a73d03e2-5621-46de-be2c-f8014b0baa8a,tch_20200716-113153_9
std_1594879677537_11,1fcfb5bc-0824-44ce-9c83-64a453b4c960,tch_20200716-113153_11
std_1594879761476_13,0eca4436-5753-4a9b-b30b-b73a8efe2862,tch_20200716-113153_13
std_1594879691108_12,c8d32c5f-1b66-4c6c-a827-5eb02d9221b0,tch_20200716-113153_12
std_1594879552450_10,33816291-12e4-4a9c-b33d-35026baff204,tch_20200716-113153_10
std_1594879629575_11,7385c5ea-2154-48e2-ba8b-30425a8e5069,tch_20200716-113153_11
std_1594879787260_14,cbb3f94a-a456-48de-81f0-ceac583b8e09,tch_20200716-113153_14
std_1594879716881_13,40dd219a-017a-4a7c-a0b9-147373957145,tch_20200716-113153_13
std_1594879646298_12,67af7ab0-7d02-4d87-a1c9-345e423bd036,tch_20200716-113153_12
std_1594879574839_11,83511f0b-c7d2-4d92-85e7-58afa9ddc3c1,tch_20200716-113153_11
std_1594879801427_15,90b00b31-f76d-4f8e-94c5-2a4125d63f2d,tch_20200716-113153_15
std_1594879665084_13,3639ac12-820d-4166-ac4c-067072107715,tch_20200716-113153_13
std_1594879741330_14,b7f82935-d07f-4ad6-a5d6-36932ed33d9d,tch_20200716-113153_14
std_1594879595176_12,ab97a4a5-9e36-46b0-a30b-9d9299f47e94,tch_20200716-113153_12
std_1594879819121_16,5529f012-1078-4676-8d25-2426e3c8f730,tch_20200716-113153_16
std_1594879686683_14,70406099-a273-4733-afed-84b7fb1cbdd3,tch_20200716-113153_14
std_1594879754270_15,e90ae6fa-eddd-487e-8c74-2503c1d14e8c,tch_20200716-113153_15
std_1594879612352_13,fcbaf799-8135-4d08-91f9-632b35a72131,tch_20200716-113153_13
std_1594879842046_17,45713611-5aa5-4e72-b17e-1cc9c208d984,tch_20200716-113153_17
std_1594879770571_16,2811e10f-2e4f-48d0-9253-e40d684cd440,tch_20200716-113153_16
std_1594879789433_17,cbedeb86-ce1d-4a94-a876-1dfe55f4c0fa,tch_20200716-113153_17
std_1594879708956_15,c1ab6b8d-b9e1-4b40-b403-289f8967b23b,tch_20200716-113153_15
std_1594879864798_18,123fc9a0-6317-4c0e-9de9-b51c2f37e9e9,tch_20200716-113153_18
std_1594879637581_14,d4b8d727-e02c-41c8-9b7f-2be14c013f35,tch_20200716-113153_14
std_1594879721845_16,b1f50ac9-c95e-49a2-ad85-9d5f5a6f2425,tch_20200716-113153_16
std_1594879882283_19,9eabaa61-2014-4ee0-abe7-c43c210ef0d6,tch_20200716-113153_19
std_1594879744148_17,c90916cd-7f5d-4cab-ac04-1f59fcd46309,tch_20200716-113153_17
std_1594879811220_18,d3545911-bf4f-467b-a423-587ce1134969,tch_20200716-113153_18
std_1594879658266_15,05136e7a-28e4-4d5e-8d63-d37e576efeae,tch_20200716-113153_15
std_1594879898599_20,1a8fca48-7c4e-4699-af49-360d7372971b,tch_20200716-113153_20
std_1594879670576_16,1f9348ea-480b-434d-aa1d-987cb0c9fbb1,tch_20200716-113153_16
std_1594879831804_19,486c9230-4fa6-4263-b65a-dfa8e8f3549a,tch_20200716-113153_19
std_1594879693670_17,faa8304e-4f6d-40b5-83fa-c3fe11e46a2e,tch_20200716-113153_17
std_1594879854370_20,8780aee5-14ab-4f2b-8f07-3d431e0ca625,tch_20200716-113153_20
std_1594879762028_18,61151be9-575e-430b-a156-de913eff32eb,tch_20200716-113153_18
std_1594879932472_21,8d1ac4ee-3b29-4700-a424-af683b2bca6a,tch_20200716-113153_21
std_1594879779893_19,21817183-e128-4df0-a972-c955bc560219,tch_20200716-113153_19
std_1594879710013_18,88053cb5-4fd6-48cf-bf46-15edd27937dd,tch_20200716-113153_18
std_1594879805376_20,42cb0fb6-fbff-425e-a7dc-1383b44887f7,tch_20200716-113153_20
std_1594879873659_21,27269ab0-aea7-44a4-949f-fc0ffc01406a,tch_20200716-113153_21
std_1594879731891_19,4cb7aac0-0020-47ee-8859-fb31012cf874,tch_20200716-113153_19
std_1594879965304_23,9e33f87a-70e7-4528-b62d-b11fb91be800,tch_20200716-113153_23
std_1594879977326_22,c9eac6db-06a7-4d3c-bd05-d59032a4ea39,tch_20200716-113153_22
std_1594879756838_20,d0250140-ce48-4e5b-8c44-4253c00b7310,tch_20200716-113153_20
std_1594879822079_21,2b9340bb-c362-4f7e-bb07-649d92ebe127,tch_20200716-113153_21
std_1594879986599_24,9fe407d2-e799-4168-8161-8cf2a9370180,tch_20200716-113153_24
std_1594879916631_23,a65c1c5c-abd7-4ccb-b81f-402753c08b37,tch_20200716-113153_23
std_1594879926042_22,c5ba5a55-5f41-4819-8bd9-5b95889facba,tch_20200716-113153_22
std_1594879774058_21,2458354b-fd37-4f09-a596-2a2c87e2f89b,tch_20200716-113153_21
std_1594879938004_24,af83d7d5-6203-452e-923b-8b259e0139fb,tch_20200716-113153_24
std_1594879862442_23,f1cfbbc6-f88b-4ac8-a575-0c9ca45e79bd,tch_20200716-113153_23
std_1594879849001_22,b202c4e3-bb9f-460a-ac91-bf2b7e263d34,tch_20200716-113153_22
std_1594880024495_25,f468f769-4702-4bbe-887d-253a891b6696,tch_20200716-113153_25
std_1594879886865_24,7bc26e8f-16b9-4687-91ca-7e9bef992bc8,tch_20200716-113153_24
std_1594880038314_26,82d9511e-a363-4abf-90a0-59e0a566a022,tch_20200716-113153_26
std_1594879816349_23,88d51801-9ceb-4ad9-a0fa-31046a928f40,tch_20200716-113153_23
std_1594879800746_22,123c70b3-bef6-4e73-99b2-6c006da09ac6,tch_20200716-113153_22
std_1594879972970_25,e38f6e8e-fb06-4cfc-829e-0c611ec4e13d,tch_20200716-113153_25
std_1594879834689_24,33a7abf3-f9f1-4f2b-96ba-49e6f623cb78,tch_20200716-113153_24
std_1594879986146_26,a73c33f6-8150-4c79-953b-03800a03b817,tch_20200716-113153_26
std_1594880071033_28,a235e7e8-d71b-482b-acaa-3cd3e5187bff,tch_20200716-113153_28
std_1594880068197_27,a42248c2-4e3b-45ba-9df9-d732c2cd566f,tch_20200716-113153_27
std_1594879922784_25,f3492b2b-76bc-4f9f-ad45-6832a9a3b347,tch_20200716-113153_25
std_1594880024053_28,0f408383-3cb9-430b-9dde-9283d62df735,tch_20200716-113153_28
std_1594879937875_26,3cab09f4-2894-4d2c-8372-1ff6637c1e94,tch_20200716-113153_26
std_1594880095553_29,0feb2c14-fbec-4f68-944d-eb71edcfd098,tch_20200716-113153_29
std_1594880100347_30,5d2123c5-09ef-4efa-b8af-00a5e6b6e510,tch_20200716-113153_30
std_1594880018918_27,ca68c9ba-b105-4636-9b44-996679c90529,tch_20200716-113153_27
std_1594879859405_25,8187ccab-19fa-46a5-a091-b5b064cf910c,tch_20200716-113153_25
std_1594879974127_28,ccabb7c9-e0e1-4bc0-aec3-557c83d6b91d,tch_20200716-113153_28
std_1594879880246_26,5e39ae64-2cee-44f8-b65c-f8593893abe1,tch_20200716-113153_26
std_1594880119379_31,3bb396c5-95bf-4463-ae43-ebf1494e5f7b,tch_20200716-113153_31
std_1594880040688_29,f17c30de-4084-40f4-87a6-e006b6e0b102,tch_20200716-113153_29
std_1594880053148_30,6fb33f71-3733-4781-b948-1aff0810c628,tch_20200716-113153_30
std_1594879966860_27,39a324ee-7bfc-4884-8734-a646b8798413,tch_20200716-113153_27
std_1594880142854_32,e38a2be4-82a5-4a99-985f-3e8f96a74fea,tch_20200716-113153_32
std_1594879924804_28,ac1f9002-d23b-4f40-bd27-bfdee6b29245,tch_20200716-113153_28
std_1594880070280_31,5ee909dd-1837-497a-a1a6-44b1a5a46376,tch_20200716-113153_31
std_1594879991975_29,16babf65-00e4-455f-9a60-2b31e3004b5c,tch_20200716-113153_29
std_1594879913216_27,ab4dae7f-d28b-4551-abac-c5e6292343bc,tch_20200716-113153_27
std_1594880005076_30,79188d78-92f5-4ec8-892e-89add1c2a8b4,tch_20200716-113153_30
std_1594880095749_32,fe610587-7720-4005-9f1f-8dd02f5e62b5,tch_20200716-113153_32
std_1594880023974_31,3cf8a71a-c496-4391-b899-f4ba9fc726ee,tch_20200716-113153_31
std_1594880170625_33,b6748e0b-d723-4ff3-9767-271562caf5af,tch_20200716-113153_33
std_1594879943019_29,b1dde196-63a2-4194-89c4-1234ddac3032,tch_20200716-113153_29
std_1594879951331_30,1e20f1d5-8870-4a91-972f-5e56f2552c24,tch_20200716-113153_30
std_1594880183944_34,bf6425d4-d34d-4532-a9e7-39812e484fd5,tch_20200716-113153_34
std_1594880051080_32,f54ce4af-71db-4a76-8694-d34246b8182f,tch_20200716-113153_32
std_1594879978835_31,252e745f-1974-4c84-8210-830bb3e3b836,tch_20200716-113153_31
std_1594880114807_33,5b2d29fe-f1d7-4ae2-9478-ceaa707adbb6,tch_20200716-113153_33
std_1594880200725_35,05b7e684-33f2-440d-bf22-3f874e3b79e2,tch_20200716-113153_35
std_1594880132396_34,664f67c4-ac7c-4e11-a2ce-bb6e755bbd8d,tch_20200716-113153_34
std_1594879995193_32,582bfb35-bcde-4ce0-b0fd-3b68beec6f85,tch_20200716-113153_32
std_1594880068704_33,dd4c503b-37a0-40de-9a1d-7dca7da84f81,tch_20200716-113153_33
std_1594880151576_35,d6c5554b-a68b-4b1e-aec4-0382d1bdc272,tch_20200716-113153_35
std_1594880085993_34,1377b0b1-ba45-4e5e-9d5a-4c87afe7e5e0,tch_20200716-113153_34
std_1594880018050_33,815c96f7-a308-469c-8154-f5c16508abd1,tch_20200716-113153_33
std_1594880103605_35,74130d63-3b8f-4d40-84c6-e5eabf897cf0,tch_20200716-113153_35
std_1594880038881_34,52fcb08d-eb65-4565-bf02-c5132e1710d7,tch_20200716-113153_34
std_1594880059135_35,1635fd1b-ec1d-467b-908c-1ed27a950ef3,tch_20200716-113153_35
