stdextid,grpid,tchextid
std_1601296934043_2,513f840c-01c7-4f0d-b968-b20ae2215df0,tch_20200928-180823_2
std_1601296955979_3,8e150f2f-7028-4db4-b9a0-c7b96f8dbe75,tch_20200928-180823_3
std_1601296877751_2,c9cfb85f-4bf2-4963-9825-5b05845e495a,tch_20200928-180823_2
std_1601296978492_4,0c217486-f3cd-422d-89a8-4b3987107602,tch_20200928-180823_4
std_1601296911803_3,d9d5c955-0c4d-4981-b2a9-362531d04909,tch_20200928-180823_3
std_1601296829520_2,9ea11480-a1b6-4e31-b88b-8a2c63ddcf33,tch_20200928-180823_2
std_1601297006101_5,c49f1fa1-447f-437a-9158-c2b4046a3a47,tch_20200928-180823_5
std_1601296930609_4,7761cb92-f111-41ca-b4c9-5ebb0733b126,tch_20200928-180823_4
std_1601296861502_3,875ad042-b357-4c55-95cc-ba8cfe1923c1,tch_20200928-180823_3
std_1601296782209_2,933cc311-179e-4c07-9bbd-dfb1f2510fc8,tch_20200928-180823_2
std_1601297029394_6,782b3fa8-1572-4297-a0b3-86f36f1cd68a,tch_20200928-180823_6
std_1601296956172_5,46db7eca-206c-4e8f-9976-9d3cba5ec08e,tch_20200928-180823_5
std_1601296882840_4,96057cdc-ada5-4a2d-832b-6fcd7b24337b,tch_20200928-180823_4
std_1601296809293_3,aa7047c3-e869-4c24-94ff-cdb839444980,tch_20200928-180823_3
std_1601296979662_6,386bdf29-4433-4b92-8737-e6aee414d108,tch_20200928-180823_6
std_1601296833957_4,895624ff-3a20-4c45-ac58-907b934f31b2,tch_20200928-180823_4
std_1601296906157_5,d4a65aea-c170-4853-b01e-1038b6b100d3,tch_20200928-180823_5
std_1601297059669_7,7ab2ad97-136e-420d-8163-06f1c9bc320b,tch_20200928-180823_7
std_1601297080840_8,dd1f1b87-e675-4c17-b09e-aa5461229d52,tch_20200928-180823_8
std_1601296932874_6,33e32e3a-e5d3-4054-a25e-7f171ed37be8,tch_20200928-180823_6
std_1601296855632_5,04e7ea4b-25a2-4cc4-98fb-67fe34c71f9a,tch_20200928-180823_5
std_1601297007954_7,b66639af-ed6d-447c-8194-d56232ccac83,tch_20200928-180823_7
std_1601297103956_9,d5f382d5-f9ab-4b74-9403-e152047772c2,tch_20200928-180823_9
std_1601297036492_8,2c7170d5-fc69-4ed3-8788-09a21e649b9a,tch_20200928-180823_8
std_1601296881170_6,8f206249-d97d-4497-b6b8-5d3421394766,tch_20200928-180823_6
std_1601296957318_7,3a90dd97-a899-48f5-8ebe-657732d9d62e,tch_20200928-180823_7
std_1601297053524_9,7bb8ed74-4141-43e5-8804-ff93392a5bde,tch_20200928-180823_9
std_1601296983030_8,c8ecd1ed-adf7-407c-96db-d19aab39d8f6,tch_20200928-180823_8
std_1601297127176_10,f458a8e0-a149-4402-85c9-b768db97c13a,tch_20200928-180823_10
std_1601296910790_7,22af7998-b30a-451b-8df5-c7cfce8e0d14,tch_20200928-180823_7
std_1601297149053_11,fa960433-8c3e-4189-b6ea-f2e2a2051013,tch_20200928-180823_11
std_1601296934185_8,7e3e26bb-93cc-42cb-b43b-11be77518403,tch_20200928-180823_8
std_1601297004051_9,02523132-1bbf-4d42-920f-31ea0651a965,tch_20200928-180823_9
std_1601297077004_10,8b830b84-1e8f-4b9e-b5eb-305d04451318,tch_20200928-180823_10
std_1601297172163_12,fff5aee3-9342-4efb-aebc-4b0815793391,tch_20200928-180823_12
std_1601297100848_11,5580a728-985d-45fe-8498-8e705509aedc,tch_20200928-180823_11
std_1601296954956_9,c44a28ea-5daf-4f02-a6a4-8255969dd2a9,tch_20200928-180823_9
std_1601297022093_10,c23554ef-1925-4807-a965-40b5124a03ca,tch_20200928-180823_10
std_1601297125276_12,30599602-f661-410d-a546-7e7125020393,tch_20200928-180823_12
std_1601297051207_11,4c2fc4e0-9d64-4985-bda6-93a573ddba4e,tch_20200928-180823_11
std_1601297203790_13,5f18c7f1-6238-4be9-8e77-b68d30eeca53,tch_20200928-180823_13
std_1601296976880_10,67456ef5-3683-4822-8fe4-c4a0531e2395,tch_20200928-180823_10
std_1601297224676_14,a7e0ced5-4d2b-4278-bf04-3b974eb0463b,tch_20200928-180823_14
std_1601297073216_12,0ccbdeea-e4ff-4965-abe1-91ee0a97b473,tch_20200928-180823_12
std_1601296998304_11,4a6fb6d3-eb01-4124-9be1-508cc319276c,tch_20200928-180823_11
std_1601297154752_13,2b7607a0-6964-44ac-a243-bcc9603b425a,tch_20200928-180823_13
std_1601297176691_14,98537e16-d648-43ec-acbc-5ed6cf321542,tch_20200928-180823_14
std_1601297252535_15,f3bc2ab4-b5a9-419f-84c7-4b1c0eea8ce6,tch_20200928-180823_15
std_1601297025758_12,8491267d-7942-4040-86e9-772e7d937a91,tch_20200928-180823_12
std_1601297105949_13,53b6657d-eeec-4e93-ae8a-716693f861ca,tch_20200928-180823_13
std_1601297273345_16,8c9e2a1e-a54a-4884-9085-d169cdf134cd,tch_20200928-180823_16
std_1601297127885_14,94cb8f01-81f9-4323-a0d5-83b39ff68c9b,tch_20200928-180823_14
std_1601297205893_15,fdcfe74b-a5fd-4b45-bcf1-c24309532fe8,tch_20200928-180823_15
std_1601297052395_13,f9cc9a0a-a465-4c6b-986d-9b531dc83f62,tch_20200928-180823_13
std_1601297299935_17,35d2999d-88a7-486c-b41e-a8aa542f6769,tch_20200928-180823_17
std_1601297079154_14,4ef12873-7cee-4a4a-bb29-d28867cf2dd5,tch_20200928-180823_14
std_1601297222244_16,2fdf1d33-6dbd-48f5-8f9c-da7f24c46ccb,tch_20200928-180823_16
std_1601297152318_15,d107da6d-f90c-45b0-9ea8-a6c47bc71395,tch_20200928-180823_15
std_1601297248747_17,a64605b8-0011-43b3-89df-8593eb8f5ac4,tch_20200928-180823_17
std_1601297327169_18,58cee6f1-c655-4117-8013-652c92f8a1b7,tch_20200928-180823_18
