tchextuserid,class Title,class Code,category
tch_20230731-110048_1,class_20230731-110048_1,JDnu-3N6y,3B8PE
tch_20230731-110048_2,class_20230731-110048_2,c4vK-P73L,3B8PE
tch_20230731-110048_3,class_20230731-110048_3,nHgH-3uWA,3B8PE
tch_20230731-110048_4,class_20230731-110048_4,Qb43-8Xdb,3B8PE
tch_20230731-110048_5,class_20230731-110048_5,6mDP-sBK9,3B8PE
tch_20230731-110048_6,class_20230731-110048_6,v3Gk-Q724,3B8PE
tch_20230731-110048_7,class_20230731-110048_7,6726-oD7d,3B8PE
tch_20230731-110048_9,class_20230731-110048_9,V3UP-pX6B,3B8PE
tch_20230731-110048_10,class_20230731-110048_10,RwFi-E7iQ,3B8PE
tch_20230731-110048_8,class_20230731-110048_8,atCT-BYny,3B8PE
tch_20230731-110048_11,class_20230731-110048_11,t47C-3keC,3B8PE
tch_20230731-110048_12,class_20230731-110048_12,6izs-EN9Z,3B8PE
tch_20230731-110048_13,class_20230731-110048_13,8C9x-HKfs,3B8PE
tch_20230731-110048_14,class_20230731-110048_14,UvU9-7oa4,3B8PE
tch_20230731-110048_15,class_20230731-110048_15,8Dd6-Xo6n,3B8PE
tch_20230731-110048_16,class_20230731-110048_16,42eg-7g8U,3B8PE
tch_20230731-110048_17,class_20230731-110048_17,x7jm-2Gm8,3B8PE
tch_20230731-110048_18,class_20230731-110048_18,JhfC-yVEy,3B8PE
tch_20230731-110048_19,class_20230731-110048_19,wRz8-hPt8,3B8PE
tch_20230731-110048_20,class_20230731-110048_20,DkbA-4Fjd,3B8PE
tch_20230731-110048_21,class_20230731-110048_21,9mh9-UFRZ,3B8PE
tch_20230731-110048_22,class_20230731-110048_22,27h3-g9Lg,3B8PE
tch_20230731-110048_24,class_20230731-110048_24,C8D7-Jdrv,3B8PE
tch_20230731-110048_23,class_20230731-110048_23,HAw2-pRX4,3B8PE
tch_20230731-110048_25,class_20230731-110048_25,Aswx-Kb3k,3B8PE
tch_20230731-110048_26,class_20230731-110048_26,nYBN-9z9A,3B8PE
tch_20230731-110048_27,class_20230731-110048_27,74pb-28J3,3B8PE
tch_20230731-110048_28,class_20230731-110048_28,qTgP-Vyiw,3B8PE
tch_20230731-110048_29,class_20230731-110048_29,X3BC-9K2e,3B8PE
tch_20230731-110048_30,class_20230731-110048_30,L86Q-B92a,3B8PE
tch_20230731-110048_31,class_20230731-110048_31,8DqP-W9q7,3B8PE
tch_20230731-110048_33,class_20230731-110048_33,Fd7J-wt8x,3B8PE
tch_20230731-110048_32,class_20230731-110048_32,8d8z-UD7d,3B8PE
tch_20230731-110048_34,class_20230731-110048_34,Y3xo-MZND,3B8PE
tch_20230731-110048_35,class_20230731-110048_35,H7fa-D8UX,3B8PE
tch_20230731-110048_36,class_20230731-110048_36,rz8V-et7w,3B8PE
tch_20230731-110048_37,class_20230731-110048_37,cU98-GUay,3B8PE
tch_20230731-110048_38,class_20230731-110048_38,Y2oU-4h2N,3B8PE
tch_20230731-110048_40,class_20230731-110048_40,cKLg-oEQe,3B8PE
tch_20230731-110048_39,class_20230731-110048_39,KhoJ-7DtY,3B8PE
tch_20230731-110048_41,class_20230731-110048_41,7ZJ3-GisT,3B8PE
tch_20230731-110048_42,class_20230731-110048_42,Eb74-wvkR,3B8PE
tch_20230731-110048_43,class_20230731-110048_43,oLz7-JHAN,3B8PE
tch_20230731-110048_44,class_20230731-110048_44,4jsV-Ky42,3B8PE
tch_20230731-110048_45,class_20230731-110048_45,9bR8-KdmD,3B8PE
tch_20230731-110048_46,class_20230731-110048_46,tAu7-hg3k,3B8PE
tch_20230731-110048_47,class_20230731-110048_47,46co-MG6s,3B8PE
tch_20230731-110048_48,class_20230731-110048_48,dBUL-PRXw,3B8PE
tch_20230731-110048_49,class_20230731-110048_49,2oPB-3e8b,3B8PE
