tchextuserid,class Title,class Code,category
tch_20230901-111239_1,class_20230901-111239_1,TbUB-hgmr,2B15PE
tch_20230901-111239_4,class_20230901-111239_4,m64a-i9Kt,2B15PE
tch_20230901-111239_2,class_20230901-111239_2,FNxR-oF6n,2B15PE
tch_20230901-111239_3,class_20230901-111239_3,W7zv-8794,2B15PE
tch_20230901-111239_6,class_20230901-111239_6,ETFa-METi,3B15PE
tch_20230901-111239_5,class_20230901-111239_5,TH8i-zn4E,2B15PE
tch_20230901-111239_8,class_20230901-111239_8,B7P7-yRqt,3B15PE
tch_20230901-111239_7,class_20230901-111239_7,dJMF-sn43,3B15PE
tch_20230901-111239_13,class_20230901-111239_13,U4qW-e9R3,3B15PE
tch_20230901-111239_9,class_20230901-111239_9,86Hg-niBQ,3B15PE
tch_20230901-111239_10,class_20230901-111239_10,ZBmF-pWM6,3B15PE
tch_20230901-111239_11,class_20230901-111239_11,hWU7-JraY,3B15PE
tch_20230901-111239_15,class_20230901-111239_15,364m-c7Fv,3B15PE
tch_20230901-111239_12,class_20230901-111239_12,kYfm-edy2,3B15PE
tch_20230901-111239_14,class_20230901-111239_14,o9n4-vPJA,3B15PE
tch_20230901-111239_16,class_20230901-111239_16,EMXA-RpoK,2B15PE
tch_20230901-111239_18,class_20230901-111239_18,Umqi-m6CL,2B15PE
tch_20230901-111239_17,class_20230901-111239_17,EG2H-DiKo,2B15PE
tch_20230901-111239_19,class_20230901-111239_19,etK9-3MCg,2B15PE
tch_20230901-111239_22,class_20230901-111239_22,ND2o-2DAY,2B15PE
tch_20230901-111239_20,class_20230901-111239_20,QHX4-6Efk,2B15PE
tch_20230901-111239_23,class_20230901-111239_23,9K6e-LMb7,2B15PE
tch_20230901-111239_24,class_20230901-111239_24,2RuJ-4JBG,2B15PE
tch_20230901-111239_21,class_20230901-111239_21,jGXJ-r4a8,2B15PE
tch_20230901-111239_25,class_20230901-111239_25,W6YD-iX4e,2B15PE
tch_20230901-111239_26,class_20230901-111239_26,36be-y6Dt,2B15PE
tch_20230901-111239_27,class_20230901-111239_27,wQb9-2VBa,2B15PE
tch_20230901-111239_28,class_20230901-111239_28,28cX-KUxd,2B15PE
tch_20230901-111239_31,class_20230901-111239_31,943o-gZdc,3B10PE
tch_20230901-111239_33,class_20230901-111239_33,82ai-XmHW,3B10PE
tch_20230901-111239_29,class_20230901-111239_29,tyGs-r63i,2B15PE
tch_20230901-111239_30,class_20230901-111239_30,gRD9-Ds2Z,2B15PE
tch_20230901-111239_34,class_20230901-111239_34,wHf9-m7zn,3B10PE
tch_20230901-111239_35,class_20230901-111239_35,xTGj-rBf2,3B10PE
tch_20230901-111239_32,class_20230901-111239_32,R2Qk-3WC9,3B10PE
tch_20230901-111239_36,class_20230901-111239_36,zLYk-i8xQ,3B10PE
tch_20230901-111239_37,class_20230901-111239_37,HWTA-fiHu,3B10PE
tch_20230901-111239_38,class_20230901-111239_38,A4Bm-79Ku,3B10PE
tch_20230901-111239_39,class_20230901-111239_39,rLFU-t9pn,3B10PE
tch_20230901-111239_42,class_20230901-111239_42,H4gw-YdCD,3B8PE
tch_20230901-111239_41,class_20230901-111239_41,WnaA-Pek4,3B8PE
tch_20230901-111239_40,class_20230901-111239_40,UD3t-27kQ,3B10PE
tch_20230901-111239_43,class_20230901-111239_43,McPe-7v2x,3B8PE
tch_20230901-111239_44,class_20230901-111239_44,4k4H-Ytby,3B8PE
tch_20230901-111239_45,class_20230901-111239_45,g9pY-Ff2M,3B8PE
tch_20230901-111239_46,class_20230901-111239_46,Q6rX-9jw7,3B8PE
tch_20230901-111239_48,class_20230901-111239_48,3m26-u2Hj,3B8PE
tch_20230901-111239_47,class_20230901-111239_47,A6MW-empB,3B8PE
tch_20230901-111239_50,class_20230901-111239_50,KR4V-898w,3B8PE
tch_20230901-111239_49,class_20230901-111239_49,vygv-73bJ,3B8PE
tch_20230901-111239_51,class_20230901-111239_51,FMjb-ctmj,3B8PE
tch_20230901-111239_53,class_20230901-111239_53,WsGh-RPYR,3B8PE
tch_20230901-111239_54,class_20230901-111239_54,bRFq-PDfh,3B8PE
tch_20230901-111239_52,class_20230901-111239_52,WXot-w62F,3B8PE
tch_20230901-111239_57,class_20230901-111239_57,MGDb-wKyo,3B8PE
tch_20230901-111239_58,class_20230901-111239_58,4xt3-psTf,3B8PE
tch_20230901-111239_55,class_20230901-111239_55,92RA-GRQm,3B8PE
tch_20230901-111239_56,class_20230901-111239_56,Dy8C-sG9j,3B8PE
tch_20230901-111239_59,class_20230901-111239_59,QUa3-stzH,3B8PE
tch_20230901-111239_60,class_20230901-111239_60,Lje9-oVW6,3B8PE
tch_20230901-111239_62,class_20230901-111239_62,Yr7U-Qi9B,3B8PE
tch_20230901-111239_61,class_20230901-111239_61,c2C9-rur2,3B8PE
tch_20230901-111239_63,class_20230901-111239_63,E4sH-4z8Y,3B8PE
tch_20230901-111239_67,class_20230901-111239_67,dyHx-uh3U,3B8PE
tch_20230901-111239_64,class_20230901-111239_64,gY42-Rzg3,3B8PE
tch_20230901-111239_66,class_20230901-111239_66,9H3m-CK69,3B8PE
tch_20230901-111239_65,class_20230901-111239_65,PNjv-VDHh,3B8PE
tch_20230901-111239_69,class_20230901-111239_69,FJ34-9RTs,3B8PE
tch_20230901-111239_68,class_20230901-111239_68,NH48-4qEy,3B8PE
tch_20230901-111239_74,class_20230901-111239_74,4f6Q-9uj7,3B8PE
tch_20230901-111239_70,class_20230901-111239_70,qQU6-Y4Kd,3B8PE
tch_20230901-111239_72,class_20230901-111239_72,ZW97-a2bF,3B8PE
tch_20230901-111239_75,class_20230901-111239_75,W47i-asyZ,3B8PE
tch_20230901-111239_71,class_20230901-111239_71,uxJU-9nVy,3B8PE
tch_20230901-111239_73,class_20230901-111239_73,H946-sfa2,3B8PE
tch_20230901-111239_76,class_20230901-111239_76,6vM6-QvC7,3B8PE
tch_20230901-111239_78,class_20230901-111239_78,wm9h-4X8V,3B8PE
tch_20230901-111239_77,class_20230901-111239_77,yZ9G-f9rk,3B8PE
tch_20230901-111239_79,class_20230901-111239_79,pXEi-3hFN,3B8PE
tch_20230901-111239_81,class_20230901-111239_81,2xB7-E9Xk,3B8PE
tch_20230901-111239_84,class_20230901-111239_84,kiE7-ygZ7,3B8PE
tch_20230901-111239_83,class_20230901-111239_83,2cRC-V82e,3B8PE
tch_20230901-111239_82,class_20230901-111239_82,Rk3M-bpZr,3B8PE
tch_20230901-111239_80,class_20230901-111239_80,ZpQR-P9r6,3B8PE
tch_20230901-111239_86,class_20230901-111239_86,m3vM-VjLq,3B8PE
tch_20230901-111239_85,class_20230901-111239_85,NfDm-VH8w,3B8PE
tch_20230901-111239_88,class_20230901-111239_88,wv2v-xe3H,3B8PE
tch_20230901-111239_89,class_20230901-111239_89,EF6g-47mQ,3B8PE
tch_20230901-111239_90,class_20230901-111239_90,AirV-Le27,3B8PE
tch_20230901-111239_87,class_20230901-111239_87,Kfp3-mC9i,3B8PE
tch_20230901-111239_92,class_20230901-111239_92,RfwP-BcU4,3B8PE
tch_20230901-111239_93,class_20230901-111239_93,Cvs8-DZfA,3B8PE
tch_20230901-111239_94,class_20230901-111239_94,B97o-m6d8,3B8PE
tch_20230901-111239_91,class_20230901-111239_91,7nh9-6ve9,3B8PE
