tchextuserid,class Title,class Code,category
tch_20230828-080333_67,class_20230828-080333_67,isUE-aeBc,3B15PE
tch_20230828-080333_68,class_20230828-080333_68,mxDh-uMe7,3B15PE
tch_20230828-080333_69,class_20230828-080333_69,sXka-2AoD,3B15PE
tch_20230828-080333_70,class_20230828-080333_70,4w7r-K7eL,3B15PE
tch_20230828-080333_71,class_20230828-080333_71,8T6s-2G4w,3B15PE
tch_20230828-080333_72,class_20230828-080333_72,Tqy7-axk8,3B15PE
tch_20230828-080333_76,class_20230828-080333_76,L63K-L8fF,3B10PE
tch_20230828-080333_73,class_20230828-080333_73,GEhf-7uLY,3B15PE
tch_20230828-080333_77,class_20230828-080333_77,A4ih-bKPR,3B10PE
tch_20230828-080333_78,class_20230828-080333_78,AWti-Z4y7,3B10PE
tch_20230828-080333_74,class_20230828-080333_74,qtME-9JL9,3B15PE
tch_20230828-080333_79,class_20230828-080333_79,L37Q-K4hU,3B10PE
tch_20230828-080333_75,class_20230828-080333_75,B9po-6m6B,3B15PE
tch_20230828-080333_80,class_20230828-080333_80,jmaw-VhFe,3B10PE
tch_20230828-080333_81,class_20230828-080333_81,i6RA-7RJG,3B10PE
tch_20230828-080333_82,class_20230828-080333_82,d7Bp-gpHN,3B10PE
tch_20230828-080333_83,class_20230828-080333_83,jq86-JT9U,3B10PE
tch_20230828-080333_84,class_20230828-080333_84,7UC9-jFRh,3B10PE
tch_20230828-080333_85,class_20230828-080333_85,8M6s-Gv8k,3B10PE
tch_20230828-080333_86,class_20230828-080333_86,Eajs-9hnF,3B10PE
tch_20230828-080333_87,class_20230828-080333_87,eW4p-6d47,3B10PE
tch_20230828-080333_88,class_20230828-080333_88,DBD8-wLqM,3B10PE
tch_20230828-080333_89,class_20230828-080333_89,uxHu-prY8,3B10PE
tch_20230828-080333_90,class_20230828-080333_90,CibG-pdYr,3B10PE
tch_20230828-080333_91,class_20230828-080333_91,s4BN-p7xr,3B10PE
tch_20230828-080333_92,class_20230828-080333_92,9jJQ-N2zt,3B10PE
tch_20230828-080333_93,class_20230828-080333_93,kdhd-C42C,3B10PE
tch_20230828-080333_94,class_20230828-080333_94,poUH-r9Ln,3B10PE
tch_20230828-080333_95,class_20230828-080333_95,o9J8-ds3T,3B10PE
tch_20230828-080333_96,class_20230828-080333_96,EpLc-odwG,3B10PE
tch_20230828-080333_97,class_20230828-080333_97,j68W-ERG2,3B10PE
tch_20230828-080333_98,class_20230828-080333_98,LKDs-7CmD,3B10PE
tch_20230828-080333_99,class_20230828-080333_99,LdAf-tJER,3B10PE
tch_20230828-080333_100,class_20230828-080333_100,zU6G-dsnG,3B10PE
