tchextuserid,class Title,class Code,category
tch_20230825-225843_11,class_20230825-225843_11,Gdz4-owsr,3B15PE
tch_20230825-225843_12,class_20230825-225843_12,ZjE2-d9AW,3B15PE
tch_20230825-225843_13,class_20230825-225843_13,9meE-8Pg3,3B15PE
tch_20230825-225843_14,class_20230825-225843_14,LPKm-3meh,3B15PE
tch_20230825-225843_15,class_20230825-225843_15,A94d-n7Ko,3B15PE
tch_20230825-225843_16,class_20230825-225843_16,Lb7W-Rvek,3B15PE
tch_20230825-225843_21,class_20230825-225843_21,6KTP-csuR,3B10PE
tch_20230825-225843_17,class_20230825-225843_17,xUZ4-F2xT,3B15PE
tch_20230825-225843_22,class_20230825-225843_22,WMcH-2HcA,3B10PE
tch_20230825-225843_23,class_20230825-225843_23,gHfj-QY7s,3B10PE
tch_20230825-225843_18,class_20230825-225843_18,brsM-L6a4,3B15PE
tch_20230825-225843_19,class_20230825-225843_19,6Wb9-nB94,3B15PE
tch_20230825-225843_24,class_20230825-225843_24,bHPr-84e8,3B10PE
tch_20230825-225843_20,class_20230825-225843_20,hmZG-43sk,3B15PE
tch_20230825-225843_25,class_20230825-225843_25,3rfB-MQ37,3B10PE
tch_20230825-225843_26,class_20230825-225843_26,yeie-vaue,3B10PE
tch_20230825-225843_27,class_20230825-225843_27,7WT6-htjz,3B10PE
tch_20230825-225843_28,class_20230825-225843_28,Fknp-oNHZ,3B10PE
tch_20230825-225843_29,class_20230825-225843_29,7Kk7-V9BN,3B10PE
tch_20230825-225843_30,class_20230825-225843_30,2kV9-E92B,3B10PE
tch_20230825-225843_41,class_20230825-225843_41,9C4p-h868,3B8PE
tch_20230825-225843_31,class_20230825-225843_31,we37-E6o3,2B15PE
tch_20230825-225843_42,class_20230825-225843_42,68VL-djL2,3B8PE
tch_20230825-225843_32,class_20230825-225843_32,vHzj-2T3G,2B15PE
tch_20230825-225843_33,class_20230825-225843_33,NMT3-Ry4N,2B15PE
tch_20230825-225843_43,class_20230825-225843_43,PM8r-4Zka,3B8PE
tch_20230825-225843_44,class_20230825-225843_44,3ZAM-sF2D,3B8PE
tch_20230825-225843_34,class_20230825-225843_34,7D6R-i6Av,2B15PE
tch_20230825-225843_45,class_20230825-225843_45,ayk3-zH2t,3B8PE
tch_20230825-225843_46,class_20230825-225843_46,8dJH-eJ29,3B8PE
tch_20230825-225843_36,class_20230825-225843_36,FkNo-Z6JK,2B15PE
tch_20230825-225843_35,class_20230825-225843_35,7396-8VZ7,2B15PE
tch_20230825-225843_47,class_20230825-225843_47,bW3N-cbAb,3B8PE
tch_20230825-225843_37,class_20230825-225843_37,w4f6-7Tmp,2B15PE
tch_20230825-225843_38,class_20230825-225843_38,uH3j-69x2,2B15PE
tch_20230825-225843_48,class_20230825-225843_48,PYUZ-ucQf,3B8PE
tch_20230825-225843_49,class_20230825-225843_49,n6Tc-3C7j,3B8PE
tch_20230825-225843_39,class_20230825-225843_39,6xZv-3amE,2B15PE
tch_20230825-225843_50,class_20230825-225843_50,us6g-fkHv,3B8PE
tch_20230825-225843_40,class_20230825-225843_40,AmNA-PD97,2B15PE
tch_20230825-225843_51,class_20230825-225843_51,6UwW-BbY8,3B8PE
tch_20230825-225843_52,class_20230825-225843_52,Y6LF-H6qQ,3B8PE
tch_20230825-225843_53,class_20230825-225843_53,Tf69-zyHG,3B8PE
tch_20230825-225843_54,class_20230825-225843_54,tnJg-2Q7E,3B8PE
tch_20230825-225843_55,class_20230825-225843_55,QR4P-CNgi,3B8PE
tch_20230825-225843_57,class_20230825-225843_57,Huor-843d,3B8PE
tch_20230825-225843_56,class_20230825-225843_56,67YA-W64q,3B8PE
tch_20230825-225843_58,class_20230825-225843_58,4pnF-k8ov,3B8PE
tch_20230825-225843_59,class_20230825-225843_59,Y9xG-8tAr,3B8PE
tch_20230825-225843_60,class_20230825-225843_60,7WKe-rYbX,3B8PE
tch_20230825-225843_61,class_20230825-225843_61,rjBj-GqC3,3B8PE
tch_20230825-225843_62,class_20230825-225843_62,TUif-8796,3B8PE
tch_20230825-225843_63,class_20230825-225843_63,2j8d-wBFN,3B8PE
tch_20230825-225843_64,class_20230825-225843_64,8CQD-Hqx8,3B8PE
tch_20230825-225843_65,class_20230825-225843_65,Jx8z-36HP,3B8PE
tch_20230825-225843_66,class_20230825-225843_66,jXu6-2VF7,3B8PE
tch_20230825-225843_67,class_20230825-225843_67,6aVM-K6sg,3B8PE
tch_20230825-225843_68,class_20230825-225843_68,r47Y-jHQ2,3B8PE
tch_20230825-225843_69,class_20230825-225843_69,Q4ny-Tp2P,3B8PE
