teacherextuserid,classtitle,classcode,ap1,ap2,ap3,ap4,ap5
tch_20200512-175045_181,class_20200512-175045_181,6QZ8-Ei97,af06fc7d-3a03-4f5e-8d5c-d96d76d64b73,88a04826-469f-436b-8ed4-844a214292d6,a4473a03-fa79-4ce7-9d81-78422fb38f76,e2956070-3178-4de2-8f1e-dcbf3775ad39,ac1227f4-60eb-41fa-9304-5fdf4a654a6f
tch_20200512-175045_183,class_20200512-175045_183,L67X-Ktza,195070e5-55c6-4302-a032-913e038aeb50,0c212d44-c060-4cb4-a57d-43a37ca03800,48ae8e09-3f6c-4372-a795-9720be06a067,5724300a-53e3-4a57-a45e-b3345f28c9d2,a05c98ed-2ac7-432c-ab57-5f7f90f4acbc
tch_20200512-175045_182,class_20200512-175045_182,6Fe6-37V8,ce588365-56ec-416e-af81-6e7ab7f5fbb3,0c32ea29-6453-49bc-8a39-2cb85310fb77,e9e9b4aa-0951-4bb6-85cc-c62cbb1b3f02,1ac397e3-9851-4500-8a59-6c72ff6969d4,e157b6da-922b-4410-99de-b43580f7c727
tch_20200512-175045_184,class_20200512-175045_184,ey4r-9gKz,873815b6-b7ee-4054-bcee-a09fbc544838,de0604b5-15d4-45ee-81c4-e4f28c1e1f1e,ab652a76-24eb-497b-b64e-8658662f90c9,10785eee-4cbb-4da8-a4f9-0671869d443b,2c96933a-0b5d-487b-8fbc-7427d74f71ea
tch_20200512-175045_185,class_20200512-175045_185,76TM-FW6s,d9643dd8-afc2-4caa-a6c1-5150d33f5d34,3f46626f-d4a5-4b0a-845e-d25967257c7d,957df26a-3bb5-41e3-a769-b193040fdfd3,e7c20254-b850-4c20-86fc-7ddcd08cc480,2c880126-fbde-4555-8eaf-735a3cad66bf
tch_20200512-175045_186,class_20200512-175045_186,8XVZ-7CKk,90c05d90-85a7-4e08-a153-eec97e4cd05d,41459bb5-7d93-40a9-ae8d-63f10bba2222,8a8fde8b-ef40-4414-9e10-48f9f8862f15,c624f053-e7d0-4298-9eed-68b9430bdd2b,b0bbb428-3f8b-4aee-9931-b113093badab
tch_20200512-175045_187,class_20200512-175045_187,isXm-VKd9,b467eebc-3809-4c41-98af-4a95f91ff30f,ec9e55a5-6b8c-4d78-9070-f82d8d93f711,219956f9-eb4e-425e-8f84-9c246cee1897,98284c4d-2fe6-4018-9a07-b028862cdfb3,4b255b9b-6882-4047-a1bd-7481bef61224
tch_20200512-175045_189,class_20200512-175045_189,qDih-43Go,b5a411ae-53cd-44ad-ab23-1c107b2992be,6b4f46bb-5d77-4215-bfe7-5b75b212c763,49cccc43-bca7-4b3a-8e4d-9beab4884267,1f4eb908-4046-4803-9d25-33fb69961e3e,34c2c02b-79e9-4dc3-95a6-81d1bf2db8c8
tch_20200512-175045_188,class_20200512-175045_188,u9m8-Mf9d,4116fc1b-50c2-4035-8326-3feff9c6ff08,4a027eb0-112b-466d-8871-2c7103985d28,4c32f77b-431d-4d2e-b4ce-f75646db3556,d91dd591-e666-485a-8171-0fa856a61cb5,9043df46-360a-4108-882c-b85584685966
tch_20200512-175045_190,class_20200512-175045_190,row6-7snQ,c1c52f4c-7d38-4997-bd0e-54efcdc851fc,4be58508-6566-4b0c-b529-d1fbd989ee5d,39a78626-a182-4771-8337-d60bd7153acd,d9a0c918-bc16-4735-a6f0-34b9f5fe2eb4,cef30178-5dfd-4aac-ab06-159497ca2f1d
