studentextuserid,classcode
std_1592417138644_1,6cM2-qpie
std_1592417141117_2,L8qZ-6FEF
std_1592417143622_3,b9qM-oar3
std_1592417146129_4,4BqF-Ku94
std_1592417148633_5,Cae2-KT9p
std_1592417151141_6,697K-3gP3
std_1592417153646_7,TrK8-b3Z6
std_1592417156150_8,9FdD-A6sW
std_1592417158654_9,K6w7-c8xZ
std_1592417161160_10,98T9-vX6z
std_1592417163666_11,EpFh-7fcG
std_1592417166171_12,qx6k-JYNk
std_1592417168675_13,2fK6-Uc4E
std_1592417171183_14,RBzm-Wzdb
std_1592417173689_15,kJ6U-uQMt
std_1592417176196_16,mFZ7-P49L
std_1592417178702_17,BEB2-32ae
std_1592417181206_18,e78T-MVDW
std_1592417183711_19,xjy8-x9rw
std_1592417186217_20,o4YB-4ho9
std_1592417188723_21,Nugh-oZs6
std_1592417191228_22,ksL7-ihcZ
std_1592417193736_23,W492-v62C
std_1592417196242_24,Nh83-FUE3
std_1592417198744_25,wc7m-V6BT
std_1592417201251_26,U2Um-4BUo
std_1592417203755_27,gpds-z4UB
std_1592417206260_28,7C3y-DTrt
std_1592417208767_29,9Nri-CqJb
std_1592417211271_30,4CZX-JP2M
std_1592417213775_31,Yjsg-6RPZ
std_1592417216282_32,kVMb-9J2K
std_1592417218788_33,N93e-ka2L
std_1592417221292_34,d9GW-A43k
std_1592417223795_35,Y7ML-hNjU
std_1592417226301_36,uNVP-3BLZ
std_1592417228805_37,4z7v-3bkf
std_1592417231312_38,T3hy-N3z4
std_1592417233816_39,M9N8-JyDb
std_1592417236322_40,4exQ-R4cU
std_1592417238826_41,v49a-kio9
std_1592417241333_42,qf3g-TLBe
std_1592417243838_43,j3M8-zQ9s
std_1592417246344_44,o469-BQpz
std_1592417248847_45,rTGv-Lz79
std_1592417251354_46,aRa6-nFBm
std_1592417253860_47,C3R8-42Rw
std_1592417256363_48,2u3z-HTeA
std_1592417258868_49,LR86-G769
std_1592417261373_50,2T28-FTqy
std_1592417263879_51,6idE-9RvX
std_1592417266383_52,UdgY-sFkE
std_1592417268888_53,bDPC-ocYr
std_1592417271394_54,F8jE-LWo9
std_1592417273900_55,VTBb-jpEW
std_1592417276404_56,4z8n-43vA
