student,classcode
perf_prod_std_00291,b6jd-chf2
perf_prod_std_00292,49eg-8PN3
perf_prod_std_00293,eKTh-7M8i
perf_prod_std_00294,f2Db-3Mbj
perf_prod_std_00295,Ye6h-gGRj
perf_prod_std_00296,a6dZ-3eRA
perf_prod_std_00297,9NEG-gPZa
perf_prod_std_00298,e6KE-CPad
perf_prod_std_00299,cVeF-6djA
perf_prod_std_00300,f9aM-RWZG
perf_prod_std_00301,27Ce-8had
perf_prod_std_00302,M6dc-edNG
perf_prod_std_00303,4d6c-eMg4
perf_prod_std_00304,PhLi-BZif
perf_prod_std_00305,bYZ7-HFX2
perf_prod_std_00306,6c2j-gbhU
perf_prod_std_00307,ec6a-hQh9
perf_prod_std_00308,WM9D-A7iR
perf_prod_std_00309,6GiP-F83j
perf_prod_std_00310,gW84-NgC8
perf_prod_std_00311,H769-MNeF
perf_prod_std_00312,39gQ-jFe4
perf_prod_std_00313,7c7A-62g9
perf_prod_std_00314,4ebi-Uf43
perf_prod_std_00315,gP7e-34G9
perf_prod_std_00316,T6fD-Wj7Z
perf_prod_std_00317,E6fj-a72j
perf_prod_std_00318,37H4-6iLX
perf_prod_std_00319,hdEP-DdNA
perf_prod_std_00320,G32g-ha9g
perf_prod_std_00321,9GW8-4cac
perf_prod_std_00322,4gcB-ecfh
perf_prod_std_00323,dXc9-Ff7a
perf_prod_std_00324,gN84-8eR9
perf_prod_std_00325,UHcG-RXg7
perf_prod_std_00326,eYjb-ZGh7
perf_prod_std_00327,hZ26-cj2a
perf_prod_std_00328,7e4d-cgCg
perf_prod_std_00329,3cBR-2d2E
perf_prod_std_00330,K6aj-XB9M
perf_prod_std_00331,K8hF-3W4M
perf_prod_std_00332,aK3e-iEL7
perf_prod_std_00333,i36j-iCLc
perf_prod_std_00334,3T2d-Nef2
perf_prod_std_00335,aBNg-7VC7
perf_prod_std_00336,P2Bb-ac4A
perf_prod_std_00337,AbB2-He3E
perf_prod_std_00338,7dQi-W9Y4
perf_prod_std_00339,aQLg-6P8c
perf_prod_std_00340,bEjL-8942
perf_prod_std_00341,H2Af-dCJe
perf_prod_std_00342,MQh9-DERc
perf_prod_std_00343,T69g-Ki6H
perf_prod_std_00344,Dh4h-WUjh
perf_prod_std_00345,Jc79-aE7H
perf_prod_std_00346,b2K3-LQDW
perf_prod_std_00347,2bfh-d7a4
perf_prod_std_00348,ZfiR-U9d2
perf_prod_std_00349,j4Z8-LbBf
perf_prod_std_00350,Ghgc-eP8e
perf_prod_std_00351,Xg9N-e3Na
perf_prod_std_00352,G6eg-U8f3
perf_prod_std_00353,DWGj-Fc8R
perf_prod_std_00354,7KeU-gQ7h
perf_prod_std_00355,b72Q-9Geg
perf_prod_std_00356,7Mai-Y3gX
perf_prod_std_00357,dg94-QdAd
perf_prod_std_00358,eBHK-Zjb6
perf_prod_std_00359,CW7i-dhia
perf_prod_std_00360,Q8bY-F6ib
perf_prod_std_00361,42GB-Y4e2
perf_prod_std_00362,39Lc-2BH6
perf_prod_std_00363,igch-aLbA
perf_prod_std_00364,ceaF-ciQb
perf_prod_std_00365,9bji-3QfP
perf_prod_std_00366,dYNF-XJ8F
perf_prod_std_00367,8jda-4ieU
perf_prod_std_00368,7386-geVc
perf_prod_std_00369,h8DG-Dd9j
perf_prod_std_00370,D4Vc-e4je
perf_prod_std_00371,9bXg-CjHd
perf_prod_std_00372,jbML-cPUE
perf_prod_std_00373,9ZY2-96e4
perf_prod_std_00374,cWBV-8f87
perf_prod_std_00375,eiMf-H7b8
perf_prod_std_00376,hHgd-ij97
perf_prod_std_00377,ahcd-8de6
perf_prod_std_00378,Tjab-9Hji
perf_prod_std_00379,h7ed-Mgcg
perf_prod_std_00380,RejF-3g4E
perf_prod_std_00381,MHcb-62La
perf_prod_std_00382,AQZe-ihdg
perf_prod_std_00383,3jge-B2YW
perf_prod_std_00384,jJEY-CjXb
perf_prod_std_00385,JeBh-e3h6
perf_prod_std_00386,HUfA-aPhK
perf_prod_std_00387,ij92-JY4C
perf_prod_std_00388,FV9f-H6iF
perf_prod_std_00389,b4eZ-R4bi
perf_prod_std_00390,Q9Lh-ijYe
perf_prod_std_00391,R6ic-biQi
perf_prod_std_00392,cVfU-f7D4
perf_prod_std_00393,329f-ca37
perf_prod_std_00394,FEdg-WhVF
perf_prod_std_00395,837h-eT3E
perf_prod_std_00396,4cf6-8KJi
perf_prod_std_00397,f2LX-djhF
perf_prod_std_00398,9jib-d7jW
perf_prod_std_00399,MYhU-GMac
perf_prod_std_00400,K2W2-ehKg
perf_prod_std_00401,96Vg-F7F8
perf_prod_std_00402,6Ui6-KibG
perf_prod_std_00403,Vd8R-d6ac
perf_prod_std_00404,ca3e-9BZf
perf_prod_std_00405,49fG-f9d8
perf_prod_std_00406,eChi-26Ad
perf_prod_std_00407,3b6j-7gcM
perf_prod_std_00408,jKa2-bgVb
perf_prod_std_00409,8cj2-62D2
perf_prod_std_00410,8R4b-gcGj
perf_prod_std_00411,9Ted-3Y9g
perf_prod_std_00412,68bU-4cR8
perf_prod_std_00413,4NE6-di79
perf_prod_std_00414,64fa-NFh4
perf_prod_std_00415,ebdi-h8P9
perf_prod_std_00416,gajc-Q3ej
perf_prod_std_00417,B83Z-6L6c
perf_prod_std_00418,L4Ti-3aUe
perf_prod_std_00419,2BhC-374A
perf_prod_std_00420,TQ8g-4Hh8
perf_prod_std_00421,RiFb-8Rh4
perf_prod_std_00422,HV64-fgFc
perf_prod_std_00423,dbhe-gPfi
perf_prod_std_00424,aHgD-i7aj
perf_prod_std_00425,bZ2M-f6Ae
perf_prod_std_00426,c274-dEG2
perf_prod_std_00427,8Ud4-GgVE
perf_prod_std_00428,6fa6-Fcaj
perf_prod_std_00429,3Bh2-eJeg
perf_prod_std_00430,ji2Q-X3a4
perf_prod_std_00431,haLP-iPb9
perf_prod_std_00432,T46C-j63d
perf_prod_std_00433,ZPci-N7X4
perf_prod_std_00434,Ujci-Cg6b
perf_prod_std_00435,6Rbh-aPfZ
perf_prod_std_00436,i26b-7hgV
perf_prod_std_00437,jMEb-Ba4N
perf_prod_std_00438,84W2-792c
perf_prod_std_00439,iXKc-b92G
perf_prod_std_00440,g73g-bc43
perf_prod_std_00441,D8jQ-hW2j
perf_prod_std_00442,b7d4-a8df
perf_prod_std_00443,Yj93-jeK2
perf_prod_std_00444,iYhA-c6ej
perf_prod_std_00445,BKPe-7Rh7
perf_prod_std_00446,WKD2-6cNB
perf_prod_std_00447,7A3Q-Mjb6
perf_prod_std_00448,cjfG-BZhZ
perf_prod_std_00449,2agb-CUdG
perf_prod_std_00450,XL3V-FdbL
perf_prod_std_00451,i89J-N8bg
perf_prod_std_00452,9EFQ-Z787
perf_prod_std_00453,Z8aA-j29R
perf_prod_std_00454,3W2i-2b6e
perf_prod_std_00455,4aBc-jQcZ
perf_prod_std_00456,7cdF-XhKi
perf_prod_std_00457,a2GX-2M3f
perf_prod_std_00458,bVj7-GfXb
perf_prod_std_00459,8ig2-PViR
perf_prod_std_00460,f9j8-eaH2
perf_prod_std_00461,QAQd-HDbK
perf_prod_std_00462,7Cfe-YTai
perf_prod_std_00463,RhiT-hKbA
perf_prod_std_00464,CJf3-fZgb
perf_prod_std_00465,GfQV-A6bi
perf_prod_std_00466,gj6F-6f6P
perf_prod_std_00467,YQcJ-24b8
perf_prod_std_00468,LBiM-4B7a
perf_prod_std_00469,ZhPg-fBiL
perf_prod_std_00470,9GL8-7Xj4
perf_prod_std_00471,WTQ9-ceE3
