student,classcode
perf_prod_std_06771,9bXg-CjHd
perf_prod_std_06772,jbML-cPUE
perf_prod_std_06773,9ZY2-96e4
perf_prod_std_06774,cWBV-8f87
perf_prod_std_06775,eiMf-H7b8
perf_prod_std_06776,hHgd-ij97
perf_prod_std_06777,ahcd-8de6
perf_prod_std_06778,Tjab-9Hji
perf_prod_std_06779,h7ed-Mgcg
perf_prod_std_06780,RejF-3g4E
perf_prod_std_06781,MHcb-62La
perf_prod_std_06782,AQZe-ihdg
perf_prod_std_06783,3jge-B2YW
perf_prod_std_06784,jJEY-CjXb
perf_prod_std_06785,JeBh-e3h6
perf_prod_std_06786,HUfA-aPhK
perf_prod_std_06787,ij92-JY4C
perf_prod_std_06788,FV9f-H6iF
perf_prod_std_06789,b4eZ-R4bi
perf_prod_std_06790,Q9Lh-ijYe
perf_prod_std_06791,R6ic-biQi
perf_prod_std_06792,cVfU-f7D4
perf_prod_std_06793,329f-ca37
perf_prod_std_06794,FEdg-WhVF
perf_prod_std_06795,837h-eT3E
perf_prod_std_06796,4cf6-8KJi
perf_prod_std_06797,f2LX-djhF
perf_prod_std_06798,9jib-d7jW
perf_prod_std_06799,MYhU-GMac
perf_prod_std_06800,K2W2-ehKg
perf_prod_std_06801,96Vg-F7F8
perf_prod_std_06802,6Ui6-KibG
perf_prod_std_06803,Vd8R-d6ac
perf_prod_std_06804,ca3e-9BZf
perf_prod_std_06805,49fG-f9d8
perf_prod_std_06806,eChi-26Ad
perf_prod_std_06807,3b6j-7gcM
perf_prod_std_06808,jKa2-bgVb
perf_prod_std_06809,8cj2-62D2
perf_prod_std_06810,8R4b-gcGj
perf_prod_std_06811,9Ted-3Y9g
perf_prod_std_06812,68bU-4cR8
perf_prod_std_06813,4NE6-di79
perf_prod_std_06814,64fa-NFh4
perf_prod_std_06815,ebdi-h8P9
perf_prod_std_06816,gajc-Q3ej
perf_prod_std_06817,B83Z-6L6c
perf_prod_std_06818,L4Ti-3aUe
perf_prod_std_06819,2BhC-374A
perf_prod_std_06820,TQ8g-4Hh8
perf_prod_std_06821,RiFb-8Rh4
perf_prod_std_06822,HV64-fgFc
perf_prod_std_06823,dbhe-gPfi
perf_prod_std_06824,aHgD-i7aj
perf_prod_std_06825,bZ2M-f6Ae
perf_prod_std_06826,c274-dEG2
perf_prod_std_06827,8Ud4-GgVE
perf_prod_std_06828,6fa6-Fcaj
perf_prod_std_06829,3Bh2-eJeg
perf_prod_std_06830,ji2Q-X3a4
perf_prod_std_06831,haLP-iPb9
perf_prod_std_06832,T46C-j63d
perf_prod_std_06833,ZPci-N7X4
perf_prod_std_06834,Ujci-Cg6b
perf_prod_std_06835,6Rbh-aPfZ
perf_prod_std_06836,i26b-7hgV
perf_prod_std_06837,jMEb-Ba4N
perf_prod_std_06838,84W2-792c
perf_prod_std_06839,iXKc-b92G
perf_prod_std_06840,g73g-bc43
perf_prod_std_06841,D8jQ-hW2j
perf_prod_std_06842,b7d4-a8df
perf_prod_std_06843,Yj93-jeK2
perf_prod_std_06844,iYhA-c6ej
perf_prod_std_06845,BKPe-7Rh7
perf_prod_std_06846,WKD2-6cNB
perf_prod_std_06847,7A3Q-Mjb6
perf_prod_std_06848,cjfG-BZhZ
perf_prod_std_06849,2agb-CUdG
perf_prod_std_06850,XL3V-FdbL
perf_prod_std_06851,i89J-N8bg
perf_prod_std_06852,9EFQ-Z787
perf_prod_std_06853,Z8aA-j29R
perf_prod_std_06854,3W2i-2b6e
perf_prod_std_06855,4aBc-jQcZ
perf_prod_std_06856,7cdF-XhKi
perf_prod_std_06857,a2GX-2M3f
perf_prod_std_06858,bVj7-GfXb
perf_prod_std_06859,8ig2-PViR
perf_prod_std_06860,f9j8-eaH2
perf_prod_std_06861,QAQd-HDbK
perf_prod_std_06862,7Cfe-YTai
perf_prod_std_06863,RhiT-hKbA
perf_prod_std_06864,CJf3-fZgb
perf_prod_std_06865,GfQV-A6bi
perf_prod_std_06866,gj6F-6f6P
perf_prod_std_06867,YQcJ-24b8
perf_prod_std_06868,LBiM-4B7a
perf_prod_std_06869,ZhPg-fBiL
perf_prod_std_06870,9GL8-7Xj4
perf_prod_std_06871,WTQ9-ceE3
perf_prod_std_06872,2QFL-jFR4
perf_prod_std_06873,bPdW-HgUd
perf_prod_std_06874,Gf7L-Nbfh
perf_prod_std_06875,B3TK-Pgfe
perf_prod_std_06876,GbHd-FgEd
perf_prod_std_06877,JUgQ-8f8M
perf_prod_std_06878,ec82-Xbig
perf_prod_std_06879,474d-939b
perf_prod_std_06880,2G3G-4Tcg
perf_prod_std_06881,4Lif-JhEf
perf_prod_std_06882,d7Tc-Bebh
perf_prod_std_06883,fiJE-V4a3
perf_prod_std_06884,VPDA-Y7N3
perf_prod_std_06885,Z9aH-haX6
perf_prod_std_06886,Lbhg-VaNd
perf_prod_std_06887,28FG-XD9a
perf_prod_std_06888,T6ch-28aH
perf_prod_std_06889,7dEK-NYeW
perf_prod_std_06890,PiBj-Ae3d
perf_prod_std_06891,Njb4-aRg6
perf_prod_std_06892,AKba-J72L
perf_prod_std_06893,jfGN-C2H9
perf_prod_std_06894,7d29-2ga9
perf_prod_std_06895,gAeT-9BgT
perf_prod_std_06896,cDc9-Xh2i
perf_prod_std_06897,3i3f-A2Ji
perf_prod_std_06898,h6f4-9Ki6
perf_prod_std_06899,DiMK-2dJZ
perf_prod_std_06900,2dCb-Xj3K
perf_prod_std_06901,X72Y-3X3N
perf_prod_std_06902,UZ64-94ae
perf_prod_std_06903,NhfQ-j9hB
perf_prod_std_06904,jiPa-UZfJ
perf_prod_std_06905,4deh-WRc6
perf_prod_std_06906,P7bi-HJbH
perf_prod_std_06907,8G4e-dh8V
perf_prod_std_06908,f3Fi-QiR3
perf_prod_std_06909,bhiR-g83K
perf_prod_std_06910,Z8ML-fF73
perf_prod_std_06911,7hj3-VFBd
perf_prod_std_06912,jaEY-aTcH
perf_prod_std_06913,idXi-9jac
perf_prod_std_06914,PJjd-Uaeg
perf_prod_std_06915,dcah-jBN8
perf_prod_std_06916,cij6-FfKe
perf_prod_std_06917,6g68-gjC4
perf_prod_std_06918,VAEg-6X9Q
perf_prod_std_06919,TeEg-N4Cb
perf_prod_std_06920,TNWR-4aeR
perf_prod_std_06921,gceF-d32h
perf_prod_std_06922,7C3e-b67A
perf_prod_std_06923,8a4H-iMHN
perf_prod_std_06924,VZ7c-fAG8
perf_prod_std_06925,baD2-BbR8
perf_prod_std_06926,Vd72-dT92
perf_prod_std_06927,4Did-7YfB
perf_prod_std_06928,FcV7-3X7g
perf_prod_std_06929,L8H7-bhG6
perf_prod_std_06930,cWj7-di4K
perf_prod_std_06931,4N9b-Ng69
perf_prod_std_06932,7D6e-gZbF
perf_prod_std_06933,gbF8-VUf4
perf_prod_std_06934,98Q3-Hi3i
perf_prod_std_06935,64F4-iTHf
perf_prod_std_06936,ajGH-Mef8
perf_prod_std_06937,VBFH-BfLK
perf_prod_std_06938,ea4c-9aPC
perf_prod_std_06939,eYCb-hDf7
perf_prod_std_06940,bBEf-2AKV
perf_prod_std_06941,Pf2e-7chJ
perf_prod_std_06942,CcM9-jBcd
perf_prod_std_06943,i63f-H3ZQ
perf_prod_std_06944,YEd3-hU6g
perf_prod_std_06945,edEc-feH8
perf_prod_std_06946,ciQC-j9TG
perf_prod_std_06947,GWZd-gZ28
perf_prod_std_06948,6gAQ-Kfda
perf_prod_std_06949,hTgj-YMUd
perf_prod_std_06950,WFQF-bXaK
perf_prod_std_06951,YaWa-cYDh
perf_prod_std_06952,dcP8-7M7M
perf_prod_std_06953,27gX-E4Yd
perf_prod_std_06954,Md9i-GYgB
perf_prod_std_06955,c8Ch-6WdR
perf_prod_std_06956,DRjL-7hae
perf_prod_std_06957,P6ZX-8Mih
perf_prod_std_06958,WC9X-be3X
perf_prod_std_06959,i4i6-Q6iE
perf_prod_std_06960,3JWf-Eg8X
perf_prod_std_06961,GLgi-8Ub8
perf_prod_std_06962,6Ai4-a4jM
perf_prod_std_06963,E6f7-3H3f
perf_prod_std_06964,VbfN-g29T
perf_prod_std_06965,fife-aNaE
perf_prod_std_06966,4hg8-if9V
perf_prod_std_06967,3fT3-KL9D
perf_prod_std_06968,UjhG-W2Q2
perf_prod_std_06969,dJ9i-d7WZ
perf_prod_std_06970,9aeE-9ZQd
perf_prod_std_06971,dhfg-Gfbe
perf_prod_std_06972,7jhE-L3c8
perf_prod_std_06973,4b6J-83bg
perf_prod_std_06974,4Kd7-edY6
perf_prod_std_06975,GjXN-TacP
perf_prod_std_06976,632b-92fU
perf_prod_std_06977,chgi-23cP
perf_prod_std_06978,Nj6j-iXC4
perf_prod_std_06979,bjQT-cgWe
perf_prod_std_06980,Ej4f-JK6T
perf_prod_std_06981,386j-eaUh
perf_prod_std_06982,gPg8-DbWE
perf_prod_std_06983,YZKT-d8c4
perf_prod_std_06984,3LH3-7hf8
perf_prod_std_06985,fD2g-Ac39
perf_prod_std_06986,KiKB-3Ecg
perf_prod_std_06987,4aRX-gBZ3
perf_prod_std_06988,CV98-49Nb
perf_prod_std_06989,9c26-3AQ6
perf_prod_std_06990,87eJ-Fgag
perf_prod_std_06991,G4jU-ifYd
perf_prod_std_06992,iMg2-7262
perf_prod_std_06993,D4d3-4g2X
perf_prod_std_06994,9CLQ-JQBc
perf_prod_std_06995,7bT4-PabQ
perf_prod_std_06996,ca3W-jcib
perf_prod_std_06997,j9cb-GcZi
perf_prod_std_06998,2iLE-7cDd
perf_prod_std_06999,92F2-7aCA
perf_prod_std_07000,7bBL-Thcd
perf_prod_std_07001,V6g6-iLbc
perf_prod_std_07002,e27c-e6Ve
perf_prod_std_07003,9dhf-68Y7
perf_prod_std_07004,J6e2-b29C
perf_prod_std_07005,hEh7-gi4L
perf_prod_std_07006,Q3e3-jeRf
perf_prod_std_07007,7623-f8N3
perf_prod_std_07008,a43P-DeDj
perf_prod_std_07009,NjLb-cAfh
perf_prod_std_07010,eQiH-6j93
perf_prod_std_07011,bM2c-iMgB
perf_prod_std_07012,dQTG-i97U
perf_prod_std_07013,PcV8-h3fW
perf_prod_std_07014,A3gG-jaXK
perf_prod_std_07015,EH2b-GiHF
perf_prod_std_07016,J2c3-4ANE
perf_prod_std_07017,PFeG-7cLb
perf_prod_std_07018,aKc6-9V2H
perf_prod_std_07019,fGg3-6H6h
perf_prod_std_07020,dM7W-T6Ja
perf_prod_std_07021,Qd28-V7gU
perf_prod_std_07022,6e3N-bHeA
perf_prod_std_07023,jX2Y-L2Pf
perf_prod_std_07024,QC7D-QV7g
perf_prod_std_07025,Teg7-K6Bg
perf_prod_std_07026,BbM3-WJbU
perf_prod_std_07027,2F3J-PdLi
perf_prod_std_07028,QYbh-ZcNd
perf_prod_std_07029,KFPa-HWLg
perf_prod_std_07030,72Da-N68g
perf_prod_std_07031,JdVR-gaBF
perf_prod_std_07032,4be3-7TR9
perf_prod_std_07033,hYP7-aBFY
perf_prod_std_07034,fU3d-eVcA
perf_prod_std_07035,d87j-9h4b
perf_prod_std_07036,6Df2-729U
perf_prod_std_07037,3R7D-4gB3
perf_prod_std_07038,hWf3-d3fH
perf_prod_std_07039,eEKd-H98c
perf_prod_std_07040,gbGH-XF3L
perf_prod_std_07041,4d8R-eHAe
perf_prod_std_07042,gW7g-MGac
perf_prod_std_07043,XRch-jH3i
perf_prod_std_07044,i6AE-HZ73
perf_prod_std_07045,hBa7-TCaj
perf_prod_std_07046,UHd4-E2Wi
perf_prod_std_07047,dFa9-K7N9
perf_prod_std_07048,fHdi-he92
perf_prod_std_07049,9cBA-fcVg
perf_prod_std_07050,2X8U-A83a
perf_prod_std_07051,iN9Q-gaPQ
perf_prod_std_07052,H7ag-bY96
perf_prod_std_07053,a8jM-236C
perf_prod_std_07054,igTN-6Nd8
perf_prod_std_07055,4EgP-ec9B
perf_prod_std_07056,2cUH-4J3D
perf_prod_std_07057,HgQU-hGDV
perf_prod_std_07058,gTc2-3Z82
perf_prod_std_07059,NZEW-f7iG
perf_prod_std_07060,K2d2-feKi
perf_prod_std_07061,jPeb-3c87
perf_prod_std_07062,7eEP-fj3f
perf_prod_std_07063,c8P2-Ugj9
perf_prod_std_07064,f2e3-2igc
perf_prod_std_07065,92Nc-H64Y
perf_prod_std_07066,eRW3-acUd
perf_prod_std_07067,c86U-bci8
perf_prod_std_07068,MA46-W2Md
perf_prod_std_07069,K79j-igjb
perf_prod_std_07070,dMH7-bG36
perf_prod_std_07071,6B7a-c6Ua
perf_prod_std_07072,ZHMf-XB4j
perf_prod_std_07073,dT93-jgTU
perf_prod_std_07074,JYWT-i29M
perf_prod_std_07075,fidc-haXa
perf_prod_std_07076,C2QW-giZ6
