category,noOfAssignmentsInClass,noOfLOsInAssignment,noOfStudentsInClass
3B8PE,10,20,50
3B8PE,10,20,50
3B8PE,10,20,50
3B8PE,10,20,50
3B8PE,10,20,50
3B8PE,10,20,50
3B8PE,10,20,50
3B8PE,10,20,50
3B8PE,10,20,50
3B8PE,10,20,50
3B8PE,10,20,50
3B8PE,10,20,50
3B8PE,10,20,50
3B8PE,10,20,50
3B8PE,10,20,50
3B8PE,10,20,50
3B8PE,10,20,50
3B8PE,10,20,50
3B8PE,10,20,50
3B8PE,10,20,50
3B8PE,10,20,50
3B8PE,10,20,50
3B8PE,10,20,50
3B8PE,10,20,50
3B8PE,10,20,50
3B8PE,10,20,50
3B8PE,10,20,50
3B8PE,10,20,50
3B8PE,10,20,50
3B8PE,10,20,50
3B8PE,10,20,50
3B8PE,10,20,50
3B8PE,10,20,50
3B8PE,10,20,50
3B8PE,10,20,50
3B8PE,10,20,50
3B8PE,10,20,50
3B8PE,10,20,50
3B8PE,10,20,50
3B8PE,10,20,50
3B8PE,10,20,50
3B8PE,10,20,50
3B8PE,10,20,50
3B8PE,10,20,50
3B8PE,10,20,50
3B8PE,10,20,50
3B8PE,10,20,50
3B8PE,10,20,50
3B8PE,10,20,50
3B8PE,10,20,50
3B8PE,10,20,50
3B8PE,10,20,50
3B8PE,10,20,50
3B8PE,10,20,50
3B8PE,10,20,50
3B8PE,10,20,50
3B8PE,10,20,50
3B8PE,10,20,50
3B8PE,10,20,50
3B8PE,10,20,50
3B10PE,15,30,100
3B10PE,15,30,100
3B10PE,15,30,100
3B10PE,15,30,100
3B10PE,15,30,100
3B10PE,15,30,100
3B10PE,15,30,100
3B10PE,15,30,100
3B10PE,15,30,100
3B10PE,15,30,100
3B15PE,30,50,100
3B15PE,30,50,100
3B15PE,30,50,100
3B15PE,30,50,100
3B15PE,30,50,100
3B15PE,30,50,100
3B15PE,30,50,100
3B15PE,30,50,100
3B15PE,30,50,100
3B15PE,30,50,100
2B15PE,30,50,100
2B15PE,30,50,100
2B15PE,30,50,100
2B15PE,30,50,100
2B15PE,30,50,100
2B15PE,30,50,100
2B15PE,30,50,100
2B15PE,30,50,100
2B15PE,30,50,100
2B15PE,30,50,100
2B15PE,30,50,300
2B15PE,30,50,300
2B15PE,30,50,300
2B15PE,30,50,300
2B15PE,30,50,300
2B15PE,30,50,300
2B15PE,30,50,300
2B15PE,30,50,300
2B15PE,30,50,300
2B15PE,30,50,300
